family,queries,demand,cards,orders,bundle_vs_single,offers
0194,153,3161,78,0.0,7,0194 01941 019410 019411 019412 019413 019414 019415
5767,36,3075,9,0.0,3,5767 57671 57672 57673 57674 57675 57676 5767X10
6405,3,3015,5,0.0,0,64051 64052 64053 64054 64055
0200,111,2995,99,0.0,0,0200 02001 020010 0200100 020011 020012 020013 020014
2730,158,2925,101,0.0,0,2730 27301 273010 2730100 2730101 2730102 273011 273012
0276,75,2899,15,0.0,0,0276 02761 027610 027611 027612 02762 02763 02764
0087,29,2894,19,0.0,17,0087 00871 00872 008723 008724 008725 008726 008727
0002,54,2880,20,1.0,0,0002 00021 000210 000211 000212 000213 000214 000215
3722,40,2819,9,0.0,6,3722 37221 37222 37223 37224 37225 3722X10 3722X2
4597,68,2818,15,0.0,7,4597 45971 459710 459711 459712 45972 45973 45974
0074,30,2801,15,0.0,1,0074 00741 007413 007414 007415 00742 00743 00744
0489,38,2783,9,0.0,0,0489 04891 04892 04893 04894 04895 04896 04897
0269,19,2752,7,0.0,3,0269 02691 02692 02693 0269X10 0269X2 0269X6
3264,48,2506,17,0.0,1,3264 32641 326410 326411 326412 326413 326414 32642
0151,85,2316,44,0.0,1,0151 01511 015110 015111 015112 015113 015114 015115
2393,54,2068,22,0.0,0,2393 239310 239314 239315 239318 239320 239321 239322
1429,19,2031,4,0.0,2,1429 14291 14292 1429X6
0297,56,1558,18,0.0,0,0297 02971 029710 029711 029712 029713 029714 029715
1367,29,1549,9,5.0,5,1367 13671 13672 13673 13674 13675 1367X10 1367X2
5287,70,1515,14,0.0,7,5287 52871 528710 528711 52872 52873 52874 52875
0851,47,1494,16,0.0,2,0851 08511 085110 085111 085112 08512 08513 08514
2970,18,1409,9,0.0,0,2970 29701 29702 29703 29704 29705 29706 2970X10
0128,180,1391,60,0.0,0,0128 01281 012810 012811 012812 012813 012814 012815
2462,38,1070,8,0.0,0,2462 24621 24622 24623 24624 24625 2462X10 2462X6
0216,40,1066,8,0.0,9,0216 02161 02162 02163 02164 02165 02166 0216X6
1200,9,1035,3,0.0,0,1200 12001 12002
4526,25,843,13,0.0,0,4526 45261 452611 452613 45262 45263 45265 45266
5626,17,729,5,2.0,2,5626 56261 56262 56263 5626X2
2400,24,717,8,1.0,9,2400 24001 24002 24003 24004 2400X10 2400X2 2400X6
5877,18,715,11,0.0,1,5877 58771 58772 58773 58774 58775 58776 58777
1293,11,700,4,0.0,0,1293 12931 12932 12933
1292,8,697,5,0.0,0,1292 12921 12922 12924 12925
5754,29,578,5,0.0,5,5754 57541 57543 5754X2 5754X6
3262,41,527,15,0.0,5,3262 32621 326210 326212 326213 326214 326215 326216
0286,46,497,27,0.0,2,0286 02861 028610 028611 028612 028613 028614 028615
0202,140,384,64,0.0,3,0202 02021 020210 020211 020212 020213 020214 020215
6383,31,377,9,0.0,6,6383 63831 63832 63833 63834 63835 6383X10 6383X2
4802,18,376,8,0.0,6,4802 48021 48022 48023 48024 48025 4802X10 4802X6
0127,51,370,11,0.0,0,0127 01271 012710 01272 01273 01274 01275 01276
0126,51,359,11,0.0,0,0126 01261 012610 01262 01263 01264 01265 01266
6222,31,342,7,0.0,0,6222 62221 62222 62223 62224 62225 62226
0018,178,319,63,0.0,7,0018 001810 001811 001812 001813 001814 001815 001816
4422,9,310,6,0.0,3,4422 44221 44222 4422X10 4422X2 4422X6
0313,113,306,31,0.0,0,0313 03131 031311 031312 031313 031314 031315 031316
4433,88,300,13,1.0,12,4433 44331 443310 443311 44332 44333 44334 44335
1525,54,284,16,0.0,1,1525 15251 152510 152511 152512 152513 152514 15252
6361,12,282,10,0.0,0,6361 63611 63612 63613 63614 63615 63616 63617
0710,54,270,10,0.0,0,0710 07101 07102 07103 07104 07105 07106 07107
4413,6,270,6,0.0,3,4413 44131 44132 4413X10 4413X2 4413X6
3755,9,253,16,0.0,0,37551 375510 375511 375512 375513 375514 37552 37554
5215,34,249,6,0.0,0,5215 52151 52152 52153 52154 52155
5751,32,241,8,0.0,0,5751 57511 57512 57513 57514 57515 57516 57517
6064,13,228,3,0.0,0,6064 60641 60642
4939,17,228,4,0.0,0,4939 49391 49392 49393
5758,7,226,3,0.0,0,5758 57581 57582
6859,45,221,10,0.0,9,6859 68591 68592 68593 68594 68595 68596 6859X10
0184,18,211,11,0.0,0,0184 01841 01842 01843 01844 01845 01846 01847
5374,6,208,4,0.0,7,5374 5374X10 5374X2 5374X6
0305,108,208,83,0.0,1,0305 03051 030510 030511 030512 030513 030514 030515
0838,61,207,16,0.0,7,0838 08381 083810 083811 083812 083813 08382 08383
1558,29,203,10,0.0,9,1558 15581 15582 15583 15584 15586 15587 15588
3845,16,202,12,0.0,0,3845 38451 38452 38453 38454 38455 38456 38457
0112,35,200,11,0.0,2,0112 01121 011210 01122 01123 01124 01125 01127
0192,81,188,48,0.0,2,0192 01921 019210 019211 019212 019213 019214 019215
2562,4,187,4,0.0,0,2562 25622 25626 25629
0274,38,182,13,0.0,1,0274 02741 027410 02742 02743 02744 02745 02746
5413,2,180,7,0.0,0,5413 54131 54132 54133 5413X10 5413X2 5413X6
1253,1,178,3,0.0,0,1253X10 1253X2 1253X6
1933,58,175,10,0.0,3,1933 19331 19332 19333 19334 19335 19336 1933X10
6452,30,167,4,0.0,0,6452 64521 64522 64523
2672,4,165,4,0.0,0,2672 26724 26727 26728
0430,49,164,13,0.0,0,0430 04301 043010 043011 043012 04302 04303 04304
0182,59,160,29,0.0,4,0182 01821 018210 018212 018213 018214 018215 018216
3252,105,156,31,0.0,0,3252 32521 325210 325211 325212 325213 325214 325215
0033,56,155,13,0.0,1,0033 003310 003312 003313 003314 003315 003316 003317
2485,54,152,12,0.0,8,2485 24851 24852 24853 24854 24855 24856 24857
5600,13,149,2,0.0,0,5600 56001
5521,22,148,7,0.0,1,5521 55211 55212 55213 55214 55215 5521X10
0792,85,148,26,0.0,2,0792 07921 079211 079212 079213 079215 079217 079218
3486,31,147,19,0.0,7,3486 34861 348610 348611 348612 348613 348614 348615
6949,33,143,8,0.0,10,6949 69491 69492 69493 69494 6949X10 6949X2 6949X6
0060,82,142,21,0.0,10,0060 00601 006011 006012 006013 006014 006015 006016
2965,8,139,4,0.0,3,2965 2965X10 2965X2 2965X6
