query,demand,family,keep_sku,keep_offer,keep_pos,keep_orders,drop_sku,drop_offer,drop_pos,drop_orders,drop_in_ads,kind
картридж,1388,5287,1716069692,5287,3,0.0,4527389129,528711,10,0.0,1,дубли_одного_товара
картридж,1388,5287,1716069692,5287,3,0.0,4527388317,52877,16,0.0,1,дубли_одного_товара
картридж,1388,0851,652353545,085111,1,0.0,4480825283,08512,3,0.0,1,дубли_одного_товара
картридж,1388,2970,652609044,2970,1,0.0,4507508166,29704,11,0.0,1,дубли_одного_товара
картридж,1388,3264,4515703533,32648,1,0.0,653348091,3264,1,0.0,1,дубли_одного_товара
картридж,1388,1367,653125611,13672,3,0.0,653125968,13671,3,0.0,1,дубли_одного_товара
canon,178,5374,2994100339,5374,1,0.0,5278053645,5374X2,23,0.0,1,бандл_vs_одиночка
8060s,162,0112,4451926495,011210,6,0.0,863393318,0112,7,0.0,1,дубли_одного_товара
tl-c2310h,161,6383,4543080042,63832,16,0.0,3557209592,6383,23,0.0,1,дубли_одного_товара
dk-1150,115,2965,863385787,2965,24,0.0,5255276901,2965X6,25,0.0,1,бандл_vs_одиночка
картридж для принтера,100,1032,653379524,1032,5,0.0,653303752,10325,21,0.0,1,дубли_одного_товара
lunyee 3020,79,1367,653317592,1367,13,0.0,653125611,13672,23,0.0,1,дубли_одного_товара
чернила для принтера epson,77,2607,4504239311,26074,13,0.0,652535762,2607,22,0.0,1,дубли_одного_товара
чернила для принтера epson,77,2607,4504239311,26074,13,0.0,4504651930,26079,25,0.0,1,дубли_одного_товара
pantum m6500,74,3264,4515703533,32648,21,0.0,4515703642,326410,23,0.0,1,дубли_одного_товара
картридж pantum m6500w,55,3262,4515703504,32621,18,0.0,4515704364,326210,22,0.0,1,дубли_одного_товара
fplus,36,6851,3557210726,6851,9,0.0,5289879276,6851X6,9,0.0,1,бандл_vs_одиночка
tl-c2310h картридж,32,6383,3557209592,6383,20,0.0,4543080042,63832,26,0.0,1,дубли_одного_товара
plonq картридж,27,5216,4527388122,52161,2,0.0,1143060743,5216,5,0.0,1,дубли_одного_товара
tk-3430,24,5446,1556486995,5446,7,0.0,4527402470,54462,13,0.0,1,дубли_одного_товара
101r00664,22,3617,873313750,3617,8,0.0,5259397653,3617X2,9,0.0,1,бандл_vs_одиночка
pantum p2500w,21,5287,1716069692,5287,16,0.0,4527388317,52877,24,0.0,1,дубли_одного_товара
картридж для принтера hp laserjet m1132 mfp,21,5519,3807936294,5519,11,0.0,4527410328,55192,25,0.0,1,дубли_одного_товара
картридж для принтера hp laserjet m1132 mfp,21,1377,652453602,1377,13,0.0,4489623341,13772,15,0.0,1,дубли_одного_товара
картридж для принтера hp laserjet m1132 mfp,21,1377,652453602,1377,13,0.0,4489625477,13775,16,0.0,1,дубли_одного_товара
pantum p2500nw,20,3257,4515705073,32573,19,0.0,873314556,3257,27,0.0,1,дубли_одного_товара
картридж plonq,20,5216,4527388122,52161,2,0.0,1143060743,5216,4,0.0,1,дубли_одного_товара
картридж для принтера hp laserjet 1020,18,0002,652456628,0002,7,0.0,4444699662,00024,13,0.0,1,дубли_одного_товара
картридж pc-211ev,17,3257,873314556,3257,10,0.0,4515705073,32573,16,0.0,1,дубли_одного_товара
cf257a,15,3641,873313112,3641,2,0.0,5259666189,3641X6,8,0.0,1,бандл_vs_одиночка
cf257a,15,3641,873313112,3641,2,0.0,5259666747,3641X2,8,0.0,1,бандл_vs_одиночка
pantum tl-2310e,15,6383,3557209592,6383,19,0.0,4543080042,63832,26,0.0,1,дубли_одного_товара
pl,15,5216,4527388122,52161,3,0.0,1143060743,5216,28,0.0,1,дубли_одного_товара
tn-2375,15,0851,653122368,0851,7,0.0,4480825919,08514,16,0.0,1,дубли_одного_товара
