sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,reason
1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200",Эксперимент1,30.0,196,376288,120,7733,84953,23.0,20.5,37.6,ставка выше потолка
1586847024,5512,Блок проявки DV-214K для принтеров Konica Minolta Bizhub 227,Эксперимент1,8.0,5,110125,5,0,0,,,,"продаётся, но маржа не посчитана"
1586847024,5512,Блок проявки DV-214K для принтеров Konica Minolta Bizhub 227,от 10000 до 500 тыс,12.0,5,110125,5,0,0,,,,"продаётся, но маржа не посчитана"
1547263990,5424,Фотобарабан DR-316YMC для принтеров Konica Minolta Bizhub C2,от 10000 до 500 тыс,13.0,3,65486,1,0,0,,,,"продаётся, но маржа не посчитана"
1769947633,4671,Картриджи CTL-1100HK - CTL-1100HY,Эксперимент1,8.0,6,63480,2,0,0,,,,"продаётся, но маржа не посчитана"
930625225,2774,"Картриджи TK-8515 для принтеров Kyocera TASKalfa 5052ci, TAS",от 10000 до 500 тыс,13.0,4,45510,5,10,0,100.0,91.4,11.2,маржа ниже KPI 17 %
1153751231,2208,"Картридж iR40T для принтеров Citizen CX120, CX123, IR40T, IR",от 0 до 1000,10.0,60,38492,36,25,5270,0.0,3.1,10.9,маржа ниже KPI 17 %
1852066350,5806,"Картридж TN-3600XXL для принтеров Brother HL-L5210, 5710 чер",от 2000 до 5000,14.0,8,35152,8,11,26694,0.0,,,"продаётся, но маржа не посчитана"
1261461495,4692,"Картриджи №963 для принтеров HP OfficeJet Pro 9010, OfficeJe",Эксперимент1,8.0,2,29162,2,30,29162,0.0,,,"продаётся, но маржа не посчитана"
652354991,12856del,"Картридж для Brother DCP-L5500dn, DCP-L5600, DCP L5650, HL-L",Эксперимент1,8.0,11,24342,5,0,0,,,,"продаётся, но маржа не посчитана"
2138961560,6204,"Картридж №62XL для принтеров HP Envy 5540, Envy5541, Officej",Эксперимент1,8.0,4,23656,2,0,0,,,,"продаётся, но маржа не посчитана"
3650116441,6933,"Фотобарабан 46857506 для принтеров OKI Data C824, Data C834 ",от 10000 до 500 тыс,13.0,1,21656,1,0,0,,,,"продаётся, но маржа не посчитана"
873320021,3780,"Фотобарабаны DR-320CL DU для принтеров Brother DCP-9055, DCP",от 10000 до 500 тыс,12.0,1,20631,1,0,0,,,,"продаётся, но маржа не посчитана"
1153647058,0071,"Картриджи 70 для принтеров HP DesignJet Z2100, DJ Z3100, DJ ",от 10000 до 500 тыс,12.0,1,18794,1,0,0,,,,"продаётся, но маржа не посчитана"
1153647058,0071,"Картриджи 70 для принтеров HP DesignJet Z2100, DJ Z3100, DJ ",Эксперимент1,10.0,1,18794,1,0,0,,,,"продаётся, но маржа не посчитана"
930613714,2294,"Картридж 045H BK для принтеров Canon и i-SENSYS LBP611, LBP6",Эксперимент1,8.0,9,18482,3,27,0,,32.7,13.6,маржа ниже KPI 17 %
2908622775,6603,Фотобарабан + картридж DL-420 XL+TL-420X для принтеров M6700,от 2000 до 5000,13.0,5,16236,2,43,0,100.0,-32.9,-2.1,маржа ниже KPI 17 %
1659412524,5525,Картридж W1450A для принтеров HP LaserJet Pro 3003 DN/DNE/DW,Эксперимент1,8.0,5,13564,2,0,0,,,,"продаётся, но маржа не посчитана"
1143062239,5130,Фотобарабан C612 для принтеров OKI Data C612 голубой,Эксперимент1,9.0,1,12909,1,0,0,,,,"продаётся, но маржа не посчитана"
873313404,3626,"Картриджи №140-141 для принтеров HP DeskJet D4260, DeskJetD4",от 2000 до 5000,12.0,3,12667,2,405,8401,0.0,,,"продаётся, но маржа не посчитана"
652626682,1458,"Картридж PGI-470XLBk для принтеров Canon Pixma MG5740, Pixma",Эксперимент1,7.0,15,11296,6,85,688,0.0,7.3,16.3,маржа ниже KPI 17 %
652626682,1458,"Картридж PGI-470XLBk для принтеров Canon Pixma MG5740, Pixma",от 0 до 1000,13.0,15,11296,6,54,756,0.0,7.3,16.3,маржа ниже KPI 17 %
652597871,0927,"Картридж T2621XL для принтеров Epson Expression XP 710, XP 5",от 0 до 1000,12.0,12,9396,5,51,753,0.0,10.2,19.1,ставка выше потолка
3556712151,0757,"Картридж CLI-8PC для принтеров Canon Pixma iP6600D, Pixma ip",Эксперимент1,7.0,18,9246,4,37,1642,0.0,1.1,6.2,маржа ниже KPI 17 %
4777815004,7051,Картридж PFI-5100MBK для принтеров Canon imagePROGRAF PRO-31,от 2000 до 5000,12.0,2,9064,2,0,0,,,,"продаётся, но маржа не посчитана"
