query,sku,offer_id,name,position,demand,views,orders,gmv,our_price,margin_own_live,in_campaign,bid,action
набор,866443793,2156,"Картриджи CF540A-CF543A для принтеров HP LaserJet Pro Color M254dw, LJ Pro Color M280nw",232,54388,39,0,0,8104.0,33.54,True,12.0,широкая_фраза
набор,870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",145,37093,8,0,0,10792.0,28.34,True,25.0,широкая_фраза
набор,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",151,35894,10,0,0,8337.0,34.5,True,14.0,широкая_фраза
набор,1719319666,5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,41,19520,2,0,0,6350.0,38.32,True,23.0,широкая_фраза
набор,863385336,1214,"Картриджи TK-895 для принтеров Kyocera FS-C8020MFP, FS C8025MFP, FSC8520MFP, FS-C8525MFP",283,19520,3,0,0,13586.0,31.34,True,11.0,широкая_фраза
набор,930625989,2642,"Картриджи TN-324 для принтеров Konica Minolta Bizhub C258, Bizhub C308",106,18537,2,0,0,20044.0,26.19,True,15.0,широкая_фраза
набор,930627436,1275,"Картриджи LC569XL-LC565XL для принтеров Brother MFC-J3520, MFC-J3720",54,18537,2,0,0,3389.0,42.21,True,14.0,широкая_фраза
набор,870872764,2887,"Картриджи C-EXV49 для принтеров Canon iR Advance C3320, iR Advance C3325",155,17661,2,0,0,18063.0,17.7,True,14.0,широкая_фраза
набор,930623630,3216,"Картриджи TN-421 для принтеров Brother DCP-L8410CDW, HL-L8260CDW, HL L8360CDW, MFC-L8690CDW, MFCL8900CDW",360,16374,2,0,0,8375.0,27.6,True,8.0,широкая_фраза
набор,870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6630cidn",239,16374,4,0,0,10378.0,32.71,True,18.0,широкая_фраза
канцелярия,4481064725,11522,Картридж для HP Color LJ M553dn,613,15001,6,0,0,7943.0,35.06,True,8.0,широкая_фраза
комплект,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",28,13718,22,0,0,14890.0,27.44,True,23.0,широкая_фраза
комплект,870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",14,13613,10,0,0,10792.0,28.34,True,25.0,широкая_фраза
для,1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",39,13085,1,0,0,1724.0,41.67,True,30.0,широкая_фраза
комплект,866443793,2156,"Картриджи CF540A-CF543A для принтеров HP LaserJet Pro Color M254dw, LJ Pro Color M280nw",101,10411,7,0,0,8104.0,33.54,True,12.0,широкая_фраза
канцелярия,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,481,10230,6,0,0,6661.0,25.36,False,,широкая_фраза
набор,864225717,1283,"Картриджи CF410A-CF413A для принтеров HP LJ Color Pro M377dw, M452dn, M452nw, M477fdn, M477fdw",37,10198,1,0,0,9458.0,33.71,True,22.0,широкая_фраза
набор,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",254,10198,3,0,0,14890.0,27.44,True,23.0,широкая_фраза
набор,874375708,4278,"Картриджи W2410A-W2413A для принтеров HP Color LaserJet Pro M155a, Color LaserJet Pro M155nw",77,9322,1,0,0,9354.0,29.5,True,14.0,широкая_фраза
набор,863384426,0006,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7110, MF623cn, MF628cw, MF8230cn, MF8280cw",241,8339,1,0,0,10022.0,27.56,True,12.0,широкая_фраза
набор,863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",62,8339,1,0,0,9496.0,34.66,True,22.0,широкая_фраза
набор,870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, HL-3140cw, HL 3150, HL3170CDW, MFC-9140, MFC-9330",89,8339,1,0,0,7429.0,33.9,True,20.0,широкая_фраза
набор,930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CLX-3170, CLX3175",156,8339,1,0,0,9648.0,29.32,True,12.0,широкая_фраза
набор,863383151,0991,"Картриджи 44973541-44973544 для принтеров OKI C301dn, C321dn, MC332, MC342",183,8035,1,0,0,7571.0,38.62,True,15.0,широкая_фраза
набор,863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",13,8035,1,0,0,7646.0,41.86,True,45.0,широкая_фраза
картридж,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,16,7390,12,0,0,6661.0,25.36,False,,широкая_фраза
samsung,930641138,0720,"Картриджи CLT-409 для принтеров Samsung CLP-310, CLP 315, CLX-3170, CLX3175",78,6703,2,0,0,9648.0,29.32,True,12.0,широкая_фраза
самсунг,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",114,5966,3,0,0,8337.0,34.5,True,14.0,широкая_фраза
картридж,4481064725,11522,Картридж для HP Color LJ M553dn,66,5863,6,0,0,7943.0,35.06,True,8.0,широкая_фраза
лента,4867096884,7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,142,5287,3,0,0,6661.0,25.36,False,,широкая_фраза
лента,4481064725,11522,Картридж для HP Color LJ M553dn,356,5287,2,0,0,7943.0,35.06,True,8.0,широкая_фраза
тонер,1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",71,5214,24,0,0,1724.0,41.67,True,30.0,широкая_фраза
