query,sku,offer_id,name,position,demand,views,view_conv,orders,gmv,our_price,margin_own_live,in_campaign,bid,bid_ceiling,action,query_kind
булат 4,4527410309,57543,Тонер-картридж для Bulat WT2K,43,453,36,0,0,0,11587.0,33.75,True,12.0,287.32,широкая_фраза,широкая
картридж для принтера pantum m6500w,1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",46,431,8,0,0,0,1724.0,41.67,True,30.0,,поднять_ставку,модельная
самсунг s,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",27,293,2,0,0,0,8337.0,34.5,True,14.0,95.20,широкая_фраза,широкая
samsung s,863388173,0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",98,212,2,0,0,0,8337.0,34.5,True,14.0,95.20,широкая_фраза,широкая
pantum m6500w,873314556,3257,"Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип + воронка) для Pantum M6500W, M6507W, M6502W, P2500W, P2207, P2200, P2516, P2507",0,175,5,0,0,0,1509.0,28.04,True,13.0,,не_видны,модельная
canon selphy cp1500,1893955685,239330,"Картридж для фотопринтера Canon SELPHY CP1500 (KP-108in / RP-108) CP1000, CP1300",37,137,6,0,0,0,9187.0,34.44,False,,104.67,поднять_ставку,модельная
pantum p2500w,873314556,3257,"Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип + воронка) для Pantum M6500W, M6507W, M6502W, P2500W, P2207, P2200, P2516, P2507",280,128,4,0,0,0,1509.0,28.04,True,13.0,,не_видны,модельная
картриджи для принтера,863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",21,110,23,4,0,0,7646.0,41.86,True,45.0,110.67,поднять_ставку,модельная
чернила для принтера epson,904479374,2611,"Чернила T664 для принтеров Epson L100, L110, L130, L1300, L200, L210, L220, L222 L300 L3050 L310 L312 L350 L355 L362 L364 L382 L386 L455 L456 L486 L550 L555 L565 L566 L605 L655",121,95,1,0,0,0,2659.0,33.6,True,12.0,70.94,не_видны,модельная
canon selphy,4504236193,239327,Комплект картриджей для Canon SELPHY CP1000,64,85,7,0,0,0,9196.0,33.84,True,12.0,102.49,не_видны,модельная
epson l8050,1766855608,5758,"Чернила 108BK для принтеров Epson и EcoTank L6490 L18050, EcoTank L8050, 008 черный",322,84,1,0,0,0,827.0,32.22,True,10.0,23.96,не_видны,модельная
чернила для принтера hp,873313336,3740,"Чернила GT52 для принтеров HP DeskJet GT5810, DeskJetGT5820, Ink Tank 115, Ink Tank 315, SmartTank 500 желтый",0,75,3,0,0,0,595.0,26.69,True,12.0,13.46,не_видны,модельная
b color,1261465713,4708,"Картридж №982X для принтеров HP и PageWide Color 765, PW Color 780 пурпурный",242,74,2,0,0,0,30062.0,33.48,True,12.0,737.90,широкая_фраза,широкая
tank 500,873313336,3740,"Чернила GT52 для принтеров HP DeskJet GT5810, DeskJetGT5820, Ink Tank 115, Ink Tank 315, SmartTank 500 желтый",287,72,5,0,0,0,595.0,26.69,True,12.0,13.46,не_видны,модельная
картридж для принтера canon 445 и 446,5258647367,3486X10,"Комплект картриджей PG-445XL (10 шт.) на 4000 страниц для принтеров Canon Pixma iP2840, PixmaiP2845",64,71,2,0,0,0,45033.0,56.34,False,,2059.65,не_видны,модельная
картридж для принтера canon,4515704247,34481,Картридж для Canon i-SENSYS LBP-223 dw,83,55,1,0,0,0,3970.0,33.91,True,12.0,107.14,не_видны,модельная
картридж pantum m6500w,1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",40,55,1,0,0,0,1724.0,41.67,True,30.0,,поднять_ставку,модельная
hp 178 картридж,652454626,0328,"Картридж 178XL для принтеров HP PhotoSmart B109c, DeskJet 3070A, PhotoSmart 5510, PhotoSmart Plus B210b, DeskJet 3070A",74,50,24,0,0,0,827.0,31.04,True,10.0,22.84,не_видны,модельная
чернила универсальные для epson,2041924531,6078,"Чернила №110 для принтеров Epson EcoTank M1100, EcoTankM1120 черный",76,47,3,0,0,0,1913.0,29.45,True,12.0,,не_видны,модельная
картридж hp 650 черный,1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",33,45,5,0,0,0,23506.0,39.48,True,22.0,707.72,поднять_ставку,модельная
canon rp,1893955685,239330,"Картридж для фотопринтера Canon SELPHY CP1500 (KP-108in / RP-108) CP1000, CP1300",33,44,1,0,0,0,9187.0,34.44,False,,104.67,поднять_ставку,модельная
тонер для принтера pantum m6500w,873314556,3257,"Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип + воронка) для Pantum M6500W, M6507W, M6502W, P2500W, P2207, P2200, P2516, P2507",0,44,1,0,0,0,1509.0,28.04,True,13.0,,не_видны,модельная
hp deskjet 2320 картридж,3557211283,6686,"Заправочный комплект 3YM60 для принтеров HP DeskJet 2320, DeskJet 2710, ENVY 6010, ENVY 6020",0,42,3,0,0,0,2236.0,31.89,True,8.0,55.82,не_видны,модельная
epson l18050,1766855608,5758,"Чернила 108BK для принтеров Epson и EcoTank L6490 L18050, EcoTank L8050, 008 черный",63,40,2,0,0,0,827.0,32.22,True,10.0,23.96,не_видны,модельная
ce285a картридж,5234126062,0087X10,"Комплект картриджей CE285A (10 шт.) на 16000 страниц для принтеров HP LaserJet Pro M1132, LJ Pro M1136",136,39,2,0,0,0,19338.0,55.89,False,,876.39,не_видны,модельная
чернила для принтера,1766855608,5758,"Чернила 108BK для принтеров Epson и EcoTank L6490 L18050, EcoTank L8050, 008 черный",418,37,1,0,0,0,827.0,32.22,True,10.0,23.96,не_видны,модельная
краска для принтера hp,873313336,3740,"Чернила GT52 для принтеров HP DeskJet GT5810, DeskJetGT5820, Ink Tank 115, Ink Tank 315, SmartTank 500 желтый",224,36,1,0,0,0,595.0,26.69,True,12.0,13.46,не_видны,модельная
картриджи для принтера hp deskjet 2320,3557211230,6687,"Заправочный комплект 3YM61 для принтеров HP DeskJet 2320, DeskJet 2710, ENVY 6010, ENVY 6020 черный",0,36,2,0,0,0,1866.0,29.03,True,12.0,,не_видны,модельная
картридж hp,2909045114,6605,"Фотобарабан + картридж CF234A-CF233A для принтеров HP LaserJet Ultra M106, LJ Ultra M106w черный",166,36,2,0,0,0,6954.0,37.43,True,37.0,87.87,не_видны,модельная
картридж 122 hp,652492337,0203,"Картридж 122XL для принтеров HP DeskJet 1000 - J110a, DeskJet 1010, Officejet 2620, Officejet 2621 цветной",24,34,1,0,0,0,5538.0,34.83,True,8.0,64.00,поднять_ставку,модельная
epson ecotank l8050,1766855608,5758,"Чернила 108BK для принтеров Epson и EcoTank L6490 L18050, EcoTank L8050, 008 черный",47,31,4,0,0,0,827.0,32.22,True,10.0,23.96,поднять_ставку,модельная
картридж hp 305,5272799523,4886X6,"Комплект картриджей 305XL (6 шт.) на 4200 страниц для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020",27,30,1,0,0,0,37125.0,54.58,False,,1637.40,поднять_ставку,модельная
картридж w1500a,1586846966,54954,"Картридж для HP LaserJet Tank 2602dn, LJ Tank 1502w, LJ Tank 2502dw",58,29,6,0,0,0,1346.0,23.45,True,7.0,,маржа_ниже_KPI,модельная
картридж на принтер,863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",50,29,2,0,0,0,7646.0,41.86,True,45.0,110.67,поднять_ставку,модельная
canon pixma,866442961,1444,"Картриджи CLI-471XL для принтеров Canon Pixma MG5740, Pixma MG6840",25,28,1,0,0,0,2719.0,39.5,True,8.0,88.63,поднять_ставку,модельная
tl-c2310h pantum картридж,3557209592,6383,Картридж TL-C2310H для принтеров BM2300 черный,47,28,4,0,0,0,8313.0,34.07,True,12.0,93.44,поднять_ставку,модельная
картридж для принтера pantum m6500,5287282282,6601X10,"Комплект картриджей PC-211EVXXL (10 шт.) на 100000 страниц для принтеров M6500, M6506NW, M6600N, M6607NW, P2200, P2207, P2500, P2506W",41,26,1,0,0,0,53924.0,56.11,False,,2454.80,поднять_ставку,модельная
картриджи для принтера canon 445 и 446,5258648035,3486X6,"Комплект картриджей PG-445XL (6 шт.) на 2400 страниц для принтеров Canon Pixma iP2840, PixmaiP2845",104,26,2,0,0,0,28609.0,54.82,False,,1268.17,не_видны,модельная
картридж 725,5239599217,0879X10,"Комплект картриджей CF214X (10 шт.) на 175000 страниц для принтеров HP LJ 700 M712DN, M712XH, M725dn, M725f",23,26,2,0,0,0,65680.0,56.17,False,,2993.62,поднять_ставку,модельная
epson 103 чернила,873320105,3855,"Чернила №774BK для принтеров Epson и EcoTank M-200, L 655, L-1455, L-605, M 105, M 205, M-100 черный",254,25,1,0,0,0,883.0,42.4,True,7.0,35.90,не_видны,модельная
картридж pantum bm2300w,4518317702,41593,Картридж для BM5100ADN,81,25,2,0,0,0,2563.0,33.16,True,8.0,67.24,не_видны,модельная
epson l805,1769027288,5764,"Чернила 108/ 008 для принтеров Epson EcoTank L18050, EcoTank L8050, L6490 набор cmyk lclm",0,25,1,0,0,0,3413.0,35.44,True,8.0,97.35,не_видны,модельная
булат 3,4527404322,57541,Тонер-картридж для Bulat P1024,28,24,6,0,0,0,11585.0,33.75,True,12.0,287.27,широкая_фраза,широкая
canon mf3010,5237195917,5351X6,"Комплект картриджей 725 (6 шт.) на 9600 страниц для принтеров Canon i-SENSYS F-158200, LBP6000, LBP6020, MF3010",49,24,4,0,0,0,12668.0,54.25,False,,554.85,поднять_ставку,модельная
картридж hp 650,1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",65,24,3,0,0,0,23506.0,39.48,True,22.0,707.72,не_видны,модельная
чернила epson 103,873320105,3855,"Чернила №774BK для принтеров Epson и EcoTank M-200, L 655, L-1455, L-605, M 105, M 205, M-100 черный",314,22,1,0,0,0,883.0,42.4,True,7.0,35.90,не_видны,модельная
картриджи для принтера canon,1658970308,5521,"Картридж для Canon i-SENSYS MF275dw, LBP120, LBP122dw, MF270, MF272dw",54,21,1,0,0,0,3564.0,25.0,True,26.0,64.34,не_видны,модельная
pg 445 canon картридж,5258647367,3486X10,"Комплект картриджей PG-445XL (10 шт.) на 4000 страниц для принтеров Canon Pixma iP2840, PixmaiP2845",109,20,2,0,0,0,45033.0,56.34,False,,2059.65,не_видны,модельная
картридж pantum m6500,873314556,3257,"Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип + воронка) для Pantum M6500W, M6507W, M6502W, P2500W, P2207, P2200, P2516, P2507",0,20,1,0,0,0,1509.0,28.04,True,13.0,,не_видны,модельная
dc dc,864225563,1074,"Картридж 006R01449 для принтеров Xerox и Phaser DC 240, Phaser DC 242, WC 7655, WC 7665 черный",56,20,2,0,0,0,15349.0,34.43,True,13.0,390.27,не_видны,модельная
комплект картриджей,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",65,20,1,0,0,0,14890.0,27.44,True,23.0,282.12,не_видны,модельная
чернила для принтера epson 103,4518308193,38457,Чернила для Epson L 3156,0,20,1,0,0,0,618.0,37.18,True,10.0,21.42,не_видны,модельная
