# oz_acc1: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 10.6 п.п.; построено 2026-08-18 — в рекламе, но показов нет
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
1659417880,5530,"Картридж W1510X для принтеров HP LaserJet Pro 4003dn, LJ Pro 4103fdn черный",True,22.54,2,от 2000 до 5000 / Эксперимент1,80,0,0.0,,0.0,0,0.0,0.0,,,21,0,0.0,0.0,0.0,3168,51,0,0,93.5000000000000000,49,112,0,4448,7,0,0,43,134203.0000,43,134203.0000,8,2,25.0,2026-05-21,89,0,4577.0,,28.31,17.7,1295.67,0.0407,43.4,23.7,1.2,bid_up,B,сам продаёт 134 203 ₽/90 дн; показов рекламы 80 за окно при ставке 23 ₽
1261629356,5148,"Фотобарабаны 44844469 - 44844472 для принтеров OKI Data MC853, MC873",True,19.33,1,от 10000 до 500 тыс,66,0,0.0,,0.0,0,0.0,0.0,,,20,0,0.0,0.0,0.0,2846,75,0,0,42.0000000000000000,12,169,0,8929,7,0,0,2,117123.0000,6,292833.6300,6,0,0.0,2026-06-06,73,0,89318.0,,20.86,10.3,18634.2,0.0565,800.9,267.6,248.3,no_impressions,S1,показов рекламы 66 за окно при ставке 19 ₽
1586847024,5512,"Блок проявки DV-214K для принтеров Konica Minolta Bizhub 227, Bizhub 287 черный",True,12.0,2,от 10000 до 500 тыс / Эксперимент1,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5,110125.0000,5,110125.0000,1,0,0.0,2026-06-19,60,0,24055.0,,,,,0.0565,,,,no_impressions,S0,показов рекламы 0 за окно при ставке 12 ₽
930609853,0369,Картриджи CE270A-CE273A для принтеров HP Color LaserJet CP5520,True,19.33,1,от 10000 до 500 тыс,50,2,4.0,8.0,16.05,22,2.0,88240.0,0.0,100.0,16,2,16.05,2.0,88240.0,39,32,0,0,45.2500000000000000,34,82,0,118,7,1,44568.0000,2,75134.0000,2,75134.0000,3,1,33.3,2026-08-11,7,0,,,,,,0.0676,,,,no_impressions,S1,показов рекламы 50 за окно при ставке 19 ₽
2708399965,6471,"Картриджи 006R01379 - 006R01382 для принтеров Xerox DCP-700, DCP 770 Digital",True,19.33,1,от 10000 до 500 тыс,62,3,4.84,14.9,44.56,61,0.0,0.0,,0.0,13,0,0.0,0.0,0.0,88,57,0,30836,18.6666666666666667,16,167,0,313,6,0,0,1,52594.0000,1,52594.0000,1,0,0.0,2026-07-15,34,0,76528.0,,19.26,8.7,14737.59,0.0565,617.0,160.1,140.8,ad_eater,E2,"3 кликов, 0 рекламных заказов; но сам продаёт 52 594 ₽/90 дн; показов рекламы 62 за окно при ставке 19 ₽"
870872501,2289,"Картриджи 006R01175-006R01178 для принтеров Xerox и WorkCentre 7328, WC 7335, WC 7345, WC-7346, WCP C2128, WCP C2636",True,12.0,1,от 10000 до 500 тыс,60,1,1.67,6.2,6.2,8,0.0,0.0,,0.0,10,0,0.0,0.0,0.0,64,54,0,0,18.0000000000000000,14,122,0,141,6,0,0,1,51380.0000,1,51380.0000,1,0,0.0,2026-07-15,34,0,,,,,,0.0676,,,,ad_eater,E2,"1 кликов, 0 рекламных заказов; но сам продаёт 51 380 ₽/90 дн; показов рекламы 60 за окно при ставке 12 ₽"
1153758352,2439,"Картридж C-EXV49Bk для принтеров Canon iR Advance C3320, iR Advance C3325 черный",True,14.0,1,от 2000 до 5000,51,1,1.96,14.0,13.96,19,0.0,0.0,,0.0,20,1,13.96,0.0,0.0,89,64,0,0,99.5000000000000000,78,158,0,8429,7,1,5653.0000,11,50271.0000,13,59206.0000,10,0,0.0,2026-08-16,2,0,,,,,,0.0676,,,,ad_eater,E2,"1 кликов, 0 рекламных заказов; но сам продаёт 50 271 ₽/90 дн; показов рекламы 51 за окно при ставке 14 ₽"
984583619,4757,"Картриджи W2010A-W2013A для принтеров HP Color LaserJet M776, LJ M856",True,19.33,2,от 10000 до 500 тыс / Эксперимент1,95,3,3.16,12.9,38.58,53,0.0,0.0,,0.0,20,0,0.0,0.0,0.0,11694,98,0,25109,43.3333333333333333,33,172,0,14848,6,1,44349.0000,1,44349.0000,1,44349.0000,1,0,0.0,2026-07-23,26,0,55219.0,,25.19,14.6,13911.96,0.0565,630.3,299.7,280.4,ad_eater,E2,"3 кликов, 0 рекламных заказов; но сам продаёт 44 349 ₽/90 дн; показов рекламы 95 за окно при ставке 19 ₽"
3861471548,6389,"Картриджи 006R01738-006R01741 для принтеров Xerox PrimeLink C9065, PrimeLink C9070",True,12.89,1,Эксперимент1,71,0,0.0,,0.0,0,0.0,0.0,,,16,0,0.0,0.0,0.0,208,104,0,0,30.0000000000000000,19,248,0,3239,6,0,0,1,43110.0000,1,43110.0000,1,0,0.0,2026-05-20,90,0,58520.0,,21.42,10.8,12534.57,0.0565,543.2,191.9,179.0,no_impressions,S1,показов рекламы 71 за окно при ставке 13 ₽
3557209686,6418,Картриджи TK-5490 для принтеров Kyocera ECOSYS MA2101cfx,True,12.89,1,Эксперимент1,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,41704.0000,4,80175.0000,5,1,20.0,2026-07-08,41,0,22287.0,,61.13,50.5,13624.16,0.0565,707.2,573.3,560.4,bid_up,B,сам продаёт 41 704 ₽/90 дн; показов рекламы 0 за окно при ставке 13 ₽
