sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,ceiling,margin_pct,bid_new,group
1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF75",от 10000 до 500 тыс,27.83,207,3031616,108,1701,195352,43.0,316.4,27.9,60,A. реклама тянет
1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF75",Эксперимент1,23.1,207,3031616,108,3891,135662,43.0,316.4,27.9,60,A. реклама тянет
2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",от 10000 до 500 тыс,24.2,92,1817122,57,478,186939,42.0,495.1,28.8,60,A. реклама тянет
2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",Эксперимент1,13.2,92,1817122,57,284,21969,42.0,495.1,28.8,40,A. реклама тянет
2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",Пустые РК,16.5,92,1817122,57,0,0,42.0,495.1,28.8,50,A. реклама тянет
1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633C",от 10000 до 500 тыс,24.2,121,1273042,60,2606,119963,46.0,241.2,29.9,60,A. реклама тянет
1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633C",Эксперимент1,23.1,121,1273042,60,3179,33621,46.0,241.2,29.9,60,A. реклама тянет
1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,от 10000 до 500 тыс,22.0,99,1200830,63,6,0,61.0,249.6,26.7,60,B. продаёт сама
1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,Эксперимент1,49.5,99,1200830,63,6855,120188,61.0,249.6,26.7,60,B. продаёт сама
1760686645,5771,Картриджи W2300X-W2303X для принтеров HP Color LaserJet Pro ,Вне РК — спрос без рекламы (08.08),15.0,71,1070878,51,0,0,100.0,448.9,28.6,45,B. продаёт сама
870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8",Эксперимент1,27.5,107,1035114,60,2747,142081,37.0,210.6,26.0,60,A. реклама тянет
870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8",от 5000 до 10000,25.3,107,1035114,60,144,0,37.0,210.6,26.0,60,A. реклама тянет
1716070006,5443,Картриджи LC-472XLBK - LC-472XLY для принтеров Brother MFC-J,Вне РК — спрос без рекламы (08.08),15.0,97,1017572,58,0,0,100.0,115.6,30.8,40,B. продаёт сама
2414969106,5629,Картриджи TK-5380 для принтеров Kyocera ECOSYS MA4000cifx,Пустые РК,17.6,57,848218,47,1076,228686,28.0,536.9,20.5,53,A. реклама тянет
863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ",от 10000 до 500 тыс,16.5,30,834702,14,516,35706,49.0,993.2,33.4,50,A. реклама тянет
907612978,3913,Картриджи W2030A-W2033A (№415A) для принтеров HP Color Laser,Эксперимент1,15.4,77,712173,41,788,9136,76.0,197.8,27.3,46,B. продаёт сама
863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613,",Эксперимент1,15.4,81,695714,32,416,0,33.0,106.2,30.9,37,A. реклама тянет
863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613,",от 5000 до 10000,24.2,81,695714,32,1123,38859,33.0,106.2,30.9,37,A. реклама тянет
1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio S",от 10000 до 500 тыс,24.2,38,666317,29,2174,176711,19.0,689.6,36.6,60,A. реклама тянет
653303752,10325,"Картридж для Panasonic KX-MB1500, KX-MB1501, KX MB1507, KXMB",Эксперимент1,15.4,136,551578,12,2355,45572,0.0,132.9,30.3,46,A. реклама тянет
930613826,0756,Картриджи CE410A-CE413A для принтеров HP Color LaserJet Pro ,от 5000 до 10000,13.2,93,529331,48,387,34966,29.0,265.7,31.7,40,A. реклама тянет
930613826,0756,Картриджи CE410A-CE413A для принтеров HP Color LaserJet Pro ,Эксперимент1,8.8,93,529331,48,441,14920,29.0,265.7,31.7,26,A. реклама тянет
863386191,3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L323",Эксперимент1,45.0,89,494306,31,7215,74812,23.0,173.6,29.5,60,A. реклама тянет
863388173,0005,Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480,от 5000 до 10000,15.4,69,485943,26,652,59390,22.0,91.9,31.5,32,A. реклама тянет
863388173,0005,Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480,Эксперимент1,11.0,69,485943,26,277,0,22.0,91.9,31.5,32,A. реклама тянет
864225717,1283,Картриджи CF410A-CF413A для принтеров HP LJ Color Pro M377dw,от 5000 до 10000,24.2,55,479894,40,1293,81149,13.0,208.2,28.8,60,A. реклама тянет
864225717,1283,Картриджи CF410A-CF413A для принтеров HP LJ Color Pro M377dw,Эксперимент1,16.5,55,479894,40,799,49542,13.0,208.2,28.8,50,A. реклама тянет
866443793,2156,Картриджи CF540A-CF543A для принтеров HP LaserJet Pro Color ,Эксперимент1,13.2,63,462134,37,1280,123866,15.0,184.9,29.6,40,A. реклама тянет
874375708,4278,Картриджи W2410A-W2413A для принтеров HP Color LaserJet Pro ,от 5000 до 10000,15.4,43,417576,23,950,46357,62.0,86.7,27.3,30,B. продаёт сама
1719319666,5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,от 5000 до 10000,25.3,82,399081,56,1759,45900,52.0,80.3,35.5,28,A. реклама тянет
3557210726,6851,"Картридж 40STB15 для принтеров F+ Imaging M40adn, M40adn20, ",Эксперимент1,9.9,22,386489,8,106,0,,433.5,26.4,30,C. в июле не продавалась
863390858,3621,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7",Эксперимент1,8.8,48,384496,8,21,0,66.0,118.5,33.6,26,B. продаёт сама
863390858,3621,"Картриджи 731 для принтеров Canon i-SENSYS LBP-7100Cn, LBP 7",от 5000 до 10000,13.2,48,384496,8,121,9552,66.0,118.5,33.6,40,B. продаёт сама
870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, H",от 5000 до 10000,22.0,65,373515,36,187,13148,30.0,175.3,30.5,60,A. реклама тянет
870872512,2240,"Картриджи TN-241-TN-245 для принтеров Brother DCP-9020cdw, H",Эксперимент1,15.4,65,373515,36,408,24710,30.0,175.3,30.5,46,A. реклама тянет
863418800,4214,Картриджи W2210X-W2213X (HP 207X) с чипом для принтеров HP P,от 10000 до 500 тыс,13.2,32,335995,16,376,42975,50.0,227.6,27.6,40,A. реклама тянет
1665073081,5544,"Фотобарабан DR-421CL для принтеров Brother DCP-L8410CDW, HL-",от 10000 до 500 тыс,16.5,20,323716,6,46,21497,0.0,449.0,26.1,50,A. реклама тянет
1665073081,5544,"Фотобарабан DR-421CL для принтеров Brother DCP-L8410CDW, HL-",Эксперимент1,9.9,20,323716,6,18,0,0.0,449.0,26.1,30,A. реклама тянет
930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother",Эксперимент1,9.9,48,315582,14,83,0,49.0,188.8,28.5,30,A. реклама тянет
930617217,2392,"Картриджи TN-423 для принтеров brother dcp-l8410cdw, brother",от 5000 до 10000,23.1,48,315582,14,187,8267,49.0,188.8,28.5,60,A. реклама тянет
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018",от 2000 до 5000,16.5,72,296323,15,199,5870,46.0,54.8,26.1,19,A. реклама тянет
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018",Эксперимент1,9.9,72,296323,15,165,4383,46.0,54.8,26.1,19,A. реклама тянет
870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6",от 5000 до 10000,19.8,33,294968,24,340,28924,62.0,233.1,29.3,59,B. продаёт сама
870872440,2404,"Картриджи TK-5270 для принтеров Kyocera EcoSys M6230cidn, M6",Эксперимент1,14.3,33,294968,24,105,9334,62.0,233.1,29.3,43,B. продаёт сама
2510033633,6283,"Картриджи 006R04395-006R04398 для принтеров Xerox C230, C235",от 10000 до 500 тыс,13.2,4,273714,2,346,0,,1047.7,23.6,40,C. в июле не продавалась
1261629356,5148,Фотобарабаны 44844469 - 44844472 для принтеров OKI Data MC85,от 10000 до 500 тыс,13.2,6,272363,4,7,0,,1511.8,23.3,40,C. в июле не продавалась
1771578083,5723,"Картриджи 006R04368-006R04371 для принтеров Xerox C310, C315",от 10000 до 500 тыс,17.6,23,271861,13,299,57190,0.0,317.2,28.3,53,A. реклама тянет
