# oz_acc1: эффект разгона ставок. ДО 2026-07-27..2026-08-07 (12 дн) / ПОСЛЕ 2026-08-09..2026-08-16 (7 дн, нет 13.08); органика неделя 2026-07-27 → 2026-08-03; ставки на 2026-08-17; маржа = margin_own_live − 10.6 п.п.; построено 2026-08-17 — ПОНИЖАТЬ
sku,offer_id,name,bid_start,bid_target,bid_current,status,grp,n_steps,first_step,last_step,pre_views,pre_clicks,pre_spend,pre_ord,pre_rev,pre_bid,pre_days,post_views,post_clicks,post_spend,post_ord,post_rev,post_bid,post_days,bid_now,org_views_pre,org_ord_pre,org_gmv_pre,org_pos_pre,org_views_post,org_ord_post,org_gmv_post,org_pos_post,sale_rev_pre,sale_rev_post,rev90,qty90,our_price,margin_own_live,verdict,is_archived,pre_views_d,post_views_d,pre_clicks_d,post_clicks_d,pre_spend_d,post_spend_d,pre_ord_d,post_ord_d,pre_rev_d,post_rev_d,d_clicks,d_spend,d_views,x_clicks,bid_up_fact,post_drr,pre_drr,post_cpc,margin_safe,cr_bucket,ceiling_safe,bid_ref,headroom,d_org_views,d_org_pos,verdict_ramp,why
651928956,0192,"Картридж 121XL для принтеров HP NVY 110 e-All-in-One, DeskJet D1660, DeskJet F2483, DeskJetD1663, DJ-F4435, DeskJet F4200, ENVY 100 e, ENVY 120 e AllinOne, PhotoSmart C4640, PhotoSmart C4650",12.0,40.0,19.33,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,125,1,1.0,0.0,0.0,13.1000000000000000,12,175,5,50.34,0.0,0.0,17.2642857142857143,7,19.33,41,0,0,129.0000000000000000,87,0,0,81.0000000000000000,0,0,0,0,,,,False,10.417,25.0,0.083,0.714,0.083,7.191,0.0,0.0,0.0,0.0,0.631,7.11,14.58,8.6,4.2,,,10.1,,0.06,,19.33,,46.0,-48.0,LOSE,"расход 7.2 ₽/дн против 0.1 ₽/дн, 5 кликов и 0 заказов, продаж за 90 дн нет"
5265967060,4433X6,"Комплект чернил №110 (6 шт.) на 36000 страниц для принтеров Epson EcoTank M1100, EcoTankM1120",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,40,2,46.29,0.0,0.0,19.6142857142857143,7,21.96,4,0,0,51.0000000000000000,9,0,0,59.0000000000000000,0,0,0,0,4909.0,43.67,нет_индекса,False,0.0,5.714,0.0,0.286,0.0,6.613,0.0,0.0,0.0,0.0,0.286,6.61,5.71,,,,,23.1,33.1,0.04,55.1,21.96,33.1,5.0,8.0,LOSE,"расход 6.6 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
1163041002,1935,"Картридж T6943 для принтеров Epson SureColor SC-SC-T7200, SC T3000, SCT3200, SC-T5000, SCT5200, SC T7000 пурпурный",13.0,39.0,20.93,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,61,0,0.0,0.0,0.0,14.1818181818181818,11,98,2,36.02,0.0,0.0,18.6971428571428571,7,20.93,34,0,0,30.0000000000000000,27,0,0,39.0000000000000000,0,0,0,0,,,,False,5.083,14.0,0.0,0.286,0.0,5.146,0.0,0.0,0.0,0.0,0.286,5.15,8.92,,4.5,,,18.0,,0.06,,20.93,,-7.0,9.0,LOSE,"расход 5.1 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
4480823818,08539,Картридж для Brother DCP-8110DN,8.0,32.0,19.33,running,C. в июле не продавалась,10,2026-08-08,2026-08-13,63,1,1.0,1.0,2973.0,9.6857142857142857,12,228,2,33.75,0.0,0.0,13.0409090909090909,7,19.33,4,0,0,88.0000000000000000,29,0,1927,140.0000000000000000,0,0,0,0,3300.0,29.93,нет_индекса,False,5.25,32.571,0.083,0.286,0.083,4.821,0.083,0.0,247.75,0.0,0.203,4.74,27.32,3.45,3.4,,0.0,16.9,19.3,0.04,18.9,19.33,-0.4,25.0,52.0,LOSE,"расход 4.8 ₽/дн против 0.1 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
5278543346,5439X6,"Комплект картриджей LC-472XL BK (6 шт.) на 18000 страниц для принтеров Brother MFC-J2340DW, MFC J3540DW",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,102,2,26.76,0.0,0.0,19.6142857142857143,7,21.96,0,0,0,,16,0,0,83.0000000000000000,0,0,0,0,45000.0,47.06,нет_индекса,False,0.0,14.571,0.0,0.286,0.0,3.823,0.0,0.0,0.0,0.0,0.286,3.82,14.57,,,,,13.4,36.5,0.02,283.1,21.96,261.1,16.0,,LOSE,"расход 3.8 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
5251235786,2312X2,"Комплект картриджей 650 (2 шт.) на 720 страниц для принтеров HP DeskJet 1015, DeskJet 1515, DJ2516, DJ 3545, DJ 4515, DJ 4645",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,48,1,22.77,0.0,0.0,19.6142857142857143,7,21.96,9,0,0,173.0000000000000000,12,0,0,216.0000000000000000,0,0,0,0,9538.0,37.75,нет_индекса,False,0.0,6.857,0.0,0.143,0.0,3.253,0.0,0.0,0.0,0.0,0.143,3.25,6.86,,,,,22.8,27.1,0.03,63.4,21.96,41.4,3.0,43.0,LOSE,"расход 3.3 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
1155648940,0272,"Картридж CLT-Y407S для принтеров Samsung CLP-320, CLP 325, CLX-3180, CLX3185 желтый",9.0,13.0,13.0,done,C. в июле не продавалась,4,2026-08-08,2026-08-12,75,0,0.0,0.0,0.0,9.8181818181818182,11,78,2,22.13,0.0,0.0,12.2557142857142857,7,13.0,9,0,0,79.0000000000000000,14,0,0,116.0000000000000000,0,0,0,0,,,,False,6.25,11.143,0.0,0.286,0.0,3.161,0.0,0.0,0.0,0.0,0.286,3.16,4.89,,2.4,,,11.1,,0.06,,13.0,,5.0,37.0,LOSE,"расход 3.2 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
5280908622,5781X6,"Комплект фотобарабанов 013R00691 (6 шт.) на 72000 страниц для принтеров Xerox B225, B230, B235",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,17,1,21.03,0.0,0.0,20.0680000000000000,5,21.96,0,0,0,,36,0,0,23.0000000000000000,0,0,0,0,31255.0,45.25,нет_индекса,False,0.0,2.429,0.0,0.143,0.0,3.004,0.0,0.0,0.0,0.0,0.143,3.0,2.43,,,,,21.0,34.6,0.02,185.3,21.96,163.3,36.0,,LOSE,"расход 3.0 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5238218205,0328X2,"Комплект картриджей 178XL (2 шт.) на 1100 страниц для принтеров HP DeskJet 3070A, DESKJET 3522 E, DeskJet3524, PhotoSmart 5510, PhotoSmart5515",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,96,1,19.7,0.0,0.0,19.6142857142857143,7,21.96,3,0,0,43.0000000000000000,13,0,0,183.0000000000000000,0,0,0,0,1642.0,33.43,нет_индекса,False,0.0,13.714,0.0,0.143,0.0,2.814,0.0,0.0,0.0,0.0,0.143,2.81,13.71,,,,,19.7,22.8,0.05,14.6,21.96,-7.4,10.0,140.0,LOSE,"расход 2.8 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5249702927,2135X6,"Комплект картриджей TK-5240BK (6 шт.) на 24000 страниц для принтеров Kyocera Ecosys M5526cdn, P5026cdn",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,24,1,19.7,0.0,0.0,19.6142857142857143,7,21.96,23,0,0,42.0000000000000000,13,0,0,108.0000000000000000,0,0,0,0,14440.0,45.58,нет_индекса,False,0.0,3.429,0.0,0.143,0.0,2.814,0.0,0.0,0.0,0.0,0.143,2.81,3.43,,,,,19.7,35.0,0.02,86.6,21.96,64.6,-10.0,66.0,LOSE,"расход 2.8 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5237218366,0060X6,"Комплект картриджей 719H (6 шт.) на 38400 страниц для принтеров Canon i-SENSYS LBP-251dw, LBP 252dw, MF-411dw, MF416dw, MF-418x, MF419x, MF 5840d, MF 5880dn MF5980dw MF 6140dn MF6180dw",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,36,1,19.38,0.0,0.0,19.6142857142857143,7,21.96,21,0,0,20.0000000000000000,19,0,0,53.0000000000000000,0,0,0,0,18700.0,45.51,нет_индекса,False,0.0,5.143,0.0,0.143,0.0,2.769,0.0,0.0,0.0,0.0,0.143,2.77,5.14,,,,,19.4,34.9,0.02,111.9,21.96,89.9,-2.0,33.0,LOSE,"расход 2.8 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5278542066,5439X2,"Комплект картриджей LC-472XL BK (2 шт.) на 6000 страниц для принтеров Brother MFC-J2340DW, MFC J3540DW",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,98,1,18.16,0.0,0.0,19.6142857142857143,7,21.96,0,0,0,,6,0,0,9.0000000000000000,0,0,0,0,45000.0,47.06,нет_индекса,False,0.0,14.0,0.0,0.143,0.0,2.594,0.0,0.0,0.0,0.0,0.143,2.59,14.0,,,,,18.2,36.5,0.02,283.1,21.96,261.1,6.0,,LOSE,"расход 2.6 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5240259203,1320X2,"Комплект картриджей 45807111/45807121 (2 шт.) на 24000 страниц для принтеров OKI B412, B412dn, Data B432, B432dn, B512, B512dn, Kraftway KRP432, MB492 MB492dn MB562 MB562dnw",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,59,1,16.97,0.0,0.0,19.6142857142857143,7,21.96,9,0,0,54.0000000000000000,23,0,0,39.0000000000000000,0,0,0,0,9073.0,39.78,нет_индекса,False,0.0,8.429,0.0,0.143,0.0,2.424,0.0,0.0,0.0,0.0,0.143,2.42,8.43,,,,,17.0,29.2,0.03,65.8,21.96,43.8,14.0,-15.0,LOSE,"расход 2.4 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
