# oz_acc1: эффект разгона ставок. ДО 2026-07-27..2026-08-07 (12 дн) / ПОСЛЕ 2026-08-09..2026-08-15 (6 дн, нет 13.08 и 16.08); органика неделя 2026-07-27 → 2026-08-03; ставки на 2026-08-17; маржа = margin_own_live − 10.6 п.п.; построено 2026-08-17 — вся когорта разгона
sku,offer_id,name,bid_start,bid_target,bid_current,status,grp,n_steps,first_step,last_step,pre_views,pre_clicks,pre_spend,pre_ord,pre_rev,pre_bid,pre_days,post_views,post_clicks,post_spend,post_ord,post_rev,post_bid,post_days,bid_now,org_views_pre,org_ord_pre,org_gmv_pre,org_pos_pre,org_views_post,org_ord_post,org_gmv_post,org_pos_post,sale_rev_pre,sale_rev_post,rev90,qty90,our_price,margin_own_live,verdict,is_archived,pre_views_d,post_views_d,pre_clicks_d,post_clicks_d,pre_spend_d,post_spend_d,pre_ord_d,post_ord_d,pre_rev_d,post_rev_d,d_clicks,d_spend,d_views,x_clicks,bid_up_fact,post_drr,pre_drr,post_cpc,margin_safe,cr_bucket,ceiling_safe,bid_ref,headroom,d_org_views,d_org_pos,verdict_ramp,why
651928956,0192,"Картридж 121XL для принтеров HP NVY 110 e-All-in-One, DeskJet D1660, DeskJet F2483, DeskJetD1663, DJ-F4435, DeskJet F4200, ENVY 100 e, ENVY 120 e AllinOne, PhotoSmart C4640, PhotoSmart C4650",12.0,40.0,19.33,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,125,1,1.0,0.0,0.0,13.1000000000000000,12,159,5,50.34,0.0,0.0,16.9200000000000000,6,19.33,41,0,0,129.0000000000000000,87,0,0,81.0000000000000000,0,0,0,0,,,,False,10.417,26.5,0.083,0.833,0.083,8.39,0.0,0.0,0.0,0.0,0.75,8.31,16.08,10.04,3.8,,,10.1,,0.06,,19.33,,46.0,-48.0,LOSE,"расход 8.4 ₽/дн против 0.1 ₽/дн, 5 кликов и 0 заказов, продаж за 90 дн нет"
1163041002,1935,"Картридж T6943 для принтеров Epson SureColor SC-SC-T7200, SC T3000, SCT3200, SC-T5000, SCT5200, SC T7000 пурпурный",13.0,39.0,20.93,running,C. в июле не продавалась,5,2026-08-08,2026-08-13,61,0,0.0,0.0,0.0,14.1818181818181818,11,89,2,36.02,0.0,0.0,18.3250000000000000,6,20.93,34,0,0,30.0000000000000000,27,0,0,39.0000000000000000,0,0,0,0,,,,False,5.083,14.833,0.0,0.333,0.0,6.003,0.0,0.0,0.0,0.0,0.333,6.0,9.75,,4.1,,,18.0,,0.06,,20.93,,-7.0,9.0,LOSE,"расход 6.0 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
4480823818,08539,Картридж для Brother DCP-8110DN,8.0,32.0,19.33,running,C. в июле не продавалась,10,2026-08-08,2026-08-13,63,1,1.0,1.0,2973.0,9.6857142857142857,12,173,2,33.75,0.0,0.0,13.0560000000000000,6,19.33,4,0,0,88.0000000000000000,29,0,1927,140.0000000000000000,0,0,0,0,3300.0,29.93,нет_индекса,False,5.25,28.833,0.083,0.333,0.083,5.625,0.083,0.0,247.75,0.0,0.25,5.54,23.58,4.01,3.4,,0.0,16.9,19.3,0.04,18.9,19.33,-0.4,25.0,52.0,LOSE,"расход 5.6 ₽/дн против 0.1 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
5278543346,5439X6,"Комплект картриджей LC-472XL BK (6 шт.) на 18000 страниц для принтеров Brother MFC-J2340DW, MFC J3540DW",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,94,2,26.76,0.0,0.0,19.2233333333333333,6,21.96,0,0,0,,16,0,0,83.0000000000000000,0,0,0,0,45000.0,47.06,нет_индекса,False,0.0,15.667,0.0,0.333,0.0,4.46,0.0,0.0,0.0,0.0,0.333,4.46,15.67,,,,,13.4,36.5,0.02,283.1,21.96,261.1,16.0,,LOSE,"расход 4.5 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
1155648940,0272,"Картридж CLT-Y407S для принтеров Samsung CLP-320, CLP 325, CLX-3180, CLX3185 желтый",9.0,13.0,13.0,done,C. в июле не продавалась,4,2026-08-08,2026-08-12,75,0,0.0,0.0,0.0,9.8181818181818182,11,76,2,22.13,0.0,0.0,12.1316666666666667,6,13.0,9,0,0,79.0000000000000000,14,0,0,116.0000000000000000,0,0,0,0,,,,False,6.25,12.667,0.0,0.333,0.0,3.688,0.0,0.0,0.0,0.0,0.333,3.69,6.42,,2.3,,,11.1,,0.06,,13.0,,5.0,37.0,LOSE,"расход 3.7 ₽/дн против 0.0 ₽/дн, 2 кликов и 0 заказов, продаж за 90 дн нет"
5265967060,4433X6,"Комплект чернил №110 (6 шт.) на 36000 страниц для принтеров Epson EcoTank M1100, EcoTankM1120",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,33,1,20.14,0.0,0.0,19.2233333333333333,6,21.96,4,0,0,51.0000000000000000,9,0,0,59.0000000000000000,0,0,0,0,4909.0,43.67,нет_индекса,False,0.0,5.5,0.0,0.167,0.0,3.357,0.0,0.0,0.0,0.0,0.167,3.36,5.5,,,,,20.1,33.1,0.04,55.1,21.96,33.1,5.0,8.0,LOSE,"расход 3.4 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5238218205,0328X2,"Комплект картриджей 178XL (2 шт.) на 1100 страниц для принтеров HP DeskJet 3070A, DESKJET 3522 E, DeskJet3524, PhotoSmart 5510, PhotoSmart5515",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,83,1,19.7,0.0,0.0,19.2233333333333333,6,21.96,3,0,0,43.0000000000000000,13,0,0,183.0000000000000000,0,0,0,0,1642.0,33.43,нет_индекса,False,0.0,13.833,0.0,0.167,0.0,3.283,0.0,0.0,0.0,0.0,0.167,3.28,13.83,,,,,19.7,22.8,0.05,14.6,21.96,-7.4,10.0,140.0,LOSE,"расход 3.3 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5249702927,2135X6,"Комплект картриджей TK-5240BK (6 шт.) на 24000 страниц для принтеров Kyocera Ecosys M5526cdn, P5026cdn",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,21,1,19.7,0.0,0.0,19.2233333333333333,6,21.96,23,0,0,42.0000000000000000,13,0,0,108.0000000000000000,0,0,0,0,14440.0,45.58,нет_индекса,False,0.0,3.5,0.0,0.167,0.0,3.283,0.0,0.0,0.0,0.0,0.167,3.28,3.5,,,,,19.7,35.0,0.02,86.6,21.96,64.6,-10.0,66.0,LOSE,"расход 3.3 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5237218366,0060X6,"Комплект картриджей 719H (6 шт.) на 38400 страниц для принтеров Canon i-SENSYS LBP-251dw, LBP 252dw, MF-411dw, MF416dw, MF-418x, MF419x, MF 5840d, MF 5880dn MF5980dw MF 6140dn MF6180dw",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,30,1,19.38,0.0,0.0,19.2233333333333333,6,21.96,21,0,0,20.0000000000000000,19,0,0,53.0000000000000000,0,0,0,0,18700.0,45.51,нет_индекса,False,0.0,5.0,0.0,0.167,0.0,3.23,0.0,0.0,0.0,0.0,0.167,3.23,5.0,,,,,19.4,34.9,0.02,111.9,21.96,89.9,-2.0,33.0,LOSE,"расход 3.2 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
5278542066,5439X2,"Комплект картриджей LC-472XL BK (2 шт.) на 6000 страниц для принтеров Brother MFC-J2340DW, MFC J3540DW",15.0,30.0,21.96,running,Бандлы x2/x6 — старт (08.08),4,2026-08-10,2026-08-13,0,0,0,0,0,,0,90,1,18.16,0.0,0.0,19.2233333333333333,6,21.96,0,0,0,,6,0,0,9.0000000000000000,0,0,0,0,45000.0,47.06,нет_индекса,False,0.0,15.0,0.0,0.167,0.0,3.027,0.0,0.0,0.0,0.0,0.167,3.03,15.0,,,,,18.2,36.5,0.02,283.1,21.96,261.1,6.0,,LOSE,"расход 3.0 ₽/дн против 0.0 ₽/дн, 1 кликов и 0 заказов, продаж за 90 дн нет"
