offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",3,13726,14,27.44,True,True
2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",2,13629,12,28.34,True,True
7071,Картридж CT202952 для принтеров Fuji Xerox DocuCentre SC2022 черный,5,8481,16,25.36,False,False
3435,"Картриджи TN-217 для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-l3270cdw, MFC-L3770CDW",4,8300,11,41.86,True,False
0005,"Картриджи CLT-404S для принтеров samsung xpress sl-c430/c480, самсунг sl-c480w",5,3886,12,34.5,True,True
0905,"Картриджи LC-1240 для принтеров Brother DCP-J525W, DCP J725DW, MFC-J430W, MFC-J5910DW",2,2479,11,33.68,True,True
2280,"Картриджи CF530A-CF533A для принтеров hp color laserjet pro mfp m180n, hp m181fw,",3,2478,15,30.36,False,False
5767,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203cdn",7,1596,13,36.34,True,True
4394,"Картридж PG-440 для принтеров Canon Pixma MG2140, PixmaMG2240 черный",1,1554,24,35.21,True,False
1274,"Картриджи LC567XL-LC565XL для принтеров Brother MFC-J2310, MFC-J2510",2,1545,16,35.55,True,False
4481,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN",9,1461,13,33.65,True,True
4659,"Картридж M21-500595YL для принтеров Brady BMP 21-LAB, BMP 21-PLUS",4,1191,14,35.11,True,False
2237,"Картриджи TN-135 для принтеров Brother DCP-9040CN, DCP 9045CN, HL-4040 cn, HL4050CDN, HL-4070, MFC-9440CN, MFC9450",7,1057,14,34.07,True,False
10444,Картридж для Samsung SL-M4070,3,649,21,34.62,True,False
5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300FDN, P3010D, P3300DN черный",6,638,15,41.67,True,False
0981,"Фотобарабан 44574302 DU для принтеров OKI Data-B411, Data B431, MB461",6,530,13,34.91,True,True
3773,"Картридж 46443115 для принтеров OKI Data C833, Data C843 голубой",1,523,17,33.96,True,False
3774,"Картридж 46443114 для принтеров OKI Data C833, Data C843 пурпурный",1,523,17,35.21,True,False
10123,Картридж для OKI Data MC560,1,523,19,33.07,True,False
3064,Картриджи TK-5290 для принтеров Kyocera Ecosys P7240cdn,5,465,13,28.26,True,True
6547,"Картриджи 064H для принтеров Canon i-SENSYS LBP-722Cdw, MF832Cdw",10,460,11,25.58,True,True
5521,"Картридж для Canon i-SENSYS MF275dw, LBP120, LBP122dw, MF270, MF272dw",5,408,11,25.0,True,True
5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,3,312,16,30.05,True,True
53354,Картридж для Canon i-SENSYS MF4018,8,295,13,26.71,True,True
6605,"Фотобарабан + картридж CF234A-CF233A для принтеров HP LaserJet Ultra M106, LJ Ultra M106w черный",8,259,11,37.43,True,False
17911,Картридж для OKI C801,1,257,27,35.1,True,False
5388,"Картриджи 055H для принтеров Canon i-SENSYS LBP-662, LBP 663, MF 741, MF 743",13,248,12,40.63,True,True
