sku,offer_id,name,campaign,bid_now,qty_180d,revenue_180d,qty_90d,ad_spend_july,ad_revenue_july,organic_pct,reason
5272628215,4832X2,Комплект картриджей CF289X (2 шт.) на 20000 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
930619573,3207,Картридж CF363A для принтеров HP Color LaserJet Enterprise M,Эксперимент1,8.0,0,0,0,0,0,,нет продаж 180 дн
5289887575,6851X2,Комплект картриджей 40STB15 (2 шт.) на 30000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5233230021,0035X2,Комплект картриджей SCX-4200 (2 шт.) на 6000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5244134484,1761X6,Комплект фотобарабанов 44574307 DU (6 шт.) на 150000 страниц,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
930626677,2732,"Лента TZe-131 для принтеров Brother PT-1000, PT 1005, PT1010",Эксперимент1,8.0,0,0,0,0,0,,нет продаж 180 дн
5255259852,2960X2,Комплект фотобарабанов C-EXV33 DU (2 шт.) на 338000 страниц ,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5281214851,5845X2,Комплект тонер-картриджей 006R01819 (2 шт.) на 62000 страниц,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5260427107,3717X6,Комплект картриджей 418481 (6 шт.) на 240000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
1798004896,5552,"Картридж TNP-76 для принтеров Konica bizhub 4020i, 4000i",от 2000 до 5000,12.0,0,0,0,33,0,,нет продаж 180 дн
5272027515,4746X6,Комплект картриджей PG-460XL (6 шт.) на 2400 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5256281781,3083X2,Комплект картриджей 903XL (2 шт.) на 1650 страниц для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5279669988,5530X6,Комплект картриджей W1510X (6 шт.) на 58200 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
873319775,3841,"Чернила BT5000C для принтеров Brother DCP-T300, DCP T310, MF",Эксперимент1,6.0,0,0,0,0,0,,нет продаж 180 дн
5249702927,2135X6,Комплект картриджей TK-5240BK (6 шт.) на 24000 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5280251334,5698X6,Комплект картриджей 070H (6 шт.) на 61200 страниц для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5265230747,4264X2,Комплект картриджей 006R01701 (2 шт.) на 52000 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5280119647,5631X2,Комплект тонер-картриджей TK-5440K (2 шт.) на 5200 страниц д,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5322425091,2633X6,Комплект картриджей TN-221K (6 шт.) на 144000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5278081521,5384X2,Комплект картриджей 055H BK (2 шт.) на 15200 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5251771585,2388X2,Комплект картриджей TN-423BK (2 шт.) на 13000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5249698884,2135X2,Комплект картриджей TK-5240BK (2 шт.) на 8000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5255536901,2979X2,Комплект картриджей 106R03745BK (2 шт.) на 47200 страниц для,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5239515821,0830X6,Комплект картриджей C-EXV33 (6 шт.) на 90000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
1153731902,1994,"Фотобарабан DR-114 DU для принтеров Konica Minolta 7115, 711",от 10000 до 500 тыс,12.0,0,0,0,35,0,,нет продаж 180 дн
5265967060,4433X6,Комплект чернил №110 (6 шт.) на 36000 страниц для принтеров ,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
652454538,0087,"Картридж CE285A для принтеров HP LaserJet Pro M1132, LJ Pro ",от 1000-2000,12.0,0,0,0,1,0,,нет продаж 180 дн
5322451343,4480X2,Комплект картриджей W9025MC (2 шт.) на 66000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5280097888,5621X6,Комплект тонер-картриджей TK-5370K (6 шт.) на 42000 страниц ,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5279551540,5521X2,Комплект картриджей 071H (2 шт.) на 5000 страниц для принтер,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5250431384,2227X2,Комплект фотобарабанов CF234A (2 шт.) на 18400 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5240181081,1307X6,Комплект картриджей 50F5U00 (6 шт.) на 120000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5240087928,1279X2,Комплект картриджей CF410A (2 шт.) на 4600 страниц для принт,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5285119952,6231X6,Комплект картриджей PC-212EV XL (6 шт.) на 36000 страниц для,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5276873456,5237X6,Комплект картриджей 069 (6 шт.) на 12600 страниц для принтер,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5289879276,6851X6,Комплект картриджей 40STB15 (6 шт.) на 90000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5278543346,5439X6,Комплект картриджей LC-472XL BK (6 шт.) на 18000 страниц для,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5239655157,0980X6,Комплект картриджей 44992404 (6 шт.) на 15000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5250362136,2219X2,Комплект картриджей PR2 (2 шт.) на 4000000 знаков для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5281028949,5806X6,Комплект картриджей TN-3600XXL (6 шт.) на 66000 страниц для ,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5285082922,6231X2,Комплект картриджей PC-212EV XL (2 шт.) на 12000 страниц для,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5276836940,5229X6,Комплект картриджей 067H (6 шт.) на 18780 страниц для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5280330631,5706X2,Комплект лент M210-750-488 (2 шт.) на 12 метров для принтеро,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5259400790,3617X6,Комплект фотобарабанов 101R00664 DU (6 шт.) на 60000 страниц,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5279550442,5521X6,Комплект картриджей 071H (6 шт.) на 15000 страниц для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5290540232,6885X2,Комплект фотобарабанов 60IU60S (2 шт.) на 120000 страниц для,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5260010102,3669X6,Комплект картриджей 106R03765 (6 шт.) на 64200 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5238218205,0328X2,Комплект картриджей 178XL (2 шт.) на 1100 страниц для принте,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5233232895,5344X6,Комплект картриджей SCX-4100 (6 шт.) на 18000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5279667146,5530X2,Комплект картриджей W1510X (2 шт.) на 19400 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5250215130,2208X6,Комплект картриджей iR40T (6 шт.) на 258мл. для принтеров Ci,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5281215543,5845X6,Комплект тонер-картриджей 006R01819 (6 шт.) на 186000 страни,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5251771172,2388X6,Комплект картриджей TN-423BK (6 шт.) на 39000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5240259203,1320X2,Комплект картриджей 45807111/45807121 (2 шт.) на 24000 стран,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5241191759,1425X2,Комплект картриджей 45807120 (2 шт.) на 14000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5272497902,4821X2,Комплект картриджей TL-420Е (2 шт.) на 2000 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5232958111,0024X2,Комплект картриджей Q6511A (2 шт.) на 12000 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5293366504,5953X2,Комплект тонер-картриджей THM348 (2 шт.) на 60000 страниц дл,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5281036212,5807X6,Комплект картриджей C-EXV65K (6 шт.) на 105000 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5239560720,0856X2,Комплект картриджей TN-241BK (2 шт.) на 5000 страниц для при,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
3415746776,1050,"Картридж CLT-C504S для принтеров Samsung CLP-410, CLP 415N, ",от 2000 до 5000,12.0,0,0,0,0,0,,нет продаж 180 дн
5241203195,1425X6,Комплект картриджей 45807120 (6 шт.) на 42000 страниц для пр,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5322445688,3909X2,Комплект картриджей W2030A (2 шт.) на 4800 страниц для принт,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5250016222,2183X2,Комплект картриджей 953XLBK (2 шт.) на 2000 страниц для прин,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5251235786,2312X2,Комплект картриджей 650 (2 шт.) на 720 страниц для принтеров,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
5272584452,4830X2,Комплект фотобарабанов W1104A (2 шт.) на 40000 страниц для п,Бандлы x2/x6 — старт (08.08),15.0,0,0,0,0,0,,нет продаж 180 дн
