# oz_acc1: неделя 31.08–06.09 против 24.08–30.08; органика — неделя 24.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
enter,enter,653138771,0583,"Картридж TN-325BK для принтеров Brother и DCP-9055, DCP 9270, HL-4140, HL4150, HL-4570 cdw, MFC-9460, MFC9465 CDN черный",,,6.0,,17.2,,19.0,3073.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,31.0000000000000000,42.0000000000000000,-11.0,4,3,0,4,,0,0,1,2685.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,1999049225,5895,"Картридж PFI-030Y для принтеров Canon imagePROGRAF TM-240, TM 250, TM255, IPF ТМ-340, TM-350, TM355 желтый",,,6.0,,31.5,,17.3,8546.0,0.03,справочная,0,0,0,0,0,,,,0,0,0,,26.0000000000000000,37.0000000000000000,-11.0,28,4,0,31,15,0,12,2,15809.0000,0,2,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 2 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,2999164787,1666,"Картридж CF230X для Canon i-SENSYS LBP162dw, i SENSYS MF264dw, iSENSYS MF267dw, HP LaserJet Pro M227sdn, LJ Pro M203dn, LJ Pro M203dw, LJ Ultra M230sdn",,,6.0,,13.8,,17.9,2674.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,255.0000000000000000,103.0000000000000000,152.0,8,1,0,1819,4,2,8,1,2646.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4444791030,00112,Картридж для HP LaserJet P2035,,,6.0,,19.9,,20.3,3250.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,96.0000000000000000,74.0000000000000000,22.0,20,14,0,19098,2,3,15,1,3149.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4481064725,11522,Картридж для HP Color LJ M553dn,,,6.0,,26.2,,16.0,7943.0,0.03,справочная,0,0,0,0,0,,,,0,0,0,,56.0000000000000000,133.0000000000000000,-77.0,6,3,0,263,25,0,5,1,8132.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,4527408410,57735,Картридж для Canon i-SENSYS MF465dw,,,6.0,,21.5,,18.8,3891.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,107.0000000000000000,31.0000000000000000,76.0,9,-1,0,13,60,0,7,2,6836.0000,0,2,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 2 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,5166047331,02321,Картридж для Panasonic KX-MB263,,,6.0,,0.0,,-8.6,466.0,0.06,справочная,0,0,0,0,0,,,,0,0,0,,56.0000000000000000,90.0000000000000000,-34.0,84,44,167,353,3,3,9,2,1016.0000,3,7,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 2 шт  органика 167 ₽. Заводим с пола 6 ₽
enter,enter,5237317474,0744X2,"Комплект картриджей CE255X (2 шт.) на 25000 страниц для принтеров HP LaserJet P3010, LJ Pro M521dn, LJ Pro M521dw, LJP3015",,,6.0,,44.6,,27.2,10055.0,0.02,справочная,0,0,0,0,0,,,,0,0,0,,81.0000000000000000,110.0000000000000000,-29.0,9,0,0,12,30,0,2,1,10435.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,5239444275,0205X6,"Комплект картриджей CE285X (6 шт.) на 19200 страниц для принтеров HP LaserJet Pro M1132, LJ Pro M1136",,,6.0,,84.4,,34.9,14110.0,0.02,справочная,0,0,0,0,0,,,,0,0,0,,148.0000000000000000,177.0000000000000000,-29.0,17,-1,0,108,15,0,15,1,19300.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
enter,enter,5240079183,0320X2,"Комплект картриджей 82BK (2 шт.) на 2800 страниц для принтеров HP DesignJet 111, DJ-111Roll, DJ111Tray, DJ 510 24, DJ 510 42",,,6.0,,25.0,,26.6,2899.0,0.04,справочная,0,0,0,0,0,,,,0,0,0,,141.0000000000000000,55.0000000000000000,86.0,7,0,0,7,4,1,7,1,4969.0000,0,1,0,0,0,0,0,вне рекламы  но неделю отработал сам: продажи 1 шт  органика 0 ₽. Заводим с пола 6 ₽
