# oz_acc1: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
green,up10,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",от 10000 до 500 тыс,40.74,44.8,4.1,88.4,47.7,14.9,14890.0,0.06,факт,459,22,973.76,2.0,22078.0,44.3,4.79,4.4,14,306.60,2.0,21.9,13.0000000000000000,25.0000000000000000,-12.0,291,-263,7316,28438,3,7,15,2,22078.0000,3,121,46,1463.34,5.0,0,0,"2 заказ(ов) на 22078 ₽, ДРР 4.4 %, было 2; ставка 40.74 ₽ при потолке 88.4 ₽"
green,up10,870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",Эксперимент1,40.27,44.3,4.0,51.8,11.5,13.0,10792.0,0.06,факт,1485,17,803.38,2.0,22567.0,47.3,1.14,3.6,15,458.04,2.0,30.5,20.0000000000000000,28.0000000000000000,-8.0,304,-126,13714,22491,8,2,15,2,22567.0000,3,69,50,1733.63,8.0,0,0,"2 заказ(ов) на 22567 ₽, ДРР 3.6 %, было 2; ставка 40.27 ₽ при потолке 51.8 ₽"
green,up10,930627436,1275,"Картриджи LC569XL-LC565XL для принтеров Brother MFC-J3520, MFC-J3720",Эксперимент1,22.54,24.8,2.3,82.0,59.5,25.2,3382.0,0.12,факт,3347,33,757.15,4.0,12932.0,22.9,0.99,5.9,15,157.55,2.0,10.5,,23.0000000000000000,,0,-160,0,0,,0,0,4,12932.0000,3,24,66,1165.88,8.0,0,0,"4 заказ(ов) на 12932 ₽, ДРР 5.9 %, было 2; ставка 22.54 ₽ при потолке 82.0 ₽"
green,up10,1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",от 10000 до 500 тыс,35.43,39.0,3.6,226.0,190.6,23.6,23506.0,0.0517,факт,431,14,394.23,1.0,19498.0,28.2,3.25,2.0,23,470.06,1.0,20.4,,22.0000000000000000,,0,-389,0,0,,0,0,1,19498.0000,1,31,58,1416.96,3.0,0,0,"1 заказ(ов) на 19498 ₽, ДРР 2.0 %, было 1; ставка 35.43 ₽ при потолке 226.0 ₽"
green,up10,863431671,0358,"Картриджи Q6000A-Q6003A для принтеров HP Color LaserJet 1600, LJ 2600, LJ-2605, LJ CM1015, LJCM1017",от 10000 до 500 тыс,19.33,21.3,2.0,31.9,12.6,12.2,22176.0,0.02,справочная,273,19,352.10,1.0,20648.0,18.5,6.96,1.7,14,134.03,0.0,9.6,23.0000000000000000,30.0000000000000000,-7.0,196,-43,0,12976,2,5,15,1,20648.0000,0,7,51,692.76,2.0,0,0,"1 заказ(ов) на 20648 ₽, ДРР 1.7 %, было 0; ставка 19.33 ₽ при потолке 31.9 ₽"
green,up10,1716070006,5443,"Картриджи LC-472XLBK - LC-472XLY для принтеров Brother MFC-J2340DW, MFC J3540DW",Вне РК — спрос без рекламы (08.08),21.96,24.2,2.2,34.4,12.4,17.8,8968.0,0.03,справочная,620,19,268.67,3.0,26546.0,14.1,3.06,1.0,2,3.75,0.0,1.9,56.0000000000000000,13.0000000000000000,43.0,56,17,11502,4694,1,5,15,3,26546.0000,2,70,21,272.42,3.0,0,0,"3 заказ(ов) на 26546 ₽, ДРР 1.0 %, было 0; ставка 21.96 ₽ при потолке 34.4 ₽  органика слабая (позиция 56) при спросе 4 694"
green,up10,2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",от 10000 до 500 тыс,35.43,39.0,3.6,48.6,13.2,15.8,22487.0,0.02,справочная,456,10,224.23,3.0,63746.0,22.4,2.19,0.4,10,125.56,2.0,12.6,26.0000000000000000,31.0000000000000000,-5.0,305,25,22382,1141,1,4,15,4,85282.0000,2,61,28,501.27,5.0,0,0,"3 заказ(ов) на 63746 ₽, ДРР 0.4 %, было 2; ставка 35.43 ₽ при потолке 48.6 ₽"
green,up10,1510950358,5388,"Картриджи 055H для принтеров Canon i-SENSYS LBP-662, LBP 663, MF 741, MF 743",Эксперимент1,12.89,14.2,1.3,44.9,32.0,22.1,13128.0,0.02,справочная,250,11,170.50,1.0,12460.0,15.5,4.4,1.4,5,22.46,0.0,4.5,42.0000000000000000,36.0000000000000000,6.0,149,-48,0,7882,1,3,15,1,12460.0000,0,13,22,218.87,3.0,0,0,"1 заказ(ов) на 12460 ₽, ДРР 1.4 %, было 0; ставка 12.89 ₽ при потолке 44.9 ₽  органика слабая (позиция 42) при спросе 7 882"
green,up10,1760686645,5771,"Картриджи W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",Вне РК — спрос без рекламы (08.08),21.96,24.2,2.2,43.5,21.5,15.6,20502.0,0.02,справочная,452,14,167.71,2.0,40572.0,12.0,3.1,0.4,3,32.8,0.0,10.9,38.0000000000000000,23.0000000000000000,15.0,286,151,9497,32247,3,5,15,3,60696.0000,6,55,17,200.51,2.0,0,0,"2 заказ(ов) на 40572 ₽, ДРР 0.4 %, было 0; ставка 21.96 ₽ при потолке 43.5 ₽  органика слабая (позиция 38) при спросе 32 247"
green,up10,863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ-CP5225",от 10000 до 500 тыс,24.16,26.6,2.4,116.0,91.8,20.4,37673.0,0.02,справочная,231,7,149.10,1.0,33668.0,21.3,3.03,0.4,5,69.5,0.0,13.9,31.0000000000000000,23.0000000000000000,8.0,98,-2,0,9388,2,3,15,2,67336.0000,0,18,17,330.79,1.0,0,0,"1 заказ(ов) на 33668 ₽, ДРР 0.4 %, было 0; ставка 24.16 ₽ при потолке 116.0 ₽  органика слабая (позиция 31) при спросе 9 388"
