sku,offer_id,name,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price,net_live
2698165223,6413WFLI3MQB,Картриджи DS TK-5450 для принтеров Kyocera ECOSYS MA2600cfx,9,140476.0000,2,18.2,2026-08-05,23.61,11121.0,2625.95
2414999880,5629S29SPOMO,Картриджи DS TK-5380 для принтеров Kyocera ECOSYS MA4000cifx,8,114779.0000,2,22.2,2026-08-03,15.06,24831.0,3739.13
1883156681,4363M3ETZXHO,"Картриджи DS 006R01659 - 006R01662 для принтеров Xerox Color DCP-C60, DCP-C70",1,53451.0000,0,0.0,2026-07-22,17.97,59959.0,10772.6
4663770348,5443Y4IE7QTX,"Картриджи DS LC-472XLBK - LC-472XLY для принтеров Brother MFC-J2340DW, MFC J3540DW",3,41086.0000,0,0.0,2026-07-01,24.85,9214.0,2289.68
1903650799,5796Z6I52MAJ,"Картридж DS MC240H M для принтеров Ricoh M C240FW, P C200W пурпурный",1,37920.0000,0,0.0,2026-07-21,17.91,41142.0,7367.43
2698162702,6412LKYN5XNG,Картридж DS TK-5450Y для принтеров Kyocera ECOSYS MA2600cfx желтый,6,37506.0000,0,0.0,2026-07-22,26.7,3910.0,1044.03
2698160133,6411YU801G2G,Картридж DS TK-5450M для принтеров Kyocera ECOSYS MA2600cfx пурпурный,5,32747.0000,0,0.0,2026-07-22,26.7,3910.0,1044.03
2698158532,6410AJ9BEULZ,Картридж DS TK-5450C для принтеров Kyocera ECOSYS MA2600cfx голубой,5,32195.0000,0,0.0,2026-07-22,26.7,3910.0,1044.03
1998982824,5918V613WE51,"Печатающая головка DS C4812A для принтеров HP Business InkJet 1100, Inkjet 1200, DJ 100, DJ 1000, DJ110 пурпурный",1,24989.0000,0,0.0,2026-05-18,21.86,28262.0,6177.73
3840113419,38372L9C2D3C,Картридж для Sharp MX-M315 27500 страниц,2,21690.0000,0,0.0,2026-07-10,22.09,14075.0,3109.84
3840122731,62021XXBDIAH,Тонер-картридж для Avision AM5630i 20000 страниц,2,15226.0000,0,0.0,2026-06-10,25.81,8101.0,2090.92
3862349953,45429JUZIUVZ,Картридж для HP Laser 137FNW MFP 5000 страниц,5,14181.0000,0,0.0,2026-08-11,30.21,3451.0,1042.6
1883186250,5083T5QY9GVW,"Картридж DS TNP-49K для принтеров Konica Minolta Bizhub C3351, Bizhub C3851 черный",2,14002.0000,0,0.0,2026-06-22,24.88,7793.0,1939.26
1885397085,5092PSAFHI7P,"Фотобарабан DS IUP18 для принтеров Konica Minolta Bizhub 3320, Bizhub 4020 черный",1,12428.0000,0,0.0,2026-06-22,24.24,12783.0,3098.57
3862506698,19461LQRV3DS,Фотобарабан для Kyocera EcoSys M2030 100000 страниц,2,11716.0000,0,0.0,2026-05-27,23.82,7978.0,1900.0
3835987635,68882QMTMLU4,Картридж для Катюша M350 20000 страниц,1,10782.0000,0,0.0,2026-06-19,,18064.0,
3835970155,63833IWWF7B8,Картридж для BM2300A 1600 страниц,1,9609.0000,0,0.0,2026-07-15,25.87,8540.0,2209.62
3862180440,23651PCB013G,Картридж для Kyocera EcoSys M2235dn 3000 страниц,4,9512.0000,0,0.0,2026-08-13,25.08,2338.0,586.35
1888970919,5440W7DMSSN2,"Картридж DS LC-472XL C для принтеров Brother MFC-J2340DW, MFC J3540DW голубой",2,9348.0000,0,0.0,2026-07-07,26.54,4834.0,1282.79
3862375792,56311IW1NCQS,Тонер-картридж для Kyocera ECOSYS MA2100cfx 2600 страниц,4,8850.0000,0,0.0,2026-08-01,26.44,2306.0,609.65
3274281480,6815BNP3MTXE,"Картридж DS W1470A для принтеров HP LaserJet M610dn, M611dn, M634dn, M634h черный",1,7598.0000,0,0.0,2026-06-04,22.29,14093.0,3141.24
3862487782,58071UWGBHCJ,Картридж для Canon imageRUNNER C3326 17500 страниц,1,7421.0000,0,0.0,2026-07-10,25.15,7896.0,1986.11
3835360789,20554A8PB2X4,Картридж для Ricoh Aficio MP4002 30000 страниц,1,7117.0000,0,0.0,2026-07-17,23.43,7032.0,1647.42
3862507075,08526ROV1Z4L,Фотобарабан для Brother MFC-L2700 12000 страниц,3,7040.0000,0,0.0,2026-07-29,27.12,2826.0,766.55
3835968719,63834IWKEF5C,Картридж для BM2300AW 1600 страниц,1,6956.0000,0,0.0,2026-06-02,27.77,8540.0,2371.97
3840128927,68604G6DL42S,Тонер-картридж для Brother DCP-L2680DW 3000 страниц,1,6894.0000,0,0.0,2026-07-17,23.82,7772.0,1851.12
3853702888,35594Q230EEA,Картридж для Canon iPF TM305 130мл.,1,6781.0000,0,0.0,2026-06-01,28.26,5668.0,1601.8
3833698476,69491UAX0CHL,Картридж для BM1800 1600 страниц,1,6493.0000,0,0.0,2026-05-25,25.59,7803.0,1996.85
3853724896,42644A1T92O7,Картридж для Xerox AltaLink C8055 26000 страниц,1,6436.0000,0,0.0,2026-06-08,27.04,8368.0,2262.98
3835837930,58481AAYCU1S,Картридж для HP LaserJet Tank 2606sdn 5000 страниц,4,6017.0000,1,20.0,2026-07-31,53.0,1733.0,918.45
3862507457,48871QNC2LN6,Картридж для HP LaserJet M111 2000 страниц,2,6016.0000,0,0.0,2026-07-17,26.83,3663.0,982.81
3840265556,001850LIZXUE,Картридж для Canon PC-860 4000 страниц,1,5942.0000,0,0.0,2026-07-29,28.65,6200.0,1776.13
1883141905,1286ML39JFMJ,"Картридж DS TN-3512 для принтеров Brother DCP-L6600DW, HL-L6250DN, HL L6300DW, HL-L6400DW, MFC-L6800DW, MFC-L6900DW черный",2,5874.0000,0,0.0,2026-06-04,25.16,4355.0,1095.9
3862366850,28953NE4V90R,Картридж для Ricoh Aficio SP 430DN 24000 страниц,1,5723.0000,0,0.0,2026-05-19,25.16,6698.0,1685.37
3847061531,12892IXA4XML,Картридж для Canon iR-1740i 15100 страниц,2,5674.0000,1,33.3,2026-07-10,26.7,3618.0,965.98
3862349165,45425L3LJ2RI,Картридж для HP Laser 135A MFP 5000 страниц,2,5635.0000,0,0.0,2026-06-04,29.24,3451.0,1008.96
3862506353,19452EQPHA1G,Фотобарабан для Kyocera EcoSys M2535 100000 страниц,1,5474.0000,0,0.0,2026-06-02,23.82,7978.0,1900.0
3862359251,326214J8ID6W,Картридж для M6557NW 1600 страниц,2,5340.0000,0,0.0,2026-08-03,26.92,3285.0,884.46
3846953332,10427Y8MU79T,Картридж для Samsung Xpress M2020W 1000 страниц,2,5124.0000,0,0.0,2026-06-19,27.32,2588.0,707.07
1883135909,2313MTT33GAE,"Картридж DS 650 для принтеров HP DeskJet 1015, DeskJet 1515, DJ2516, DJ 3545, DJ 4515, DJ 4645 цветной",1,5056.0000,0,0.0,2026-05-20,29.4,4853.0,1426.78
3853575709,29791YM79PJB,Картридж для Xerox VersaLink C7020 23600 страниц,1,5010.0000,0,0.0,2026-07-31,28.42,6317.0,1795.1
3840264972,001813XC8925,Картридж для Canon FC-228 4000 страниц,1,4968.0000,0,0.0,2026-06-14,25.54,6200.0,1583.65
3853912872,55521LHQMG32,Тонер-картридж для Konica Minolta bizhub 4000i 12000 страниц,1,4946.0000,0,0.0,2026-07-19,27.13,5148.0,1396.87
3853890286,45832FRW9L02,Лента для принтера для Brother QL-810W 400 страниц,2,4924.0000,0,0.0,2026-05-17,27.59,2734.0,754.35
3847295375,16665Q0NYGQ6,Картридж для HP LaserJet Pro M203dn 3500 страниц,2,4607.0000,0,0.0,2026-07-26,26.0,2734.0,710.87
3853734305,43664PY0THI3,Картридж для HP DJ Ink Advantage 2520hc 1600 страниц,1,4553.0000,0,0.0,2026-06-30,27.08,5141.0,1392.24
3847166553,20181D19K1FM,Картридж для Konica Minolta Bizhub C220 29000 страниц,1,4538.0000,0,0.0,2026-06-19,24.21,5074.0,1228.55
1873180974,2283LLHGQKHH,"Картриджи DS 106R02763-106R02760 для принтеров Xerox Phaser 6020, Phaser6022, WC 6025, WC6027",1,4531.0000,0,0.0,2026-06-21,22.83,5477.0,1250.58
3862366356,20183YL7UM3Q,Картридж для Konica Minolta Bizhub 280 29000 страниц,1,4464.0000,0,0.0,2026-07-03,21.61,5074.0,1096.58
1883163798,5442WRVI0VTM,"Картридж DS LC-472XL Y для принтеров Brother MFC-J2340DW, MFC J3540DW желтый",1,4443.0000,0,0.0,2026-07-07,27.14,4858.0,1318.23
3840101360,13243AC24A3W,Картридж для Ricoh Aficio SP111SU 2000 страниц,1,4427.0000,0,0.0,2026-06-14,25.49,4687.0,1194.58
3853742828,44815LKPTOGS,Картридж для CM1100ADN 3000 страниц,1,4296.0000,0,0.0,2026-06-01,28.1,4453.0,1251.51
3853745287,44816Z4JXNLU,Картридж для CM1100ADW 3000 страниц,1,4282.0000,0,0.0,2026-06-10,28.1,4453.0,1251.51
3847294026,11052CFHHMBC,Картридж для Xerox Phaser 3320DNI 11000 страниц,1,4227.0000,0,0.0,2026-06-04,27.97,4425.0,1237.59
3841442286,07451ZOBBIYI,Картридж для HP LJ 500 MFP M525dn 6000 страниц,1,4095.0000,0,0.0,2026-05-18,25.47,4674.0,1190.6
3841454225,02499ND9631P,Картридж для Brother MFC-7360NR 2600 страниц,2,4073.0000,0,0.0,2026-08-10,25.93,2346.0,608.34
3853445021,24052JB666IV,Картридж для Kyocera Ecosys M6235cidn 13000 страниц,1,3898.0000,0,0.0,2026-07-19,22.79,4853.0,1106.16
3853913850,57735L8TUZSM,Картридж для Canon i-SENSYS MF465dw 3000 страниц,1,3835.0000,0,0.0,2026-07-24,31.64,3981.0,1259.49
3834445558,08264ZZY9ONH,Картридж для Samsung SCX-4655FN 3000 страниц,1,3699.0000,0,0.0,2026-06-10,26.38,3948.0,1041.59
3835988737,03412WGTDAKF,Комплект картриджей для HP Officejet Pro 8500A Plus 2200 страниц,1,3689.0000,0,0.0,2026-07-24,27.76,4405.0,1222.72
3841770638,02641JSQWR0R,Картридж для Xerox WorkCentre 5222 20000 страниц,1,3621.0000,0,0.0,2026-05-27,26.4,4425.0,1168.15
