sku,offer_id,name,camps,bid,views,clicks,spend,spend_30d,ad_orders,ad_rev,drr,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price
3260315711,6803CL0EVRQE,"Картриджи DS PFI-030-PFI-031M для принтеров Canon imagePROGRAF TM-240, TM 250, TM255, IPF ТМ-340, TM-350, TM355",13424726,8.0,1000,38,273.17,482.0,2.0,65406.0,0.4,5,167557.0000,0,0.0,2026-08-05,21.07,38429.0
2681828516,6404SF5GNJ65,"Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",13424726/13425039,12.0,1793,59,358.58,633.0,5.0,63266.0,0.6,23,280866.0000,2,8.0,2026-08-12,22.28,14634.0
1888949338,4794GBA7UK0X,"Картриджи DS W2120A-W2123A для принтеров HP Color LaserJet M554, LJ-M555, LJ M578",13424726,8.0,262,9,75.19,133.0,2.0,45396.0,0.2,2,45396.0000,0,0.0,2026-08-03,23.11,24402.0
1873143362,4838OO2XNCXV,"Картриджи DS 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",13424726/13425066,12.0,296,6,50.61,89.0,2.0,41412.0,0.1,4,72837.0000,0,0.0,2026-08-10,22.73,24195.0
2241666785,5771YHAVW2FU,"Картриджи DS W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",13424726/13425066,13.0,1202,45,467.76,825.0,2.0,40409.0,1.2,12,220369.0000,0,0.0,2026-08-10,22.27,21049.0
1822916687,0367TFEJN49X,"Картриджи DS CE260X-CE263A для принтеров HP Color LaserJet CP4025, LJ CP4525",13424726,8.0,42,2,17.02,30.0,1.0,28219.0,0.1,2,53843.0000,0,0.0,2026-08-12,20.91,30140.0
1883237065,3564WMC9JF0U,"Картриджи DS PFI-120 для принтеров Canon iPF TM200, iPFTM205",13424726,8.0,189,7,71.47,126.0,1.0,24179.0,0.3,3,85198.0000,0,0.0,2026-08-04,21.69,24179.0
1916281610,3807HLL8P3JW,"Картриджи DS W2120X-W2123X для принтеров HP Color LJ M554 dn, LJ M555 dn",13424726,8.0,175,6,45.53,80.0,1.0,16015.0,0.3,5,76327.0000,0,0.0,2026-08-06,20.6,16066.0
1883137436,1053WOYE0U27,"Картриджи DS CLT-504S для принтеров Samsung C1810W Xpress, CLP-415N, CLP 415NW, CLX-4170, CLX4195FN, Xpress-C1860FW",13424726,8.0,214,7,32.93,58.0,1.0,14092.0,0.2,1,14092.0000,0,0.0,2026-07-29,21.66,15916.0
1873190028,5243S2O54ZIU,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",13424726/13425039/13425066,17.0,757,17,187.79,331.0,1.0,13770.0,1.4,9,118366.0000,0,0.0,2026-08-07,32.07,14748.0
