sku,offer_id,name,camps,bid,views,clicks,spend,spend_30d,ad_orders,ad_rev,drr,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price
1883158978,1615B584VC8F,"Картридж DS TN-3230 для принтеров Brother DCP-8070, DCP 8085DN, HL-5340D, HL5350DN, HL-5370DW, HL5380DN, MFC-8370, MFC 8880DN черный",13424726/19250899,12.0,2145,40,315.23,556.0,0.0,0.0,,0,0,0,,,25.43,3955.0
1916259676,5223IMXDS0I3,"Картридж DS 106R04348 для принтеров Xerox B-205, B 210, B215 черный",13424726/19250899,12.0,2206,33,263.43,465.0,0.0,0.0,,0,0,0,,,28.0,3408.0
1883355363,1546ORHYNVOR,Картридж DS T967 для принтеров Epson Stylus Photo R2880 серый,13424726,7.0,3266,34,233.54,412.0,0.0,0.0,,0,0,0,,,26.45,1382.0
1883113573,3755JTXAHO02,"Чернила DS GI-490PGBK для принтеров Canon Pixma G1400, PixmaG1410 черный",13424726/19250899,10.0,1482,21,172.49,304.0,0.0,0.0,,0,0,0,,,20.78,784.0
1822942610,0498MLYQ272L,"Картридж DS T0552 для принтеров Epson Stylus Photo R240, Stylus Photo R245 голубой",13424726,8.0,1656,20,159.24,281.0,0.0,0.0,,0,0,0,,,23.05,916.0
2929331436,6733L93SWDSD,"Заправочный комплект DS PG-440 для принтеров Canon Pixma MG2140, PixmaMG2240 черный",13424726/19250899,10.0,1135,15,124.41,220.0,0.0,0.0,,0,0,0,,,28.24,2341.0
1873190995,4656PID830U4,"Картридж DS M21-375595YL для принтеров Brady BMP 21-LAB, BMP 21-PLUS",13424726,9.0,548,13,115.59,204.0,0.0,0.0,,0,0,0,,,28.89,3183.0
1822942170,0496ZP6Q91HA,"Картридж DS T0474 для принтеров Epson Stylus C63, Stylus C65 желтый",13424726,10.0,503,10,108.52,192.0,0.0,0.0,,0,0,0,,,10.85,430.0
1873179982,5519VHBVR9K0,"Картридж DS W1420A для принтеров HP LaserJet M110w, LJ-M110we, LJ MFP M140w, LJ MFP M140we черный",13424726/19250899,12.0,487,9,78.15,138.0,0.0,0.0,,0,0,0,,,27.69,3386.0
1873183002,2212B2BL8DHK,"Картридж DS LQ800 для принтеров Epson ERC-19, LQ-200, LQ 300, LQ400, LQ-450, LQ500, LQ 550, LQ 580 LQ800 LQ870 LX-300 LX 300+ LX-400 черный",13424726/19250899,12.0,395,6,74.26,131.0,0.0,0.0,,0,0,0,,,28.29,1673.0
2241696211,5704ZJ1NH6HH,"Картридж DS TN-1070 для принтеров Avision AM30A MFP, AP30A черный",19250899,12.0,131,8,72.43,128.0,0.0,0.0,,0,0,0,,,27.15,4367.0
1873185581,2384FZBTMA0T,"Картридж DS TN-414 для принтеров Konica Minolta Bizhub 363, Bizhub 423 черный",13424726/19250899,12.0,439,8,71.43,126.0,0.0,0.0,,0,0,0,,,17.89,1188.0
2923909892,6685B1AD52PG,"Заправочный комплект DS 3YM60-61 для принтеров HP DeskJet 2320, DeskJet 2710, ENVY 6010, ENVY 6020",13424726,8.0,630,9,70.27,124.0,0.0,0.0,,0,0,0,,,28.26,3601.0
