sku,offer_id,name,camps,bid,views,clicks,spend,spend_30d,ad_orders,ad_rev,drr,qty90,rev90,canc,cancel_share,last_sale,margin_own_live,our_price
1873146254,2306Q094R1C1,"Картриджи DS 045H для принтеров Canon i-SENSYS LBP-611, LBP613, MF631cn, MF633Cdw",13424726/13424988,13.0,268,8,102.49,181.0,0.0,0.0,,1,9829.0000,1,50.0,2026-07-28,24.86,10159.0
1873186597,0838P2EY3O2M,"Картридж DS T1711 для принтеров Epson Expression Home XP-103, XP 203, XP207, XP-303, XP306, XP 313, XP 33, XP403 XP413 XP 423 черный",13424726,6.0,358,6,34.25,60.0,0.0,0.0,,0,0,2,100.0,2026-07-03,16.81,602.0
1883155801,2965PFR6QW9Z,"Фотобарабан DS DK-1150 DU для принтеров Kyocera EcoSys M2040dn, M2135, M2540dn, M2635, M2640idw, M2735dw, P2235, P2335d черный",13424726,8.0,137,4,31.29,55.0,0.0,0.0,,1,5669.00,1,50.0,2026-07-06,24.45,6747.0
2241950954,4368I15TU58O,"Картриджи DS №46 для принтеров HP DeskJet Ink Advantage Ultra 4729, DJ 2020hc, DJ 2520hc, DJ Ultra 2029",13424726/13425039,12.0,605,3,28.81,51.0,0.0,0.0,,1,7270.0000,1,50.0,2026-06-25,24.37,9331.0
1883188493,2638ZHD54QGU,"Картридж DS TN-324BK для принтеров Konica Minolta Bizhub C258, Bizhub C308 черный",13424726,8.0,72,1,11.63,21.0,0.0,0.0,,1,4777.0000,1,50.0,2026-07-10,26.16,5690.0
1916292305,5423BMD3OXRB,"Фотобарабан DS DR-312K для принтеров Konica Minolta Bizhub 227, Bizhub 287 черный",13424726,8.0,43,1,10.13,18.0,0.0,0.0,,1,19198.0000,1,50.0,2026-06-15,23.47,15976.0
2876373446,5896RD7L5NFD,"Картридж DS PFI-031M для принтеров Canon imagePROGRAF TM-240, TM 250, TM255, IPF ТМ-340, TM-350, TM355 пурпурный",13424726,9.0,250,2,9.96,18.0,0.0,0.0,,2,18636.0000,1,50.0,2026-05-22,23.16,10480.0
1822916721,0284H7DZDYXQ,"Картридж DS CL-51 для принтеров Canon FAX-JX200, FAX JX210P, MP170, MP450, MX310, Pixma iP2200, PixmaMP150 цветной",13424726,8.0,80,1,8.92,16.0,0.0,0.0,,1,4475.0000,2,66.7,2026-07-21,28.21,5421.0
1883234775,3563XURDLJR3,"Картридж DS PFI-120Y для принтеров Canon iPF TM200, iPFTM205 желтый",13424726,9.0,125,1,8.42,15.0,0.0,0.0,,0,0,2,100.0,2026-06-30,26.26,5668.0
1883165130,1221PC3TWLDG,"Картридж DS LC525XLY для принтеров Brother DCP-J100, DCP J105, MFC-J200 желтый",13424726,7.0,205,1,7.65,14.0,1.0,650.0,1.2,2,1290.0000,2,50.0,2026-07-31,17.13,669.0
