# oz_acc2: неделя 31.08–06.09 против 24.08–30.08; органика — неделя 24.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
bordeaux,floor,1873140453,5422YHSC5BIR,"Картриджи DS 067H для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw",Все,9.0,6.0,-3.0,18.3,9.3,13.5,10750.0,0.02,справочная,2513,52,496.71,0.0,0.0,9.6,2.07,,18,180.99,0.0,10.1,30.0000000000000000,29.0000000000000000,1.0,337,21,0,424,7,1,12,4,41024.0000,2,30,104,952.74,0.0,0,0,"52 кликов, 497 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 953 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,2698894849,6454AL1ZE8I7,"Чернила DS GI-46 для принтеров Canon MAXIFY GX5040, GX6040, GX7040",3000-5000,22.0,6.0,-16.0,14.4,-7.6,10.8,8281.0,0.03,справочная,215,6,240.28,0.0,0.0,40.0,2.79,,0,0.0,0.0,,46.0000000000000000,29.0000000000000000,17.0,115,62,0,524,4,3,11,0,0,0,37,20,489.33,1.0,0,0,"6 кликов, 240 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 489 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2698894849,6454AL1ZE8I7,"Чернила DS GI-46 для принтеров Canon MAXIFY GX5040, GX6040, GX7040",Все,16.0,6.0,-10.0,14.4,-1.6,10.8,8281.0,0.03,справочная,512,12,184.14,0.0,0.0,15.3,2.34,,1,24.62,0.0,24.6,46.0000000000000000,29.0000000000000000,17.0,115,62,0,524,4,3,11,0,0,0,37,36,553.29,0.0,0,0,"12 кликов, 184 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 553 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1916271958,4572MC5TQWB4,"Лента DS LK5YBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW 700, LW K400, LW Z700, LW Z800",Все,9.0,6.0,-3.0,13.6,4.6,16.0,3082.0,0.04,справочная,276,11,92.71,0.0,0.0,8.4,3.99,,11,91.32,0.0,8.3,31.0000000000000000,50.0000000000000000,-19.0,166,71,0,439,3,2,15,0,0,0,7,73,618.00,0.0,0,0,"11 кликов, 93 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 618 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1883128548,0817EO9WGWF6,"Картриджи DS №177XL для принтеров HP PhotoSmart 3110, PhotoSmart 3200 набор cmyk lclm",Все,8.0,6.0,-2.0,18.8,10.8,16.9,3955.0,0.04,справочная,216,13,88.14,0.0,0.0,6.8,6.02,,4,36.01,0.0,9.0,94.0000000000000000,71.0000000000000000,23.0,74,58,2075,81,3,2,15,0,0,1,2,25,191.75,0.0,0,0,"13 кликов, 88 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 192 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2241666785,5771YHAVW2FU,"Картриджи DS W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",Все,9.0,6.0,-3.0,28.2,19.2,11.7,21049.0,0.02,справочная,359,8,83.53,0.0,0.0,10.4,2.23,,3,44.97,0.0,15.0,38.0000000000000000,29.0000000000000000,9.0,174,-54,0,23077,4,2,14,2,31126.0000,0,14,43,388.98,0.0,0,0,"8 кликов, 84 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 389 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1873143724,4147LPJQN98A,"Картриджи DS №963XL для принтеров HP OfficeJet Pro 9010, OfficeJet Pro 9013",5000-10000,12.0,6.0,-6.0,44.5,32.5,19.5,15355.0,0.02,справочная,130,7,73.56,0.0,0.0,10.5,5.38,,2,20.14,0.0,10.1,42.0000000000000000,69.0000000000000000,-27.0,58,35,0,5030,9,1,15,1,8222.00,0,12,10,106.48,0.0,0,0,"7 кликов, 74 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 106 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1822894279,0155IGU5PRMX,"Картриджи DS T0731-T0734 для принтеров Epson Stylus C110, Stylus C79, TX300 F, TX510, TX600, TX610FW",Все,8.0,6.0,-2.0,10.4,2.4,16.7,2217.0,0.04,справочная,270,8,67.62,0.0,0.0,8.5,2.96,,6,52.64,0.0,8.8,104.0000000000000000,60.0000000000000000,44.0,41,-33,0,53,4,4,15,0,0,0,2,67,515.18,0.0,0,0,"8 кликов, 68 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 515 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,1873150362,3083JLHUTCCU,"Картридж DS 903XL для принтеров HP OfficeJet 6950, OfficeJet Pro 6960 черный",от 0 до 3000,16.0,6.0,-10.0,11.9,-4.1,18.4,1782.0,0.05,справочная,124,4,62.46,0.0,0.0,15.6,3.23,,2,27.10,0.0,13.6,48.0000000000000000,53.0000000000000000,-5.0,103,9,0,111,3,1,13,0,0,0,4,12,181.48,1.0,0,0,"4 кликов, 62 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 181 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873140168,2287TTIQKQ4K,"Картриджи DS CLT-406S для принтеров Samsung CLP-360, CLP 362, CLX-3300, CLX3302, SL-C410, SL C460",Все,8.0,6.0,-2.0,16.4,8.4,11.7,8153.0,0.03,справочная,92,7,59.34,0.0,0.0,8.5,7.61,,4,33.75,0.0,8.4,102.0000000000000000,118.0000000000000000,-16.0,53,39,4056,82,12,0,6,0,0,0,2,18,156.57,0.0,0,0,"7 кликов, 59 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 157 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1883108656,4312F44HK3QD,"Картриджи DS TN-328K-TN-328C для принтеров Konica Minolta Bizhub C250i, C300i, C360i",10000-500000,12.0,6.0,-6.0,22.1,10.1,9.8,23054.0,0.02,справочная,12,1,54.9,0.0,0.0,54.9,8.33,,1,1.0,0.0,1.0,43.0000000000000000,48.0000000000000000,-5.0,51,26,0,10264,2,5,12,1,6684.0000,0,4,14,183.18,0.0,0,0,"1 кликов, 55 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 183 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,2675948868,6282HEMM5AUR,"Картриджи DS C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",10000-500000,12.6,6.0,-6.6,35.6,23.0,12.7,23147.0,0.02,справочная,45,3,53.58,0.0,0.0,17.9,6.67,,2,10.17,1.0,5.1,50.0000000000000000,67.0000000000000000,-17.0,130,109,19630,292,6,3,15,1,20687.0000,2,12,5,63.75,1.0,0,0,"3 кликов, 54 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 64 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873145260,0900BRQKP06T,"Картриджи DS T1711-T1714 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423",от 0 до 3000,12.0,6.0,-6.0,11.8,-0.2,19.5,2032.0,0.04,справочная,177,4,53.09,0.0,0.0,13.3,2.26,,4,27.82,0.0,7.0,38.0000000000000000,67.0000000000000000,-29.0,134,48,0,5868,6,4,12,0,0,0,4,23,222.85,0.0,0,0,"4 кликов, 53 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 223 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1885394094,4540Z6UV1P2I,"Картридж DS 123 для принтеров HP DeskJet 1110, DeskJet 2130, OfficeJet 3830, OfficeJet3832 черный",5000-10000,12.0,6.0,-6.0,,,,5951.0,0.03,справочная,73,3,50.95,0.0,0.0,17.0,4.11,,1,9.26,0.0,9.3,97.0000000000000000,108.0000000000000000,-11.0,57,40,0,88,14,0,15,0,0,0,0,4,60.21,0.0,0,0,"3 кликов, 51 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 60 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1888929025,4770GICB01QJ,"Картридж DS M21-750499 для принтеров Brady BMP 21-LAB, BMP 21-PLUS",Все,9.0,6.0,-3.0,18.3,9.3,16.8,3870.0,0.04,справочная,139,5,47.06,0.0,0.0,9.4,3.6,,10,87.46,0.0,8.7,43.0000000000000000,47.0000000000000000,-4.0,61,11,0,188,8,2,11,0,0,0,3,26,235.68,1.0,0,0,"5 кликов, 47 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 236 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873190028,5243S2O54ZIU,"Картриджи DS 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",10000-500000,17.0,6.0,-11.0,48.7,31.7,21.5,14748.0,0.02,справочная,131,2,40.78,0.0,0.0,20.4,1.53,,1,7.3,0.0,7.3,35.0000000000000000,35.0000000000000000,0.0,111,96,0,340,8,2,15,0,0,0,15,13,233.58,1.0,0,0,"2 кликов, 41 ₽ и ни одного заказа за неделю (за всё время 1 заказ(ов) при 234 ₽). Ставка в пол, показы оставляем"
bordeaux,floor,1873145260,0900BRQKP06T,"Картриджи DS T1711-T1714 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423",Все,8.0,6.0,-2.0,11.8,3.8,19.5,2032.0,0.04,справочная,386,5,39.65,0.0,0.0,7.9,1.3,,6,47.75,0.0,8.0,38.0000000000000000,67.0000000000000000,-29.0,134,48,0,5868,6,4,12,0,0,0,4,28,206.00,0.0,0,0,"5 кликов, 40 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 206 ₽). Ставка в пол, показы оставляем. 4-я неделя в полу без заказов — можно выносить на снятие, но только отдельным решением"
bordeaux,floor,2073242583,5779TXZQT7Y9,Лента DS M210-750595WT для принтеров Brady M210 белый,Все,8.1,6.0,-2.1,15.8,7.7,17.1,3263.0,0.04,справочная,97,5,37.60,0.0,0.0,7.5,5.15,,3,27.68,0.0,9.2,23.0000000000000000,34.0000000000000000,-11.0,131,109,0,300,5,6,12,0,0,0,11,16,136.42,0.0,0,0,"5 кликов, 38 ₽ и ни одного заказа за неделю (за всё время 0 заказ(ов) при 136 ₽). Ставка в пол, показы оставляем"
