# oz_acc2: неделя 10.08–16.08 против 03.08–09.08; органика — неделя 03.08 (лаг Ozon); шаг ±10 %, ДРР-предел 15.0 %, пол 6.0 ₽
tier,action,sku,offer_id,name,camp,bid,bid_new,d_bid,ceiling,headroom,margin_safe,our_price,cr_used,cr_src,w_views,w_clicks,w_spend,w_orders,w_rev,cpc,ctr,drr,p_clicks,p_spend,p_orders,p_cpc,o_pos,op_pos,d_pos,o_views,d_org_views,o_gmv,o_demand,ph_best,ph_top10,ph_n,qty_w,rev_w,qty_p,qty_all,c_clicks,c_spend,c_orders,ms_stock,free_fbo,reason
red,down10,1873179620,0898BJH5U125,"Картриджи DS 655 для принтеров HP DeskJet Ink Advantage 4625, DJ 3525, DJ 4615, DJ 5525, DJ 6525",Все,11.0,9.9,-1.1,32.6,21.6,23.6,2803.0,0.0625,факт,753,23,270.00,0.0,0.0,11.7,3.05,,28,272.03,3.0,9.7,35.0000000000000000,37.0000000000000000,-2.0,364,85,4222,798,13,0,15,1,2351.0000,4,21,64,674.72,4.0,0,0,"23 кликов, 270 ₽ и ни одного заказа за неделю; за всё время 4 заказ(ов) при расходе 675 ₽"
green,up10,1883159538,4660H4AQOH6I,"Картридж DS M21-750423 для принтеров Brady BMP 21-LAB, BMP 21-PLUS",Все,8.0,8.8,0.8,10.6,2.6,17.2,2177.0,0.04,справочная,804,32,222.65,1.0,1929.0,7.0,3.98,11.5,23,176.46,1.0,7.7,11.0000000000000000,21.0000000000000000,-10.0,279,87,992,2157,1,8,15,1,1929.0000,1,9,78,595.35,2.0,0,0,"1 заказ(ов) на 1929 ₽, ДРР 11.5 %, было 1; ставка 8.0 ₽ при потолке 10.6 ₽"
bordeaux,floor,2698894849,6454AL1ZE8I7,"Чернила DS GI-46 для принтеров Canon MAXIFY GX5040, GX6040, GX7040",Все,16.0,6.0,-10.0,14.4,-1.6,10.8,8281.0,0.03,справочная,722,12,171.79,0.0,0.0,14.3,1.66,,2,34.03,0.0,17.0,37.0000000000000000,53.0000000000000000,-16.0,259,106,4116,7940,2,2,15,0,0,1,37,20,294.14,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 20 кликов, 294 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
red,down10,1883106519,2187VWKJBIQI,"Картриджи DS №953XL для принтеров HP OfficeJet Pro 7720, OfficeJet Pro 7730",Все,8.0,7.2,-0.8,18.2,10.2,16.7,5180.0,0.03,справочная,675,18,146.71,0.0,0.0,8.2,2.67,,11,101.02,0.0,9.2,43.0000000000000000,31.0000000000000000,12.0,116,-32,0,3517,12,0,15,0,0,0,9,43,369.69,1.0,0,0,"18 кликов, 147 ₽ и ни одного заказа за неделю; за всё время 1 заказ(ов) при расходе 370 ₽"
bordeaux,floor,1916271958,4572MC5TQWB4,"Лента DS LK5YBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW 700, LW K400, LW Z700, LW Z800",Все,9.0,6.0,-3.0,13.6,4.6,16.0,3082.0,0.04,справочная,516,16,138.29,0.0,0.0,8.6,3.1,,11,87.48,0.0,8.0,34.0000000000000000,40.0000000000000000,-6.0,206,-21,0,305,7,3,15,0,0,0,7,39,330.72,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 39 кликов, 331 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
green,up10,1873140453,5422YHSC5BIR,"Картриджи DS 067H для принтеров Canon i-SENSYS LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw",10000-500000,13.0,14.3,1.3,18.3,5.3,13.5,10750.0,0.02,справочная,228,8,124.40,1.0,12481.0,15.6,3.51,1.0,7,101.40,1.0,14.5,30.0000000000000000,45.0000000000000000,-15.0,312,168,10645,3897,15,0,14,3,34979.0000,2,23,18,255.17,2.0,0,0,"1 заказ(ов) на 12481 ₽, ДРР 1.0 %, было 1; ставка 13.0 ₽ при потолке 18.3 ₽"
bordeaux,floor,1883355363,1546ORHYNVOR,Картридж DS T967 для принтеров Epson Stylus Photo R2880 серый,Все,7.0,6.0,-1.0,7.5,0.5,15.8,1382.0,0.05,справочная,1884,16,113.44,0.0,0.0,7.1,0.85,,22,149.73,0.0,6.8,53.0000000000000000,51.0000000000000000,2.0,45,30,0,117,4,3,15,0,0,0,0,41,283.47,0.0,0,0,"ни одной продажи за всю доступную историю (не только реклама): 41 кликов, 283 ₽ рекламы впустую. В пол и на снятие"
green,up10,2241666785,5771YHAVW2FU,"Картриджи DS W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",10000-500000,13.0,14.3,1.3,28.2,15.2,11.7,21049.0,0.02,справочная,168,7,99.11,1.0,21215.0,14.2,4.17,0.5,15,208.61,1.0,13.9,35.0000000000000000,24.0000000000000000,11.0,334,85,10548,27667,6,1,14,1,21215.0000,1,12,36,440.20,2.0,0,0,"1 заказ(ов) на 21215 ₽, ДРР 0.5 %, было 1; ставка 13.0 ₽ при потолке 28.2 ₽  органика слабая (позиция 35) при спросе 27 667"
bordeaux,floor,2699068044,6461R2LC52BY,"Чернила DS 115 для принтеров Epson EcoTank L8160, EcoTank L8180",Все,9.0,6.0,-3.0,15.7,6.7,18.4,2937.0,0.04,справочная,774,11,98.47,0.0,0.0,9.0,1.42,,11,96.57,0.0,8.8,94.0000000000000000,109.0000000000000000,-15.0,110,40,0,4342,23,0,15,0,0,0,5,22,195.04,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 22 кликов, 195 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
bordeaux,floor,1822894279,0155IGU5PRMX,"Картриджи DS T0731-T0734 для принтеров Epson Stylus C110, Stylus C79, TX300 F, TX510, TX600, TX610FW",Все,8.0,6.0,-2.0,10.4,2.4,16.7,2217.0,0.04,справочная,776,12,89.72,0.0,0.0,7.5,1.55,,27,189.60,0.0,7.0,71.0000000000000000,43.0000000000000000,28.0,91,26,0,3485,8,1,9,0,0,0,2,48,357.48,0.0,0,0,"за все 21 дн наблюдения ни одного заказа: 48 кликов, 357 ₽ впустую (уже понижали — не реабилитировался). Ставка в пол, через неделю — снятие, если не оживёт"
