account,sku,campaign,bid_now,reason
oz_acc1,1003270685,от 10000 до 500 тыс,13.0,нет продаж 90 дн
oz_acc1,1003270787,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1003270833,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1043864490,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1103307108,от 5000 до 10000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1129396111,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1129396134,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1131187118,от 5000 до 10000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1131187119,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187123,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1131187176,Пустые РК,12.0,нет продаж 90 дн
oz_acc1,1131187187,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1131187355,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187451,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187506,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187506,Пустые РК,12.0,нет продаж 90 дн
oz_acc1,1131187836,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1131187921,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187953,от 10000 до 500 тыс,12.0,нет продаж 90 дн
oz_acc1,1131187953,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1131188002,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1134975888,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1134975943,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976033,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1134976209,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976249,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976310,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976330,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976352,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976395,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1134976428,от 2000 до 5000,12.0,нет продаж 90 дн
oz_acc1,1134976513,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976523,от 1000-2000,10.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976554,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976557,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976561,от 2000 до 5000,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976716,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1134976750,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1134976774,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1135024178,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137065664,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1137065683,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1137065735,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137065756,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1137065803,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137065906,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137065958,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137066020,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1137066102,Эксперимент1,8.0,нет продаж 90 дн
oz_acc1,1137066132,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1137066155,от 10000 до 500 тыс,12.0,нет маржи и нет продаж 90 дн
oz_acc1,1137066179,Эксперимент1,8.0,нет маржи и нет продаж 90 дн
oz_acc1,1137066193,от 2000 до 5000,12.0,нет продаж 90 дн
