account,sku,offer_id,name,campaign,bid_now,bid_new,ceiling,margin_pct,qty_90d,revenue_90d
oz_acc1,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF75",от 10000 до 500 тыс,23.0,60,331.5,29.0,111,1521348
oz_acc1,1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF75",Эксперимент1,21.0,60,331.5,29.0,111,1521348
oz_acc1,2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",от 10000 до 500 тыс,22.0,60,518.0,29.9,58,1104456
oz_acc1,2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",Эксперимент1,12.0,36,518.0,29.9,58,1104456
oz_acc1,2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR ",Пустые РК,15.0,45,518.0,29.9,58,1104456
oz_acc1,1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,от 10000 до 500 тыс,20.0,60,262.2,27.8,60,697763
oz_acc1,1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,Эксперимент1,45.0,60,262.2,27.8,60,697763
oz_acc1,1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633C",от 10000 до 500 тыс,22.0,60,251.8,31.0,62,646356
oz_acc1,1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633C",Эксперимент1,21.0,60,251.8,31.0,62,646356
oz_acc1,870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8",от 5000 до 10000,23.0,60,221.6,27.1,60,599077
oz_acc1,870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8",Эксперимент1,25.0,60,221.6,27.1,60,599077
oz_acc1,1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio S",от 10000 до 500 тыс,22.0,60,713.6,37.8,29,513192
oz_acc1,863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ",от 10000 до 500 тыс,15.0,45,1031.6,34.5,14,414817
oz_acc2,2681828516,6404SF5GNJ65,Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet P,Все,8.0,24,269.3,25.8,24,285240
oz_acc2,2681828516,6404SF5GNJ65,Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet P,5000-10000,12.0,36,269.3,25.8,24,285240
oz_acc2,2681828516,6404SF5GNJ65,Картриджи DS W2300A-W2303A для принтеров HP Color LaserJet P,10000-500000,12.0,36,269.3,25.8,24,285240
oz_acc1,863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613,",от 5000 до 10000,22.0,39,110.7,32.0,33,281979
oz_acc1,863386567,2306,"Картриджи 045H для принтеров Canon i-SENSYS LBP-611, LBP613,",Эксперимент1,14.0,39,110.7,32.0,33,281979
oz_acc1,1719319666,5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,от 5000 до 10000,23.0,29,83.2,36.6,54,279008
