offer_id,product_id,name,status_name,moderate,validation,status_failed,selling,hard_errors,all_errors,codes
2958,457220528,"Картриджи 006R01270-006R01273 для принтеров Xerox и WorkCentre WC-7132, WC 7232, WC7242",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
31771,4824888758,Фотобарабан для Lexmark MS710,Продается,approved,success,,1,0,2,attribute_hierarchy_fail
7008,4411731392,"Фотобарабан + картридж DR-1072+TN-1072 для принтеров Avision AM33, AM33Q, AP33, AP33Q черный",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
2994,457220520,"Картриджи 701 для принтеров Canon i-SENSYS LBP5200, LBP-MF8180",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3103,457220707,"Картриджи 106R03877-3880 для принтеров Xerox VersaLink C500, C505",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
33506,4834690425,Картридж для P3200DN,Готов к продаже,approved,success,,1,0,4,attribute_hierarchy_fail warning_attribute_values_out_of_range
2976,457220503,Картриджи C950X2 для принтеров Lexmark Optra C950de,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
3491,457221275,"Чернила T6731-T6736 для принтеров Epson L-1800, L-800, L 805, L810, L850 набор cmyk lclm",Продается,approved,success,,1,0,1,warning_attribute_values_out_of_range
24885,4821081951,Фотобарабан для Samsung Xpress M2820DW,Готов к продаже,approved,success,,1,0,2,attribute_hierarchy_fail
2875,455889177,Картриджи №91 для принтеров HP и Designjet Z6100 набор cmyk lclm,Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4917,601155918,"Картриджи C734A1KG - C734A1YG для принтеров Lexmark и LaserPrinter C734, LP-C736, LP X734, LPX736, LP X738",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
5692,2644574205,"Заправочный комплект CL-38/CL-41/CL-51/CL-511/CL-513 для принтеров Ricoh Aficio MP2352, FAX-JX200, FAX JX500",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_out_of_range
10325,330000988,"Картридж для Panasonic KX-MB1500, KX-MB1501, KX MB1507, KXMB1510",Продается,approved,success,,1,0,1,double_without_merger_offer
6469,2837112738,"Картридж 78C50K0-78C50Y0 для принтеров Lexmark CS421, CX421, CX522, LP CS521, LP CS622",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
1738X10,5695859702,"Комплект картриджей C5222KH (10 шт.) на 40000 страниц для принтеров Lexmark C522, C524, C530, C532",Готов к продаже,approved,success,,1,0,3,attribute_hierarchy_fail warning_attribute_values_out_of_range
3399,457221101,"Картриджи TN-210 для принтеров Konica Minolta и Bizhub C250, Bizhub C252",Готов к продаже,approved,success,,1,0,1,warning_attribute_values_empty
4553,4136774253,"Чернила T101 /001 для принтеров Epson L4150, L4160, L4260, L4266, L6160, L6170, L6260, L6270",Готов к продаже,approved,success,,1,0,2,warning_attribute_values_empty warning_attribute_values_out_of_range
