account,offer_id,name,family,klass,klass_why,rev_b,qty_b,orders_b,weeks_b,last_sale,q7,q14,q28,price_base,pi_price_now,price_chg_base_now,price_chg_0901_0905,pi_color_now,pi_ext_idx_now,pi_ext_min_now,in_action_0806,in_action_now,search_v_b_d,search_v_c_d,search_pos_b,search_pos_c,in_ads_now,ad_views_c_d,bids_now_bid,bid_on_floor,ms_key,ms_key_is_parent,ms_stock_now,ms_zero_days_28,fbo_now,sp_avail,card_status,cause_main,cause,confidence,check_in_lk
oz_acc1,10325del,"Картридж для Panasonic KX-MB1500, KX-MB1501, KX MB1507, KXMB1510",Panasonic (без кода),реальный,,48768,14.0,14,3,2026-07-09,0.0,0.0,0.0,3483.0,,,,,,,,,,,,,False,0.0,22.54,False,1032,True,1464.0,0,0.0,,нет записи,"карточка выведена (артикул *del), продажи ушли на новую карточку","карточка выведена (артикул *del), продажи ушли на новую карточку",высокая,"убедиться, что новая карточка-преемник в продаже и в рекламе"
oz_acc1,3641,"Фотобарабан CF257A для принтеров HP LaserJet M433, LJ M436 черный",HP CF25xA,реальный,,47364,3.0,3,2,2026-07-22,0.0,0.0,0.0,15788.0,21521.0,0.363,0.029,SUPER,0.66,14133.0,True,False,12.642857142857142,3.6666666666666665,55.5,35.666666666666664,True,5.5,13.0,False,3641,False,217.0,0,0.0,True,нет записи,цена выросла X%,цена выросла +36% | вышел из акции после 06.08,средняя,"ЛК Цены: индекс/мин. цена конкурента, участие в акциях; сравнить с ценой последней продажи"
oz_acc1,2439,"Картридж C-EXV49Bk для принтеров Canon iR Advance C3320, iR Advance C3",Canon C-EXV49,реальный,,39800,9.0,6,2,2026-08-16,0.0,0.0,0.0,4422.0,6464.0,0.315,0.0,YELLOW,1.11,2815.0,False,True,4.785714285714286,2.333333333333333,93.5,145.66666666666666,True,2.1785714285714284,14.0,False,2439,False,1139.0,0,0.0,,нет записи,цена выросла X% и выше конкурента (индекс),цена выросла +32% и выше конкурента (индекс) | конкурент снизил мин. цену -10%,высокая,"ЛК Цены: индекс/мин. цена конкурента, участие в акциях; сравнить с ценой последней продажи"
oz_acc2,6454AL1ZE8I7,"Чернила DS GI-46 для принтеров Canon MAXIFY GX5040, GX6040, GX7040",Canon GI-46,реальный,,39080,10.0,10,4,2026-08-09,0.0,0.0,0.0,3908.0,4515.0,0.155,0.978,GREEN,1.03,2511.0,True,False,41.35714285714285,19.52380952380953,32.0,34.333333333333336,True,78.07142857142857,22.0,False,6454,True,0.0,9,0.0,True,price_sent,остаток МС сейчас 0 (перебои),остаток МС сейчас 0 (перебои),средняя,"остаток у поставщика, передача остатка FBS"
oz_acc1,4481,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN",Pantum CTL-1100XK,реальный,,30513,7.0,6,3,2026-07-13,0.0,0.0,0.0,4359.0,4808.0,-0.058,0.194,GREEN,1.01,2427.0,True,True,16.071428571428573,5.571428571428571,50.5,111.0,True,7.892857142857143,13.0,False,4481,False,2235.0,0,0.0,,нет записи,упали поисковые показы ×k при той же цене,упали поисковые показы ×0.35 при той же цене,средняя,"ЛК Аналитика: позиция/показы, конкуренты в выдаче, доставка/срок в карточке"
oz_acc1,03066del,"Картридж для HP DeskJet 1280, Copier 180, Copier 190, DeskJet 1180",HP 78,реальный,,17266,4.0,4,2,2026-06-24,0.0,0.0,0.0,4316.0,,,,,,,,,,,,,False,0.0,19.33,False,306,True,374.0,0,0.0,,нет записи,"карточка выведена (артикул *del), продажи ушли на новую карточку","карточка выведена (артикул *del), продажи ушли на новую карточку",высокая,"убедиться, что новая карточка-преемник в продаже и в рекламе"
oz_acc1,2414,"Картридж TK-8115Y для принтеров Kyocera и Ecosys M8124cidn, M8130cidn ",Kyocera TK-8115,реальный,,14145,4.0,4,2,2026-08-09,0.0,0.0,0.0,3536.0,4126.0,-0.021,0.0,SUPER,0.83,2458.0,True,True,11.357142857142858,4.142857142857143,40.5,96.66666666666669,True,8.392857142857142,10.0,False,2414,False,1545.0,0,0.0,,нет записи,упали поисковые показы ×k при той же цене,упали поисковые показы ×0.36 при той же цене,средняя,"ЛК Аналитика: позиция/показы, конкуренты в выдаче, доставка/срок в карточке"
oz_acc1,1318,"Картридж 45807102 для принтеров OKI B412, Data B432, B512, MB472, MB49",OKI 45807102,реальный,,12699,5.0,3,3,2026-07-03,0.0,0.0,0.0,2540.0,3145.0,0.238,0.062,RED,1.26,1461.0,True,False,8.5,2.333333333333333,29.0,68.66666666666667,True,2.9285714285714284,8.0,True,1318,False,871.0,0,0.0,True,нет записи,цена выросла X% и выше конкурента (индекс),"цена выросла +24% и выше конкурента (индекс) | вышел из акции после 06.08; реклама на полу ставки, мало показов",высокая,"ЛК Цены: индекс/мин. цена конкурента, участие в акциях; сравнить с ценой последней продажи"
oz_acc1,0871,"Картридж TK-590K для принтеров Kyocera EcoSys M6026cdn, M6526cdn, FS-C",Kyocera TK-590,реальный,,12472,4.0,4,2,2026-07-03,0.0,0.0,0.0,3118.0,5115.0,0.426,0.0,YELLOW,1.07,2348.0,False,True,12.5,2.0476190476190474,50.5,129.33333333333334,True,4.392857142857143,9.0,False,871,False,132.0,0,0.0,,нет записи,цена выросла X% и выше конкурента (индекс),цена выросла +43% и выше конкурента (индекс) | конкурент снизил мин. цену -43%,высокая,"ЛК Цены: индекс/мин. цена конкурента, участие в акциях; сравнить с ценой последней продажи"
oz_acc1,1279,"Картридж CF410A для принтеров HP LJ Color Pro M377dw, M452dn, M452nw, ",HP CF41xA,реальный,,10433,3.0,3,3,2026-07-15,0.0,0.0,0.0,3478.0,3937.0,-0.057,0.0,GREEN,0.99,2042.0,True,True,12.642857142857142,1.7142857142857142,105.0,58.66666666666666,True,3.4642857142857144,16.0,False,1279,False,953.0,0,0.0,,нет записи,упали поисковые показы ×k при той же цене,упали поисковые показы ×0.14 при той же цене,средняя,"ЛК Аналитика: позиция/показы, конкуренты в выдаче, доставка/срок в карточке"
