sku,offer_id,name,card_dims,card_vol,real_vol,delta_l,suppliers,qty90,revenue90,stock,loss90
653449270,2135,"Картридж TK-5240BK для принтеров Kyocera Ecosys M5526cdn, P5026cdn чер",370x200x150,11.1,2.676,8.424,cactus;rapid;sakura;изи,18,37778,0,1107
930641678,2638,"Картридж TN-324BK для принтеров Konica Minolta и Bizhub C258, Bizhub C",200x370x150,11.1,5.335,5.765,cactus;rapid;sakura;изи,19,71827,0,800
1659417880,5530,"Картридж W1510X для принтеров HP LaserJet Pro 4003dn, LJ Pro 4103fdn ч",227x363x104,8.57,6.253,2.317,cactus;rapid;sakura;изи,43,134203,0,727
863418468,4296,"Картриджи W2030X-W2033X для принтеров HP Color LaserJet M454dn, LJ Pro",726x246x230,41.077,9.52,31.557,cactus,3,42206,0,691
653317633,3669,Картридж 106R03765 для принтеров Xerox VersaLink C7000 черный,370x200x150,11.1,4.964,6.136,cactus;изи,15,57871,0,672
906875600,1320,"Картридж 45807111/45807121 для принтеров OKI B412, B412dn, Data B432, ",200x370x150,11.1,2.008,9.092,sakura;изи,10,36591,0,664
1153758352,2439,"Картридж C-EXV49Bk для принтеров Canon iR Advance C3320, iR Advance C3",200x370x150,11.1,4.964,6.136,cactus;rapid;sakura;изи,11,49637,0,493
873313231,3441,"Картридж T9651 для принтеров Epson WorkForce Pro M5298, WF Pro M5299 ч",330x330x530,57.717,1.57,56.147,cactus;rapid,1,3910,0,410
653317971,3670,Картридж 106R03768 для принтеров Xerox VersaLink C7000 голубой,370x200x150,11.1,4.757,6.343,cactus;изи,8,29917,0,370
1719205601,3258,"Тонер TN-420X для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300F",99x316x164,5.131,2.89,2.241,sakura,22,39962,0,360
653317629,3671,Картридж 106R03767 для принтеров Xerox VersaLink C7000 пурпурный,370x200x150,11.1,4.964,6.136,cactus;изи,8,33352,0,358
652453602,1377,"Картридж CF218A для принтеров HP LaserJet Pro M104w, LJ M133, LJ M132f",370x200x150,11.1,4.5,6.6,cactus;rapid;sakura;изи,7,12012,1,337
904473501,1318,"Картридж 45807102 для принтеров OKI B412, Data B432, B512, MB472, MB49",200x370x150,11.1,2.008,9.092,sakura;изи,5,12699,0,332
653317967,3672,Картридж 106R03766 для принтеров Xerox VersaLink C7000 желтый,370x200x150,11.1,4.964,6.136,cactus;изи,7,29874,0,314
866443839,2152,"Картридж CF540A для принтеров HP LaserJet Pro Color M254dw, LJ Pro Col",200x370x150,11.1,3.95,7.15,cactus;rapid;sakura,6,15518,0,313
930612458,0516,"Картридж 44574906 для принтеров OKI B431, MB461dn, MB471dnw черный",200x370x150,11.1,2.657,8.443,rapid,5,12567,0,308
1277712843,5309,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200FD, M7300F",211x74x84,1.312,0.98,0.332,sakura,120,203425,0,291
652558295,2293,"Картридж CF530A для принтеров HP Color LJ Pro M154 a, LJ Pro M180n чер",370x200x150,11.1,5.056,6.044,cactus;rapid;sakura;изи,6,16107,1,265
864225186,1042,"Картридж MLT-D111S для принтеров Samsung Xpress SL-M2070W, Xpress M207",200x370x150,11.1,4.48,6.62,cactus;sakura;изи,5,10390,1,242
930617286,2371,"Картридж MP-2014H для принтеров Ricoh Aficio MP-2014D, IM 2701, IM-270",200x370x150,11.1,3.044,8.056,cactus;rapid;изи,4,9322,0,235
870872386,2343,"Картридж 106R03488 для принтеров Xerox Phaser 6510, WC 6515 черный",200x370x150,11.1,1.01,10.09,cactus;rapid;sakura;изи,3,6297,0,221
651915925,0232,Картридж KX-FAT92A для принтеров Panasonic KXMB263 KXMB271 KXMB281 KXM,348x163x126,7.147,2.884,4.263,cactus;rapid;sakura;изи,7,3309,0,218
874373710,4481,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN",404x129x130,6.775,4.64,2.135,cactus;rapid;изи,13,54678,0,203
653324138,0792,"Картридж CLT-K406S для принтеров Samsung CLX-3305FW, CLP-360, CLP 362,",370x200x150,11.1,6.588,4.512,cactus;rapid;sakura;изи,6,11951,0,198
3557211128,6809,"Картридж 055H BK для принтеров HP Color LaserJet M454dn, LJ Pro M454dw",150x200x370,11.1,5.78,5.32,rapid;sakura,5,20113,0,194
1893948328,5841,"Картридж ME-300 для принтеров Epson FX-80, FX 800, FX870, LX-300, LX-8",98x144x346,4.883,0.689,4.194,изи,6,4499,0,184
653504318,2633,"Картридж TN-221K для принтеров Konica Minolta Bizhub C227, Bizhub C287",370x200x150,11.1,4.964,6.136,cactus;sakura;изи,4,16487,3,179
1156701906,2959,"Фотобарабан C-EXV32 DU для принтеров Canon ImageRunner 2520, iR-2525, ",200x370x150,11.1,3.15,7.95,rapid;sakura,3,28833,0,174
906877301,2760,"Картридж TK-8335K для принтеров Kyocera TASKalfa 3252ci, TASKalfa 3253",200x370x150,11.1,5.197,5.903,cactus;rapid;sakura,4,19656,1,172
864225853,1288,"Картридж C-EXV32 для принтеров Canon ImageRunner 2786, iR2535, iR2545 ",200x370x150,11.1,5.397,5.703,rapid;sakura,4,13364,0,167
1769491634,5773,"Картридж 070 для принтеров Canon i-SENSYS MF461dw, LBP243dw, LBP246dw,",120x220x370,9.768,6.0,3.768,cactus;sakura;изи,6,18923,0,165
653348091,3264,"Картридж TL-420X для Pantum M6700DW, M6800FDW, M7100DN, M7200FD, M7300",370x200x150,11.1,6.8,4.3,cactus;rapid;sakura;изи,5,11780,0,157
652454458,0976,"Картридж 971XLC для принтеров HP Officejet Pro X451dw, Officejet Pro X",370x200x150,11.1,0.416,10.684,cactus;rapid;изи,2,2389,0,156
930621328,0871,"Картридж TK-590K для принтеров Kyocera EcoSys M6026cdn, M6526cdn, FS-C",200x370x150,11.1,6.825,4.275,cactus;rapid;sakura,5,15636,0,156
866443645,5369,"Картридж TK-1170 для принтеров Kyocera EcoSys M2040dn, M2540dn, M2640i",200x370x150,11.1,3.96,7.14,cactus;rapid;sakura;изи,3,6390,0,156
930620562,2227,"Фотобарабан CF234A для принтеров HP LaserJet Ultra M106, LJ Ultra MFP ",200x370x150,11.1,6.818,4.282,cactus;rapid;sakura;изи,5,21175,0,156
653076890,3431,"Картридж TN-217BK для принтеров Brother DCP-L3550CDW, HL-L3230CDW, hl-",350x163x120,6.846,4.5,2.346,cactus;rapid;sakura;изи,9,17800,0,154
930640232,2641,"Картридж TN-324Y для принтеров Konica Minolta и Bizhub C258, Bizhub C3",200x370x150,11.1,6.0,5.1,cactus;rapid;sakura;изи,4,18907,0,149
930622151,1835,"Картридж SP3500XE для Ricoh Aficio SP3500SF, SP3510DN, SP3510SF, SP350",200x370x150,11.1,6.077,5.023,cactus;rapid;sakura,4,10966,0,147
653454403,2400,"Картридж TK-5270BK для принтеров Kyocera и EcoSys M6230cidn, M6630cidn",370x200x150,11.1,6.174,4.926,cactus;rapid;sakura;изи,4,16071,0,144
1510949677,5384,"Картридж 055H BK для принтеров Canon i-SENSYS MF 741, MF 743 черный",200x370x150,11.1,4.702,6.398,cactus;sakura;изи,3,11964,0,140
930613714,2294,"Картридж 045H BK для принтеров Canon и i-SENSYS LBP611, LBP613, MF631c",200x370x150,11.1,5.056,6.044,cactus;rapid;sakura;изи,3,8121,0,132
874374322,4417,"Чернила GI-43 для принтеров Canon Pixma G540, Pixma G640",300x300x205,18.45,1.544,16.906,cactus,1,2220,0,123
3460907146,01102,Картридж для Samsung ML-1641,345x120x170,7.038,2.821,4.217,cactus;rapid;sakura,4,11628,0,123
930617062,0783,"Картридж CF350A для принтеров HP и Color LJ Pro M176n, LJ Pro M177fw ч",200x370x150,11.1,2.753,8.347,cactus;sakura;изи,2,3350,0,122
864225289,0994,"Картридж 44469715 для принтеров OKI C310dn, c310n, c330, C330dn, C331,",200x370x150,11.1,2.753,8.347,cactus;sakura,2,4438,0,122
866443918,2146,"Картридж SP4500HE для принтеров Ricoh SP 4510DN, SP 4510SF черный",200x370x150,11.1,8.325,2.775,cactus;rapid;sakura,6,14798,0,122
873312859,3199,"Картридж SP-3710X для принтеров Ricoh Aficio SP-3710SF, 3710DN",200x370x150,11.1,5.7,5.4,sakura;изи,3,9877,0,118
3350326076,2411,"Картридж TK-8115BK для принтеров Kyocera Ecosys M8124cidn, M8130cidn ч",370x200x150,11.1,8.82,2.28,cactus;rapid;sakura;изи,7,25793,0,117
1153912581,3909,"Картридж W2030A для принтеров HP Color LaserJet M454dn, LJ Pro M454dw,",370x150x120,6.66,5.78,0.88,cactus;rapid;sakura,18,55628,0,116
930641567,0833,"Фотобарабан C-EXV18 DU для принтеров Canon IR-1018, iR 1020, iR1022A, ",200x370x150,11.1,3.191,7.909,изи,2,16346,0,115
2334951385,6250,"Картридж W2220A для принтеров HP Color LaserJet Pro 3203, LJ Pro 3288 ",160x180x380,10.944,3.3,7.644,rapid;sakura,2,24959,0,112
