sku,группа,действия,связок,применено_связок,действие_применено,нет_baseline,нет_карточки,нет_остатка,в_обеих_группах,в_оценке_ITT
1805370903,treatment,remove,2,2,1,0,0,1,0,1
1805371000,treatment,bid_down,1,1,1,0,0,1,0,1
1805535064,treatment,remove,2,2,1,0,0,1,0,1
1822596963,treatment,remove,1,1,1,0,0,1,0,1
1822596973,treatment,remove,2,2,1,0,0,1,0,1
1822596980,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1822597163,treatment,remove,1,1,1,0,0,1,0,1
1822597183,treatment,remove,1,1,1,0,0,1,0,1
1822597196,treatment,remove,1,1,1,0,0,1,0,1
1822597302,treatment,remove,2,2,1,0,0,1,0,1
1822597328,control,e2_control,2,0,по_замыслу_нет,0,0,1,0,1
1822597338,treatment,remove,2,2,1,0,0,1,0,1
1822597384,treatment,remove,1,1,1,0,0,1,0,1
1822597439,control,e2_control,1,0,по_замыслу_нет,0,0,1,0,1
1822597481,treatment,remove,1,1,1,0,0,1,0,1
1822597500,treatment,remove,1,1,1,0,0,1,0,1
1822597581,treatment,remove,1,1,1,0,0,1,0,1
1822597589,treatment,remove,1,1,1,0,0,1,0,1
1822597653,treatment,remove,1,1,1,0,0,1,0,1
1822597664,treatment,remove,1,1,1,0,0,1,0,1
1822597713,treatment,remove,2,2,1,0,0,1,0,1
1822597727,treatment,remove,1,1,1,0,0,1,0,1
1822597839,treatment,bid_down,2,0,0,0,0,1,0,1
1822888662,treatment,remove,1,1,1,0,0,1,0,1
1822888911,treatment,remove,2,2,1,0,0,1,0,1
1822888933,treatment,remove,2,2,1,0,0,1,0,1
1822889301,treatment,remove,1,1,1,0,0,1,0,1
1822889473,treatment,remove,2,2,1,0,0,1,0,1
1822890234,treatment,remove,1,1,1,0,0,1,0,1
1822890502,treatment,bid_down,1,1,1,0,0,1,0,1
1822890744,treatment,remove,1,1,1,0,0,1,0,1
1822891104,treatment,remove,2,2,1,0,0,1,0,1
1822891400,treatment,remove,2,2,1,0,0,1,0,1
1822891464,treatment,remove,1,1,1,0,0,1,0,1
