площадка,аккаунт,отгрузка,дата,состояние_заказа_МС,заказ_МС,флаг,штук_отгружено_МС,себест_отгрузки,штук_вернулось_в_МС,годен_к_продаже,сторно_себеста_в_МС,штук_продано_МП,выручка_МП,штук_сторно_МП,сторно_выручки_МП,доля_сторно_выручки,наше_сторно_себеста,себест_потерянного
wb,wb_acc1,4923307742,2026-04-17,Претензия решена обмен,4923307742,return_defect,4.0,5096.25,1.0,False,0.0,1.0,11631.0,0,0,0.0,0.0,0.0
wb,wb_acc1,4418621042,2025-12-29,Претензия решена возврат ДС,4418621042,return_defect,3.0,510.81,1.0,False,0.0,1.0,1495.0,1.0,1495.0,100.0,170.27,0.0
wb,wb_acc1,4242019028,2025-11-28,Доставлен,4242019028,return_defect,7.0,384.4,1.0,False,0.0,1.0,816.0,1.0,816.0,100.0,54.91,0.0
wb,wb_acc1,4239154391,2025-11-27,Отменен - сроки,4239154391,return_stock,2.0,671.14,1.0,True,335.57,0,0,0,0,,0.0,0.0
wb,wb_acc1,4223254235,2025-11-24,Претензия решена возврат ДС,4223254235,return_defect,4.0,162.0,1.0,False,0.0,0,0,0,0,,0.0,0.0
wb,wb_acc1,4215022191,2025-11-24,Претензия решена возврат ДС,4215022191,return_defect,11.0,410.13,1.0,False,0.0,1.0,1080.0,1.0,1080.0,100.0,37.28,0.0
wb,wb_acc1,4204484282,2025-11-21,Претензия решена обмен,4204484282,return_defect,12.0,5242.87,1.0,False,0.0,1.0,8821.0,0,0,0.0,0.0,0.0
wb,wb_acc1,4187595947,2025-11-17,Отменен - сроки,4187595947,return_stock,5.0,418.32,1.0,True,83.66,1.0,907.0,1.0,907.0,100.0,83.66,0.0
wb,wb_acc1,4188753820,2025-11-17,Претензия решена возврат ДС,4188753820,return_defect,5.0,418.32,1.0,False,0.0,1.0,1200.0,1.0,1200.0,100.0,83.66,0.0
wb,wb_acc1,4189281020,2025-11-17,Отменен - сроки,4189281020,return_stock,5.0,418.32,1.0,True,83.66,1.0,1192.0,1.0,1192.0,100.0,83.66,0.0
wb,wb_acc1,4174632223,2025-11-14,Отменен - сроки,4174632223,return_stock,3.0,64.81,1.0,True,21.6,0,0,0,0,,0.0,0.0
wb,wb_acc1,4164639873,2025-11-13,Отменен - сроки,4164639873,return_stock,3.0,173.08,1.0,True,57.69,0,0,0,0,,0.0,0.0
wb,wb_acc1,4161993993,2025-11-12,Отменен - сроки,4161993993,return_stock,4.0,276.17,1.0,True,69.04,1.0,879.0,1.0,879.0,100.0,69.04,0.0
wb,wb_acc1,4152952344,2025-11-11,Претензия решена возврат ДС,4152952344,return_defect,2.0,166.82,1.0,False,0.0,0,0,0,0,,0.0,0.0
wb,wb_acc1,4150006992,2025-11-10,Претензия решена возврат ДС,4150006992,return_defect,3.0,166.51,1.0,False,0.0,0,0,0,0,,0.0,0.0
wb,wb_acc1,4150877649,2025-11-10,Доставлен,4150877649,return_defect,2.0,166.51,1.0,False,0.0,0,0,0,0,,0.0,0.0
wb,wb_acc1,4140462609,2025-11-10,Претензия решена возврат ДС,4140462609,return_defect,3.0,166.52,1.0,False,0.0,0,0,0,0,,0.0,0.0
wb,wb_acc1,4140104105,2025-11-10,Претензия решена возврат ДС,4140104105,return_defect,3.0,166.51,1.0,False,0.0,0,0,0,0,,0.0,0.0
ozon,oz_acc1,0113997010-0103-1,2026-05-14,Претензия решена обмен,0113997010-0103-1,return_defect,2.0,1457.46,1.0,False,0.0,2,6456.0,0,0,0.0,0.0,0.0
ozon,oz_acc2,0187518669-0010-1,2026-03-26,Претензия решена обмен,0187518669-0010-1,return_defect,2.0,1191.48,1.0,False,0.0,2,6136.0,0,0,0.0,0.0,0.0
ozon,oz_acc1,85629751-0421-1,2026-03-24,Отменен - сроки,85629751-0421-1,return_stock,2.0,1121.33,1.0,True,560.66,2,7331.0,1,3653.0,49.8,560.66,0.0
ozon,oz_acc2,0196984993-0020-1,2026-02-12,Отменен - сроки,0196984993-0020-1,return_stock,2.0,2442.12,1.0,True,1221.06,0,0.0,0,0,,0.0,0.0
ozon,oz_acc1,34362631-0412-1,2026-02-12,Претензия решена возврат ДС,34362631-0412-1,return_defect,2.0,1332.92,1.0,False,0.0,2,7389.0,1,3421.0,46.3,666.46,0.0
ozon,oz_acc2,94325763-0059-4,2026-01-16,Претензия,94325763-0059-4,return_defect,12.0,28507.05,1.0,False,0.0,6,213363.0,0,0,0.0,0.0,0.0
ozon,oz_acc1,40959469-0207-2,2026-01-14,Отменен - сроки,40959469-0207-2,return_stock,2.0,698.24,1.0,True,349.12,1,1774.39,0,0,0.0,0.0,0.0
ozon,oz_acc1,88986235-0535-1,2025-12-25,Отменен - сроки,88986235-0535-1,return_stock,7.0,517.95,1.0,True,0.0,1,2582.0,1,2582.0,100.0,73.99,0.0
ozon,oz_acc1,0143435954-0354-1,2025-12-16,Претензия решена возврат ДС,0143435954-0354-1,return_defect,7.0,980.51,1.0,False,0.0,1,3856.0,1,3856.0,100.0,140.07,0.0
ozon,oz_acc1,0196345866-0057-3,2025-12-05,Отменен - сроки,0196345866-0057-3,return_stock,0.0,0.0,1.0,True,0.0,2,5325.0,0,0,0.0,0.0,0.0
ozon,oz_acc1,63000032-0025-1,2025-11-26,Отменен - сроки,63000032-0025-1,return_stock,0.0,0.0,1.0,True,0.0,0,0.0,0,0,,0.0,0.0
ozon,oz_acc1,78397668-0078-2,2025-11-22,Отменен - сроки,78397668-0078-2,return_stock,0.0,0.0,2.0,True,0.0,0,0.0,0,0,,0.0,0.0
