аккаунт,отгрузка,дата,штук_отгружено,штук_вернулось,себест_отгрузки_₽,сторно_МС_₽,статус,статус_сырьё
oz_acc2,67737628-0917-1,2026-08-06,2.0,1.0,91.26,0.0,return_ozon,cancelled
oz_acc1,0146984878-0307-1,2026-08-05,9.0,1.0,203.12,0.0,return_ozon,cancelled
oz_acc2,68016776-0066-1,2026-08-03,3.0,1.0,1344.96,0.0,return_ozon,cancelled
oz_acc1,48113931-2168-1,2026-08-01,14.0,4.0,2382.25,0.0,return_ozon,cancelled
oz_acc1,0122132512-0124-1,2026-07-31,8.0,4.0,890.0,0.0,return_ozon,cancelled
oz_acc1,70661760-0068-1,2026-07-30,2.0,1.0,859.95,0.0,return_stock,cancelled
oz_acc1,80456405-0132-1,2026-07-30,5.0,4.0,1695.73,0.0,return_ozon,cancelled
oz_acc1,0124345798-0018-1,2026-07-29,2.0,1.0,250.57,0.0,other,delivering
oz_acc1,0235977902-0007-2,2026-07-27,21.0,4.0,5300.43,0.0,other,delivering
oz_acc1,38138526-0970-1,2026-07-25,19.0,4.0,2505.06,0.0,return_stock,cancelled
oz_acc1,0240369619-0510-1,2026-07-24,7.0,4.0,3497.17,0.0,return_ozon,cancelled
oz_acc2,33953122-0122-2,2026-07-22,3.0,1.0,920.2,0.0,return_stock,cancelled
oz_acc1,0136087307-0204-16,2026-07-22,10.0,8.0,5508.85,0.0,return_ozon,cancelled
oz_acc1,87817660-0803-1,2026-07-20,14.0,4.0,3658.84,0.0,return_ozon,cancelled
oz_acc1,85783011-0115-2,2026-07-20,6.0,4.0,2394.27,0.0,return_ozon,cancelled
oz_acc2,33953122-0121-1,2026-07-18,4.0,1.0,912.49,0.0,return_ozon,cancelled
oz_acc1,68124592-0188-1,2026-07-17,5.0,4.0,3358.04,2686.43,return_stock,delivered
oz_acc1,30244600-0165-2,2026-07-16,7.0,4.0,2081.06,0.0,return_ozon,cancelled
oz_acc1,47693878-0220-1,2026-07-16,4.0,2.0,1118.02,0.0,return_ozon,cancelled
oz_acc1,0240369619-0467-1,2026-07-16,8.0,4.0,3056.45,0.0,return_ozon,cancelled
oz_acc1,18636368-0518-1,2026-07-15,2.0,1.0,219.06,0.0,return_ozon,cancelled
oz_acc1,48751307-0090-1,2026-07-14,3.0,1.0,474.33,0.0,return_stock,cancelled
oz_acc1,0152828594-0153-3,2026-07-13,13.0,4.0,3525.09,0.0,return_ozon,cancelled
oz_acc2,0125485641-0015-2,2026-07-13,2.0,1.0,59.83,0.0,return_stock,cancelled
oz_acc2,0125485641-0015-1,2026-07-13,2.0,1.0,59.83,0.0,return_stock,cancelled
oz_acc1,0186181399-0015-1,2026-07-11,5.0,3.0,3007.2,0.0,return_ozon,cancelled
oz_acc1,86965904-0065-1,2026-07-11,11.0,4.0,3059.0,0.0,return_stock,cancelled
oz_acc1,94147787-0056-1,2026-07-10,2.0,1.0,410.9,0.0,return_ozon,cancelled
oz_acc1,79243705-0954-1,2026-07-07,2.0,1.0,561.09,0.0,return_ozon,cancelled
