аккаунт,отгрузка,дата,штук_отгружено,штук_вернулось,себест_отгрузки_₽,сторно_МС_₽,статус,статус_сырьё
wb_acc1,4923307742,2026-04-17,4.0,1.0,5096.25,0.0,return_defect,Продажа
wb_acc1,4770844320,2026-03-16,4.0,1.0,3250.27,0.0,return_defect,
wb_acc2,4531372122,2026-01-27,4.0,1.0,1750.05,0.0,return_defect,Продажа
wb_acc1,4476758730,2026-01-15,4.0,2.0,2415.3,0.0,return_defect,Продажа
wb_acc2,4433213983,2026-01-04,2.0,1.0,764.81,0.0,return_defect,
wb_acc1,4418621042,2025-12-29,3.0,1.0,510.81,0.0,return_defect,Возврат
wb_acc1,4378007003,2025-12-22,2.0,1.0,813.36,406.68,return_stock,Возврат
wb_acc2,4342217220,2025-12-16,5.0,4.0,4554.79,3643.83,return_stock,Возврат
wb_acc1,4330470643,2025-12-15,12.0,1.0,262.72,0.0,return_stock,
wb_acc1,4327032195,2025-12-13,8.0,1.0,364.78,0.0,return_defect,Возврат
wb_acc1,4315984370,2025-12-11,8.0,6.0,423.48,0.0,return_stock,
wb_acc1,4266373540,2025-12-04,5.0,1.0,836.6,167.32,return_stock,Возврат
wb_acc1,4266373571,2025-12-04,5.0,1.0,836.6,167.32,return_stock,Возврат
wb_acc1,4266373538,2025-12-04,5.0,1.0,836.6,167.32,return_stock,Возврат
wb_acc2,4262625983,2025-12-04,8.0,4.0,2701.0,1350.5,return_stock,Возврат
wb_acc2,4269566254,2025-12-03,9.0,2.0,947.97,0.0,return_stock,
wb_acc1,4267115132,2025-12-02,4.0,1.0,1929.0,0.0,return_defect,Продажа
wb_acc1,4249375963,2025-11-29,3.0,1.0,384.4,0.0,return_defect,Возврат
wb_acc1,4242019028,2025-11-28,7.0,1.0,384.4,0.0,return_defect,Возврат
wb_acc2,4245008213,2025-11-28,4.0,2.0,2099.14,0.0,return_stock,
wb_acc1,4240316583,2025-11-28,5.0,1.0,966.54,0.0,return_defect,Возврат
wb_acc2,4244988023,2025-11-28,6.0,1.0,566.35,0.0,return_stock,
wb_acc1,4239154391,2025-11-27,2.0,1.0,671.14,335.57,return_stock,
wb_acc1,4223254235,2025-11-24,4.0,1.0,162.0,0.0,return_defect,
wb_acc1,4215022191,2025-11-24,11.0,1.0,410.13,0.0,return_defect,Возврат
wb_acc1,4204484282,2025-11-21,12.0,1.0,5242.87,0.0,return_defect,Продажа
wb_acc2,4194077544,2025-11-18,28.0,1.0,1861.41,0.0,return_defect,
wb_acc1,4187595947,2025-11-17,5.0,1.0,418.32,83.66,return_stock,Возврат
wb_acc1,4188753820,2025-11-17,5.0,1.0,418.32,0.0,return_defect,Возврат
wb_acc1,4189281020,2025-11-17,5.0,1.0,418.32,83.66,return_stock,Возврат
wb_acc2,4176867482,2025-11-15,7.0,2.0,892.89,0.0,return_defect,
wb_acc1,4174632223,2025-11-14,3.0,1.0,64.81,21.6,return_stock,
wb_acc1,4164639873,2025-11-13,3.0,1.0,173.08,57.69,return_stock,
wb_acc1,4161993993,2025-11-12,4.0,1.0,276.17,69.04,return_stock,Возврат
wb_acc1,4152952344,2025-11-11,2.0,1.0,166.82,0.0,return_defect,
wb_acc1,4150006992,2025-11-10,3.0,1.0,166.51,0.0,return_defect,
wb_acc1,4150877649,2025-11-10,2.0,1.0,166.51,0.0,return_defect,
wb_acc1,4140462609,2025-11-10,3.0,1.0,166.52,0.0,return_defect,
wb_acc1,4140104105,2025-11-10,3.0,1.0,166.51,0.0,return_defect,
