код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;AFBRHL2140020;PZs7rJjejWNyRH3I4Inyd3;Драм-картридж 7Q DR-2175 для Brother HL-2140 (Чёрный, 12000 стр.);;;50.0;bulat_2026-08-17_p1;2026-08-17
;AFCNLBP325050;1Ox4QZZFh98KrKxmHGp6Q1;Тонер-картридж БУЛАТ 056L для Canon iSENSYS LBP-325, MF542 (Чёрный, 5100 стр., с чипом 7Q);;;20.0;bulat_2026-08-17_p15;2026-08-17
;AFHPE60055040;NeGtUkoAgf6CFiqA23zSk0;Тонер-картридж БУЛАТ s-Line W9004MC (OPC FUJI) для HP LJ E60055, E62575 (Чёрный, 50000 стр.), ref.;;;20.0;bulat_2026-08-17_p16;2026-08-17
;AFHPE72525030;T9MKIkx9in6Mnns2hy8f50;Драм-картридж БУЛАТ W9006MC для HP LJ E72525, E72425, ref.;;;50.0;bulat_2026-08-17_p13;2026-08-17
;AFHPE82540010;psxhcnQWiMbLS7jn1rqc81;Тонер-картридж БУЛАТ s-Line W9014MC-R для HP LJ E82540 (69000 стр.), ref.;;;20.0;bulat_2026-08-17_p13;2026-08-17
;AFKYEP2035010;K59un7mTjuI0yLUuKPhmG2;Блок проявки БУЛАТ DV-160 для Kyocera FS-1120d (Чёрный, 100000 стр.), ref.;;;100.0;bulat_2026-08-17_p10;2026-08-17
;AFKYFS1120020;eAFA97bZhEGf6RPa8GeWt1;Тонер-картридж БУЛАТ s-Line TK-160XL для Kyocera FS-1120d (Чёрный, 12500 стр.);;;55.0;bulat_2026-08-17_p10;2026-08-17
;AFKYFS1300030;fuGNxwBNg-JsDSAmLlZ5G0;Блок проявки БУЛАТ s-Line DV-130 для Kyocera FS-1300 (Чёрный, 100000 стр.), ref.;;;20.0;bulat_2026-08-17_p10;2026-08-17
;AFPM0P3010010;1ueVFMozgxLlDfzYxNsKE3;Тонер-картридж Булат TL-420X для Pantum P3010, M7100 (Чёрный, 6000 стр.), совместимый;;;200.0;bulat_2026-08-17_p10;2026-08-17
;BAMTFSC530010;70xjDEMghyYWckyrG7Wsk3;Тонер-картридж БУЛАТ s-Line TK-560K для Kyocera FS-C5300, FS-C5350, ECOSYS P6030C (Чёрный, 12000 стр.);;;20.0;bulat_2026-08-17_p2;2026-08-17
