класс;код;внешний код;наименование;лежит;по ТК должно быть
ДРУГОЙ БРЕНД;0002cs;0002;"Картридж лазерный G&G GG-Q2612A GG-Q2612A UNIVERSAL черный (2000стр.) для HP 1010/1012/1015/1018/Canon LBP2900/3000/L120/L90/L100/L120/HP 1020/1022/3015/3020/3030/3050/3052/3055/M1005/1300/1319f; Canon 4140/MF4380dn/4010/4660pl/4100/4690pl/4110/4120/";Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0002cs;0002;Картридж лазерный G&G GG-Q2612A черный (2000стр.) для HP LJ 1010/1012/1015/1018/1020/1020Plus/1022/3015/3020;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0002ep;0002;703 Картридж EasyPrint LC-703 U для Canon LBP2900/MF4018/HP LJ1010/1020/M1005 (2000 стр.);Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0002sg;0002;Тонер-картридж Smart Graphics Q2612A, 703, FX10 для HP и Canon (Чёрный, 2000 стр.), совместимый, универсальный;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;00047q;0004;Тонер картридж 7Q Q2613A, Q2624A, C7115A, EP-25 для HP LJ 1300 и Canon LBP1210 (Чёрный, 2500 стр.), универсальный;Картриджи/Картриджи Canon;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0011cs;0011;"Картридж лазерный G&G GG-CE505A UNIVERSAL черный (2300стр.) для HP LaserJet P2035, P2035n, P2055d, P2055dn, P2055x; LaserJet Pro 400 M401, M401a, M401n, M401d, M401dn, M401dne, M401dw, MFP M425, MFP M425dn, MFP M425dw Canon i-SENSYS LBP6300dn, 6310dn";Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0012cs;0012;Картридж лазерный G&G GG-Q5949A черный (2500стр.) для HP LJ 1160/1160Le/1320/1320n/1320t/1320tn/1320nw/3390/3392 Canon LBP-3300/3360;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0018cs;0018;"Картридж лазерный G&G GG-E30 черный (4000стр.) для Canon PC 300/400/700/860/920/981;FC-108/128/200/208/500/530";Картриджи/Картриджи G&G;Картриджи/Картриджи Canon
ДРУГОЙ БРЕНД;0022cs;0022;Картридж лазерный G&G GG-Q2613X черный (4000стр.) для HP LJ 1300/1300N/1000/1005/1200;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0027cs;0027;"Картридж лазерный G&G GG-CE505X CE505X черный (6500стр.) для HP LaserJet P2055d/P2055dn/P2055x; LaserJet Pro 400 M401/M401a/M401n/M401d/M401dn/M401dne/M401dw/MFP M425/MFP M425dn/MFP M425dw с чипом Canon i-SENSYS LBP6300dn/6310dn/6650dn/6670dn/6680x/M";Картриджи/Картриджи G&G;Картриджи/Картриджи HP
