внешний код;модель ТК;медиана чиповых;цена молчуна;доля;поставщик;название;остаток
3892;LC-3239XLC;1576;263;0.17;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-LC3239XLC голубой (52мл) для Brot;27.0
3893;LC-3239XLM;1576;263;0.17;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-LC3239XLM пурпурный (52мл) для Br;25.0
3894;LC-3239XLY;1576;263;0.17;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж струйный G&G GG-LC3239XLY желтый (52мл) для Broth;33.0
2401;TK-5270C;1134;210;0.19;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5270C TK-5270C голубой (;27.0
2402;TK-5270M;1134;210;0.19;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5270M TK-5270M пурпурный;54.0
2403;TK-5270Y;1134;210;0.19;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5270Y TK-5270Y желтый (6;42.0
2173;TK-5230C;500;105;0.21;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5230C TK-5230C голубой (;45.0
2174;TK-5230M;500;105;0.21;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5230M TK-5230M пурпурный;52.0
2175;TK-5230Y;500;105;0.21;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK5230Y TK-5230Y желтый (2;42.0
4159;TL-5120H;1341;369;0.27;"ООО ""ОДИССЕЙ""";Картридж для Pantum TL-5120H  BP5100/BM5100 6K AQUAMARINE ;152.0
1458;PGI-470XLBk;270;76;0.28;"ООО ""ОДИССЕЙ"" WB";Картридж для Canon PGI-470XL PIXMA TS5040/6040/8040/9040/M;191.0
0332;178XL;463;134;0.29;ИП Яхин Рустам Ильфирович (Спринт);Картридж hp 178XL iY SP;85.0
0332;178XL;463;134;0.29;"ООО ""ОДИССЕЙ"" WB";Картридж для HP CB325HE № 178XL Yellow AQUAMARINE (Совмест;69.0
0332;178XL;463;134;0.29;"ООО ""Солюшнс принт"" МСК";Картридж hp 178XL iY SP;183.0
0499;T0553;177;54;0.30;"ООО ""КОЛОРТЕК РУС""";Картридж T0553 M CT;75.0
0500;T0554;177;54;0.30;"ООО ""КОЛОРТЕК РУС""";Картридж T0554 Y CT;100.0
3892;LC-3239XLC;1576;478;0.30;"ООО ""Солюшнс принт"" МСК";Картридж SP LC-3239XL C для Brother голубой;46.0
3893;LC-3239XLM;1576;478;0.30;"ООО ""Солюшнс принт"" МСК";Картридж SP LC-3239XL M для Brother пурпурный;46.0
3894;LC-3239XLY;1576;478;0.30;"ООО ""Солюшнс принт"" МСК";Картридж SP LC-3239XL Y для Brother желтый;46.0
4159;TL-5120H;1341;407;0.30;"ООО ""КВК ТРЕЙД""";Картридж Pantum TL-5120H BP5100/BM5100 6K Compatible;820.0
0598;LC-1100Y;198;62;0.31;ТОНЕРОПТТОРГ (Изипринт) T2;IC-B1100Y Картридж T2 для Brother DCP-145C/165C/385C/6690C;38.0
0866;TK-4105;1528;473;0.31;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный CopyRite CR-KYTK4105 TK-4105 черный (150;2.0
1221;LC525XLY;229;71;0.31;"ООО ""ОДИССЕЙ"" WB";Картридж для Brother LC525XLY DCP J100/J105/J200 Yellow AQ;108.0
3622;177;274;84;0.31;"ООО ""ОДИССЕЙ"" WB";Картридж для HP C8721 № 177 Black AQUAMARINE (Совместимый);59.0
