код;внешний код;чип в ТК;чип у нас в названии;поставщики с остатком;вердикт
0028ct;0028;с чипом;без чипа;—;поставщиков с остатком нет — не проверить
0135pl;0135;с чипом;без чипа;с чипом×1;поставщики за ТК
1665sp;1665;с чипом;без чипа;с чипом×4;поставщики за ТК
1665sp;1665;с чипом;без чипа;с чипом×4;поставщики за ТК
1718nv;1718;с чипом;без чипа;с чипом×8;поставщики за ТК
2163nv;2163;с чипом;без чипа;с чипом×6;поставщики за ТК
2163sp;2163;с чипом;без чипа;с чипом×6;поставщики за ТК
2163sp;2163;с чипом;без чипа;с чипом×6;поставщики за ТК
2163sp;2163;с чипом;без чипа;с чипом×6;поставщики за ТК
2163sp;2163;с чипом;без чипа;с чипом×6;поставщики за ТК
2193nv;2193;с чипом;без чипа;с чипом×4;поставщики за ТК
2193sp;2193;с чипом;без чипа;с чипом×4;поставщики за ТК
2193sp;2193;с чипом;без чипа;с чипом×4;поставщики за ТК
2194nv;2194;с чипом;без чипа;—;поставщиков с остатком нет — не проверить
32627q;3262;с чипом б/сч;с чипом;"с чипом б/сч×3; с чипом×2";у поставщиков разнобой
3262bt;3262;с чипом б/сч;с чипом;"с чипом б/сч×3; с чипом×2";у поставщиков разнобой
3262cs;3262;с чипом б/сч;с чипом;"с чипом б/сч×3; с чипом×2";у поставщиков разнобой
3571gp;3571;без чипа;с чипом;с чипом×1;поставщики ПРОТИВ ТК (за наше название)
3726msk;3726;с чипом;без чипа;—;поставщиков с остатком нет — не проверить
3726spb;3726;с чипом;без чипа;—;поставщиков с остатком нет — не проверить
3943bs;3943;с чипом б/сч;без чипа;с чипом б/сч×1;поставщики за ТК
3943gp;3943;с чипом б/сч;без чипа;с чипом б/сч×1;поставщики за ТК
39457q;3945;с чипом;с чипом б/сч;с чипом б/сч×1;поставщики ПРОТИВ ТК (за наше название)
3958gp;3958;с чипом;с чипом б/сч;с чипом×7;поставщики за ТК
41697q;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169at;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169ct;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169oem;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169sf;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169sf;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169sk;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4169wb;4169;с чипом;с чипом б/сч;"с чипом×6; с чипом б/сч×4";у поставщиков разнобой
4333bt;4333;с чипом б/сч;с чипом;с чипом б/сч×3;поставщики за ТК
4333bt;4333;с чипом б/сч;с чипом;с чипом б/сч×3;поставщики за ТК
4749ep;4749;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
4749sf;4749;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
4749wb;4749;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
48327q;4832;с чипом б/сч;с чипом;"с чипом×3; с чипом б/сч×2";у поставщиков разнобой
4832ep;4832;с чипом б/сч;с чипом;"с чипом×3; с чипом б/сч×2";у поставщиков разнобой
4832hb;4832;с чипом б/сч;с чипом;"с чипом×3; с чипом б/сч×2";у поставщиков разнобой
4832sf;4832;с чипом б/сч;с чипом;"с чипом×3; с чипом б/сч×2";у поставщиков разнобой
4832wb;4832;с чипом б/сч;с чипом;"с чипом×3; с чипом б/сч×2";у поставщиков разнобой
52247q;5224;без чипа;с чипом;без чипа×1;поставщики за ТК
5403sp;5403;с чипом б/сч;с чипом;"с чипом б/сч×1; с чипом×1";у поставщиков разнобой
5403sp;5403;с чипом б/сч;с чипом;"с чипом б/сч×1; с чипом×1";у поставщиков разнобой
54057q;5405;с чипом б/сч;без чипа;с чипом б/сч×5;поставщики за ТК
5520sf;5520;с чипом б/сч;с чипом;"с чипом б/сч×4; с чипом×1";у поставщиков разнобой
5521ep;5521;с чипом б/сч;с чипом;"с чипом б/сч×5; с чипом×2";у поставщиков разнобой
5521sf;5521;с чипом б/сч;с чипом;"с чипом б/сч×5; с чипом×2";у поставщиков разнобой
5521t2;5521;с чипом б/сч;с чипом;"с чипом б/сч×5; с чипом×2";у поставщиков разнобой
5527ep;5527;с чипом б/сч;с чипом;—;поставщиков с остатком нет — не проверить
5527t2;5527;с чипом б/сч;с чипом;—;поставщиков с остатком нет — не проверить
5530sf;5530;с чипом б/сч;с чипом;с чипом б/сч×4;поставщики за ТК
5577bt;5577;с чипом б/сч;с чипом;—;поставщиков с остатком нет — не проверить
5577bt;5577;с чипом б/сч;с чипом;—;поставщиков с остатком нет — не проверить
5577bt;5577;с чипом б/сч;с чипом;—;поставщиков с остатком нет — не проверить
5638sk;5638;с чипом;с чипом б/сч;с чипом×1;поставщики за ТК
5639sk;5639;с чипом;с чипом б/сч;с чипом×1;поставщики за ТК
5640sk;5640;с чипом;с чипом б/сч;с чипом×2;поставщики за ТК
5730sg;5730;с чипом б/сч;с чипом;"с чипом б/сч×2; с чипом×1";у поставщиков разнобой
6543t2;6543;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
6544t2;6544;с чипом б/сч;с чипом;"с чипом б/сч×2; с чипом×1";у поставщиков разнобой
6545t2;6545;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
6546t2;6546;с чипом б/сч;с чипом;с чипом б/сч×2;поставщики за ТК
6874wb;6874;с чипом б/сч;с чипом;с чипом б/сч×1;поставщики за ТК
