код;внешний код;наименование МС;чип у нашего поставщика;что у поставщиков с остатком;согласие поставщиков;варианты модели в ТК;вывод
0016cs;0016;Картридж струйный Cactus CS-CLI426GY CLI-426GY серый (9мл) для Canon P;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
0016ep;0016;CLI426GY Картридж EasyPrint IC-CLI426GY для Canon PIXMA MG6140/MG6240/;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
0016t2;0016;IC-CCLI-426GY Картридж T2 для Canon PIXMA MG6140/MG8140, серый, с чипо;с чипом;с чипом×2;единый по всем поставщикам;—;вариантов модели в ТК нет — только новинка
0021ep;0021;15X/13X/24A/EP-25 Картридж EasyPrint LH-15X U для HP LJ1150/1200/1300/;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0021t2;0021;TC-H15XU Картридж T2 для HP LJ 1150/1200/1300/Canon LBP1210 (4000 стр.;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0034cs;0034;Картридж струйный Cactus CS-PGI1400BK/C/M/Y 4цв. набор (72мл) для Cano;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0038cs;0038;Картридж струйный Cactus CS-PGI2400BK/C/M/Y PGI-2400 4цв. набор (135.8;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0078spb;0078;Картридж струйный Cactus CS-EPT0487 T0487 черный/голубой/пурпурный/жел;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0079spb;0079;Картридж струйный Cactus CS-EPT0807 черный/желтый/голубой/пурпурный/св;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0080cs;0080;Картридж струйный Cactus CS-EPT1285 T1285 черный/голубой/пурпурный/жел;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0080spb;0080;Картридж струйный Cactus CS-EPT1285 T1285 черный/голубой/пурпурный/жел;с чипом;с чипом×1;поставщик один;—;вариантов модели в ТК нет — только новинка
0103ep;0103;64X Картридж EasyPrint LH-64X для HP LJ P4015n/4515n (24000 стр.) с чи;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
0103t2;0103;TC-H64X Картридж T2 для HP LaserJet P4015n/4515n (24000 стр.) с чипом;с чипом;—;нет поставщиков с остатком;—;вариантов модели в ТК нет — только новинка
