внешний код;модель ТК;чип в ТК;чип по названию поставщика;поставщик;название у поставщика;закупка;остаток
3262;PC-211EV;с чипом без счётчика;с чипом;ИП Капшук Наталья Сергеевна;Тонер-картридж 7Q PC-211EV для Pantum P2200, M6500 (Чёрный;674.0;300.0
3262;PC-211EV;с чипом без счётчика;с чипом;"ООО ""КОМПАНИЯ ФЕРРЕТ""";Картридж лазерный Cactus CS-PC-211EV PC-211EV черный (1600;1162.24;500.0
3571;W1335X;без чипа;с чипом;"ООО ""КОМПАНИЯ ПРОФИЛАЙН"" (Закрыто)";*+ЧИП* Картридж W1335X (№335X) 13700 копий GalaPrint;4016.08;341.0
3945;057;с чипом;с чипом без счётчика;;Тонер-картридж Canon LBP-223/MF443 057 (3.1k) (с чипом без;0.0;100.0
3945;057;с чипом;с чипом без счётчика;ИП Капшук Наталья Сергеевна;Тонер-картридж Canon LBP-223/MF443 057 (3.1k) (с чипом без;722.86;100.0
4169;W1360X;с чипом;с чипом без счётчика;;Картридж HP W1360X С ЧИПОМ БЕЗ СЧЕТЧИКА LJ-M211/M236 2.6K ;0.0;100.0
4169;W1360X;с чипом;с чипом без счётчика;"ООО ""КВК ТРЕЙД""";Картридж HP W1360X С ЧИПОМ БЕЗ СЧЕТЧИКА LJ-M211/M236 2.6K ;0.0;115.0
4169;W1360X;с чипом;с чипом без счётчика;"ООО ""КВК ТРЕЙД""";Картридж HP W1360X С ЧИПОМ БЕЗ СЧЕТЧИКА LJ-M211/M236 2.6K ;529.73;85.0
4169;W1360X;с чипом;с чипом без счётчика;"ООО ""КОЛОРТЕК РУС""";Картридж Colortek HP W1360X (136X) (чип без счетчика);552.11;100.0
4169;W1360X;с чипом;с чипом без счётчика;"ООО ""ОДИССЕЙ"" WB";Картридж для HP W1360X HP LJ M211/M236 2.6K ЧИП БезЛимит  ;763.48;516.0
4169;W1360X;с чипом;с чипом без счётчика;"ООО ""ПОЗИТИВ""";Картридж Sakura W1360X ECO (136X) для HP LaserJet M211d/M2;1333.83;100.0
4333;PC-212EV;с чипом без счётчика;с чипом;ИП Капшук Наталья Сергеевна;Тонер-картридж БУЛАТ PC-212EV для Pantum P2502, M6502 (160;674.0;102.0
4749;W1470X;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт);W1470X Картридж EasyPrint LH-W1470X для HP LJ Enterprise M;2650.51;4.0
4832;CF289X;с чипом без счётчика;с чипом;;Картридж Hi-Black (HB-CF289X) для HP LaserJet Enterprise M;0.0;232.0
4832;CF289X;с чипом без счётчика;с чипом;ИП Капшук Наталья Сергеевна;Тонер-картридж 7Q CF289X для HP LJ M507, M528 (Чёрный, 100;3784.0;100.0
4832;CF289X;с чипом без счётчика;с чипом;"ООО ""КПД""(ВТТ)";Картридж Hi-Black (HB-CF289X) для HP LaserJet Enterprise M;0.0;232.0
4832;CF289X;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт);89X Картридж EasyPrint LH-CF289X U для HP LaserJet Enterpr;4368.0;89.0
5403;056H;с чипом без счётчика;с чипом;"ООО ""Солюшнс принт"" МСК";Картридж SP 056H (3008C002) для Canon, чёрный (с чипом);5708.0;11.0
5520;071;с чипом без счётчика;с чипом;"ООО ""КВК ТРЕЙД""";Картридж Canon 071 LBP120ser/MF270ser 1.2K С ЧИПОМ SuperFi;1228.13;49.0
5521;071H;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт);071H Картридж EasyPrint LC-071H для Canon i-SENSYS LBP122d;1359.97;100.0
5521;071H;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-C071H Картридж T2 для Canon i-SENSYS LBP122dw/MF272dw/M;1609.94;100.0
5527;W1450X;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-HW1450X Тонер-картридж T2 для HP LaserJet Pro 3003dn/30;3305.37;9.0
5730;W1520X;с чипом без счётчика;с чипом;;Тонер-картридж Smart Graphics SG-W1520X для HP LJ Pro 4002;0.0;131.0
5730;W1520X;с чипом без счётчика;с чипом;"ООО ""ТОНЕРСТОР""";Тонер-картридж Smart Graphics SG-W1520X для HP LJ Pro 4002;1039.64;41.0
6543;064H BK;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-C064H BK Картридж T2 для Canon i-SENSYS LBP722Cdw/MF832;2304.79;16.0
6544;064H C;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-C064H C Картридж T2 для Canon i-SENSYS LBP722Cdw/MF832C;2140.16;10.0
6545;064H M;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-C064H M Картридж T2 для Canon i-SENSYS LBP722Cdw/MF832C;2140.16;8.0
6546;064H Y;с чипом без счётчика;с чипом;ТОНЕРОПТТОРГ (Изипринт) T2;TC-C064H Y Картридж T2 для Canon i-SENSYS LBP722Cdw/MF832C;2140.16;6.0
