ms_id;артикул МС;вердикт;вариант у поставщика;в прайсе;в остатках поставщика;наименование
129a0f8e-638a-11ee-0a80-0f2300105fe5;AT-3YL81AE С (912XL);совпал с поставщиком КАК ЕСТЬ;;да;да;Картридж для HP 3YL81AE 912XL OJPro 80xx-ser Cyan 0.825K AQUAMARINE (С
74670797-5702-11ef-0a80-0890001eead3;AT-EP 100 LС;совпал с поставщиком КАК ЕСТЬ;;да;да;Чернила для Epson водные Dye ink универсальные 100 ml light cyan AQUAM
2404addc-5702-11ef-0a80-0743001f3c19;AT-EP 100 С;совпал с поставщиком КАК ЕСТЬ;;да;да;Чернила для Epson водные Dye ink универсальные 100 ml cyan AQUAMARINE
3efe8d85-5703-11ef-0a80-0743001f589b;AT-H 100 С;совпал с поставщиком КАК ЕСТЬ;;да;да;Чернила для HP водные Dye ink универсальные 100 ml cyan AQUAMARINE
55683319-7ab6-11f0-0a80-11d9006a7de5;AT-T06C24A 112 С;совпал с поставщиком КАК ЕСТЬ;;да;да;Чернила для Epson C13T06C14A  EcoTank L6550/6570/11160/15150/15160 112
e9aed88c-7b5e-11f0-0a80-09f2003481ff;AT-С GI43 Multipack;совпал с поставщиком КАК ЕСТЬ;;да;да;Набор чернил для Canon Multipack GI43 CMY BK GY R AQUAMARINE (Совмести
1e49c950-1593-11ee-0a80-001e002cc780;BS-CLI-8С;совпал с поставщиком КАК ЕСТЬ;;;да;Blossom BS-CLI-8C Струйный картридж для Canon PIXMA ip3300/iP4300/iP42
9a59e003-df51-11e7-7a34-5acf004530ae;BS-KX-FAD93А;совпал с поставщиком КАК ЕСТЬ;;;да;Барабан KX-FAD93A BS
46cb6e89-b79e-11ee-0a80-0eb300541032;BS-KX-FAT400А;совпал с поставщиком КАК ЕСТЬ;;;да;Картридж Panasonic KX-FAT400A для KX-MB1500/KX-MB1507/KX-MB1520, Bk, 1
f53c91eb-1592-11ee-0a80-001e002cb52f;BS-SgML3470В;совпал с поставщиком КАК ЕСТЬ;;;да;Картридж Samsung ML-3470B для ML3470D/3471ND, ML-D3470B 10000 стр., Bl
f4df3012-7ff0-11ef-0a80-025900161337;CS-C310XС;совпал с поставщиком КАК ЕСТЬ;;да;да;Картридж лазерный Cactus CS-C310XC CS-C310XС 006R04369 голубой (5500ст
a0644562-9578-11f1-0a80-1e9b00313f64;CS-RK-THМ247;совпал с поставщиком КАК ЕСТЬ;;да;да;Тонер Cactus CS-RK-THМ247 черный флакон 400гр. (в компл.:чип) для прин
bef5a8b0-842a-11f1-0a80-051f002f9cb1;CS-THPCHUС-100;совпал с поставщиком КАК ЕСТЬ;;да;да;Тонер Cactus CS-THPCHUС-100 голубой флакон 100гр. для принтера HP Colo
14ae6da9-dca8-11f0-0a80-15380009bef8;CS-TK5345С;совпал с поставщиком КАК ЕСТЬ;;да;да;Картридж лазерный Cactus CS-TK5345С голубой (9000стр.) для Kyocera TAS
8700b82e-adb9-11f0-0a80-0754000c8994;CS-TK5390С;совпал с поставщиком КАК ЕСТЬ;;да;да;Картридж лазерный Cactus CS-TK5390С голубой (13000стр.) для Kyocera EC
cc56ca49-9a9d-11f0-0a80-117d0008a071;CS-TK5480С;совпал с поставщиком КАК ЕСТЬ;;да;да;Картридж лазерный Cactus CS-TK5480С голубой (1250стр.) для Kyocera ECO
