проблема;поставщик;склад;документ;дата;код МС;артикул;внешний код;наименование;категория;штук
карточка в архиве;easy_print;Кантемировская;easy_print_2024-11-24_p13;2024-11-24;5586ct;;5586;Картридж Colortek HP W1107A (107A);Картриджи/Картриджи HP;1.0
карточка в архиве;· ручные документы;Кантемировская;00003-00001;2022-04-24;0193at;ATR-CC644HE;0193;Картридж hp 121XL Col AT;Картриджи/Картриджи HP/струйные hp;1.0
карточка в архиве;· ручные документы;Кантемировская;00022-00001;2019-04-04;0196cg;;0196;* Восстановленный картридж hp 130 BK CG;Картриджи/Картриджи HP/струйные hp;5.0
карточка в архиве;· ручные документы;Кантемировская;00002-00048 (2)71;2023-05-11;2157sp;;2157;*Брак* Картридж CF540X/CF400X/C-054H/045H BK для для принтеров HP LJ M254dw/ M280nw/ M281fdn (3.2k);Картриджи/Картриджи HP;1.0
карточка в архиве;· ручные документы;Кантемировская;00002-00048 (2)71;2023-05-11;2158sp;;2158;*Брак* Картридж CF541X/CF401X/C-054H/045H C для для принтеров HP LJ M254dw/ M280nw/ M281fdn (2.5k);Картриджи/Картриджи HP;1.0
карточка в архиве;· ручные документы;Кантемировская;00002-00048 (2)71;2023-05-11;2159sp;;2159;*Брак* Картридж CF542X/CF402X/C-054H/045H Y для для принтеров HP LJ M254dw/ M280nw/ M281fdn (2.5k);Картриджи/Картриджи HP;1.0
карточка в архиве;· ручные документы;Кантемировская;00002-00048 (2)71;2023-05-11;2160sp;;2160;*Брак* Картридж CF543X/CF403X/C-054H/045H M для для принтеров HP LJ M254dw/ M280nw/ M281fdn (2.5k);Картриджи/Картриджи HP;1.0
карточка в архиве;· ручные документы;Звездный;09012025;2025-01-09;3624ep;;3624;*Брак* Картридж EasyPrint IH-335 №140 для HP Deskjet D4263/D5360/Officejet J5783/J6413, черный;Картриджи/Картриджи HP/струйные hp;1.0
карточка в архиве;· ручные документы;Звездный;09012025;2025-01-09;3625ep;;3625;*Брак*IC-H337 Картридж T2 №141 для HP Deskjet D4263/D5360/Officejet J5783/J6413/Photosmart C4273, цветной;Картриджи/Картриджи HP/струйные hp;2.0
карточка в архиве;· ручные документы;Кантемировская;12305-00001;2016-09-27;0198t2;;0198;IC-H336 Картридж T2 № 140XL для HP Deskjet D4263/D4363/D5360/Officejet J5783/J6413/Photosmart C4273/C4283/C4343/C4383/C4473/C4483/C4583/C5283/D5363, черный;Картриджи/Картриджи HP;2.0
карточка в архиве;· ручные документы;Кантемировская;00039-00001;2019-11-14;0377ds;;0377;Барабан DR-2075 DS;Картриджи/Картриджи Brother;1.0
карточка в архиве;· ручные документы;?;00025-00001;2015-04-10;0015ds;;0015;Картридж 013R00621 DS;Картриджи/Картриджи Xerox;1.0
карточка в архиве;· ручные документы;?;00020-00001;2015-03-18;0036cg;;0036;Картридж 013R00625 CG;Картриджи/Картриджи Xerox;1.0
карточка в архиве;· ручные документы;Кантемировская;00021-00001;2018-08-24;0036sq;;0036;Картридж 013R00625 DS;Картриджи/Картриджи Xerox;1.0
карточка в архиве;· ручные документы;Кантемировская;00002-00001;2018-01-20;0254sq;;0254;Картридж 108R00909 DS new;Картриджи/Картриджи Xerox;1.0
