папка сейчас;куда просится;код;артикул;внешний код;наименование;архив;почему
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;;;H2btsVZkhyE8YJzfABDNc1;*Запчасть* Фотобарабан EasyPrint OPC-B2275 для Brother HL2130/2240/2250/2270/DCP-7060DR/7065 DR-2275/2080 (Golden Green);да;в наименовании лазерное слово
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;7111cs;CS-TBR-100;7111;Тонер Cactus CS-TBR-100 черный флакон 100гр. для принтера Brother Universal TN-1075/1095/TN-2080/2085/2135/2235;;в наименовании лазерное слово
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;7112cs;CS-TBRCHUC-60;7112;Тонер Cactus CS-TBRCHUC-60 голубой флакон 60гр. для принтера Brother Color Universal TN-230/241/213/217/320/421;;"принтеры ТК лазерные: Brother DCP-9020cdw; в наименовании лазерное слово"
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;7113cs;CS-TBRCHUM-60;7113;Тонер Cactus CS-TBRCHUM-60 пурпурный флакон 60гр. для принтера Brother Color Universal TN-230/241/213/217/320/421;;"принтеры ТК лазерные: Brother DCP-9020cdw; в наименовании лазерное слово"
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;7114cs;CS-TBRCHUY-60;7114;Тонер Cactus CS-TBRCHUY-60 желтый флакон 60гр. для принтера Brother Color Universal TN-230/241/213/217/320/421;;"принтеры ТК лазерные: Brother DCP-9020cdw; в наименовании лазерное слово"
Картриджи/Картриджи Brother/струйные brother;Картриджи/Картриджи Brother;7115cs;CS-TBRHS-100;7115;Тонер Cactus CS-TBRHS-100 черный флакон 100гр. для принтера Brother TN-3430/3480/3512/3520;;"принтеры ТК лазерные: Brother DCP-L5500dn; в наименовании лазерное слово"
Картриджи/Картриджи Epson/струйные epson;Картриджи/Картриджи Epson;5432dsk;;5432;Комплект картриджей S050590-S050593 Epson;;принтеры ТК лазерные: Epson AcuLaser C3900N
Картриджи/Картриджи Epson/струйные epson;Картриджи/Картриджи Epson;5432msk;;5432;Набор совместимых картриджей S050590-S050593;;принтеры ТК лазерные: Epson AcuLaser C3900N
Картриджи/Картриджи Epson/струйные epson;Картриджи/Картриджи Epson;5432spb;;5432;Набор совместимых картриджей S050590-S050593;;принтеры ТК лазерные: Epson AcuLaser C3900N
Картриджи/Картриджи HP/струйные hp;Картриджи/Картриджи HP;3447sp;SP291659/291660/291661/291662_MSK;3447;*Брак* Набор картриджей №117A (W2070A-W2073A) без чипа - нет в наличии;да;принтеры ТК лазерные: HP Color Laser 150a
Картриджи/Картриджи HP/струйные hp;Картриджи/Картриджи HP;6946sg;SG-W9016MC WASTE;6946;Картридж для HP W9016MC HP LJ-E82560/E82550 БУНКЕР ОТРАБОТКИ 300K Black Smart Graphics (Совместимый);;принтеры ТК лазерные: HP LaserJet Managed E82540dn
Картриджи/Картриджи HP/струйные hp;Картриджи/Картриджи HP;6946wb;WB W9016MC WASTE;6946;Картридж для HP W9016MC HP LJ-E82560/E82550 БУНКЕР ОТРАБОТКИ 300K Black White Box (Совместимый);;принтеры ТК лазерные: HP LaserJet Managed E82540dn
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5550t2;TC-CT09BK;5550;TC-CT09BK Картридж T2 для Canon i-SENSYS X C1127P/C1127i/C1127iF (7600 стр.) черный, с чипом;;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5636ep;LC-T08;5636;T08 Картриджа EasyPrint LC-T08 для Canon i-SENSYS X 1238 (11000 стр.) с чипом;;принтеры ТК лазерные: Canon i-SENSYS X  1238i
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5637ep;;5637;TC-CT09BK Картридж T2 для Canon i-SENSYS X C1127P/C1127i/C1127iF (7600 стр.) черный, с чипом;да;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5638t2;TC-CT09C;5638;TC-CT09C Картридж T2 для Canon i-SENSYS X C1127P/C1127i/C1127iF (5900 стр.) голубой, с чипом;;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5639t2;TC-CT09M;5639;TC-CT09M Картридж T2 для Canon i-SENSYS X C1127P/C1127i/C1127iF (5900 стр.) пурпурный, с чипом;;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5640t2;TC-CT09Y;5640;TC-CT09Y Картридж T2 дляCanon i-SENSYS X C1127P/C1127i/C1127iF (5900 стр.) желтый, с чипом;;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Canon;Оригинальные картриджи/Картриджи лазерные Canon;5641spb;T09;5641;Набор картриджей T09 с чипом;;принтеры ТК лазерные: Canon i-SENSYS X C1127
Оригинальные картриджи/Картриджи струйные Lexmark;Оригинальные картриджи/Картриджи лазерные Lexmark;5890msk;;5890;Набор картриджей 808H Lexmark;;принтеры ТК лазерные: Lexmark CX410
Оригинальные картриджи/Картриджи струйные Lexmark;Оригинальные картриджи/Картриджи лазерные Lexmark;5890spb;;5890;Набор картриджей 808H Lexmark;;принтеры ТК лазерные: Lexmark CX410
