id;поставщик;артикул;название строки прайса;внеш.код карточки;код МС;название карточки;конфликт;вердикт
16;kaktus_msk;CS-TN-321M;Картридж лазерный Cactus CS-TN-321M СS-TN-321M пурпурный (25000стр.) для Konica Minolta bizhub C224/C224e/C284/C284e/C364;3438;3438cs;Картридж лазерный Cactus CS-TN321M TN-321M пурпурный (1500стр.) для Brother HL-L8250CDN/MFC-L8650CDW;бренд+ресурс;"НЕ СОВПАЛО: бренд, ресурс/объём; совпал артикул поставщика (CS-TN321M)"
17;kaktus_msk;CS-TN-321Y;Картридж лазерный Cactus CS-TN-321Y СS-TN-321Y желтый (25000стр.) для Konica Minolta bizhub C224/C224e/C284/C284e/C364;3439;3439cs;Картридж лазерный Cactus CS-TN321Y TN-321Y желтый (1500стр.) для Brother HL-L8250CDN/MFC-L8650CDW;бренд+ресурс;"НЕ СОВПАЛО: бренд, ресурс/объём; совпал артикул поставщика (CS-TN321Y)"
27;kaktus_msk;CS-DK7300;Блок фотобарабана Cactus CS-DK7300 DK-7300/302P793064/302P793063/302P793062/302P793061/302P793060 черный ч/б:500000стр. для Ecosys P4040dn Kyocera;5556;5556cs;Блок фотобарабана Cactus CS-DK7300 DK-7300/302P793064/302P793063/302P793062/302P793061/302P793060 черный ч/б:500000стр. для Ecosys P4040dn Kyocera;ресурс;"НЕ СОВПАЛО: ресурс/объём; совпал артикул поставщика (CS-DK7300)"
391;kaktus_msk;CS-TKY3-870;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Universal TK-410/420/435/440/450/475/4105/4145;7185;7185cs;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Universal TK-475;модель;"НЕ СОВПАЛО: модель картриджа (TK410 против TK475); совпал артикул поставщика (CS-TKY3-870)"
7206;kaktus_msk;CS-EPT6736;Чернила Cactus CS-EPT6736 T6736 светло-пурпурный 100мл для Epson L800/L810/L850/L1800;3490;3490cs;Картридж T6736A CS;ресурс;"НЕ СОВПАЛО: тип, ресурс/объём; совпал артикул поставщика (CS-EPT6736)"
7681;kaktus_msk;CS-TN321C;Картридж лазерный Cactus CS-TN321C TN-321C голубой (1500стр.) для Brother HL-L8250CDN/MFC-L8650CDW;2030;2030cs;Картридж лазерный Cactus CS-TN-321C СS-TN-321C голубой (25000стр.) для Konica Minolta bizhub C224/C224e/C284/C284e/C364;бренд+ресурс;"НЕ СОВПАЛО: бренд, ресурс/объём; совпал артикул поставщика (CS-TN-321C)"
918;odissey;AQ 2085;Картридж для Brother TN2085  2.5K Aquamarine (Совместимый);0247;0247at;Картридж для Brother TN2085  2.5K Aquamarine (Совместимый);ресурс;"НЕ СОВПАЛО: ресурс/объём; совпал артикул поставщика (AQ 2085)"
3103;odissey;WB STB55B515;Картридж для F+ MB401/M40 STB55B515 15K White Box (Совместимый);6851;6851wb;Картридж для F+ MB401/M40 STB55B515 15K White Box (Совместимый);бренд;"НЕ СОВПАЛО: бренд; совпал артикул поставщика (WB STB55B515)"
3104;odissey;WB 42STB20;Картридж для F+ PB401/MB401 42STB20 20K White Box (Совместимый);7176;7176wb;Картридж для F+ PB401/MB401 42STB20 20K White Box (Совместимый);бренд;"НЕ СОВПАЛО: бренд; совпал артикул поставщика (WB 42STB20)"
3106;odissey;WB W9015MC DRUM;Картридж для HP W9015MC HP LJ-E82540 39.6K БАРАБАН White Box (Совместимый);5947;5947wb;Картридж для HP W9015MC HP LJ-E82540 39.6K БАРАБАН White Box (Совместимый);ресурс;"НЕ СОВПАЛО: ресурс/объём; совпал артикул поставщика (WB W9015MC DRUM)"
3113;odissey;WB DR-316C/M/Y;Картридж для Konica Minolta DR-316 Bizhub C250i/C300/C360i 55K Color White Box (Совместимый);5424;5424wb;Картридж для Konica Minolta DR-316 Bizhub C250i/C300/C360i 55K Color White Box (Совместимый);ресурс;"НЕ СОВПАЛО: ресурс/объём; совпал артикул поставщика (WB DR-316C/M/Y)"
7316;odissey;WB W2070A\71A\72A\73A;Набор картриджей для HP W 2070A\71A\72A\73A CMYK White Box (Совместимый);4209;4209wb;Набор картриджей для HP W 2070A\71A\72A\73A CMYK White Box (Совместимый);модель;"НЕ СОВПАЛО: модель картриджа (W2070A против W2070AW2073A/W2073A); совпал артикул поставщика (WB W2070A\71A\72A\73A)"
7584;odissey;AT-CE310A\11A\12A\13A;Набор картриджей для HP CE310A\11A\12A\13A CMYK AQUAMARINE (Совместимый);0370;0370at;Набор картриджей для HP CE310A\11A\12A\13A CMYK AQUAMARINE (Совместимый);модель;"НЕ СОВПАЛО: модель картриджа (CE310A против CE310ACE313A/CE313A); совпал артикул поставщика (AT-CE310A\11A\12A\13A)"
1235;sakura;SACRG040C;Картридж Sakura 040C (0458C001) для Canon LBP-710/ LBP-712, голубой, 5400 к.;3205;3205sk;Картридж Sakura 040C (0458C001) для Canon LBP-710/ LBP-712, голубой, 5400 к.;модель+бренд;"НЕ СОВПАЛО: модель картриджа (040C против CF361A), бренд; совпал артикул поставщика (SACRG040C)"
