внешний код;модель ТК;доп. название;серия;цвет;ресурс;чип в ТК сейчас;поставить в ТК;согласны поставщиков;как пишут поставщики;остаток на Удаленном;наши карточки МС
0016;CLI-426GY;4560B001;CLI-426 DS;GY;1480;не указан;с чипом;2;IC-CCLI-426GY Картридж T2 для Canon PIXMA MG6140 | Картридж струйный Cactus CS-CLI426GY CLI-426GY с;36.0;0016cs, 0016ep, 0016t2
0184;CLI-426BK;4556B001;CLI-426 DS;BK;500;не указан;с чипом;3;CLI426BK Картридж EasyPrint IC-CLI426BK для Cano | IC-CCLI-426BK Картридж T2 для Canon PIXMA iP4840 | Картридж струйный Cactus CS-CLI426BK CLI-426BK ч;152.0;0184cs, 0184ep, 0184t2
0185;CLI-426C;4557B001;CLI-426 DS;C;520;не указан;с чипом;2;IC-CCLI-426C Картридж T2 для Canon PIXMA iP4840/ | Картридж струйный Cactus CS-CLI426C CLI-426C гол;102.0;0185cs, 0185ep, 0185t2
0186;CLI-426M;4558B001;CLI-426 DS;M;500;не указан;с чипом;2;CLI426M Картридж EasyPrint IC-CLI426M для Canon  | Картридж струйный Cactus CS-CLI426M CLI-426M пур;115.0;0186cs, 0186ep, 0186t2
0187;CLI-426Y;4559B001;CLI-426 DS;Y;515;не указан;с чипом;2;CLI426Y Картридж EasyPrint IC-CLI426Y для Canon  | Картридж струйный Cactus CS-CLI426Y CLI-426Y жел;129.0;0187cs, 0187ep, 0187t2
0207;CE390X;90X;;BK;24000;не указан;с чипом;2;90X/64X Картридж EasyPrint LH-CE390X/CC364X для  | TC-H90X/64X Картридж T2 для HP LaserJet Enterpri;128.0;0207ep, 0207t2
0209;CE311A;126A;CE310A-CE313A DS;C;1000;не указан;с чипом;2;311A/351A/729C Картридж EasyPrint LH-CE311A/CF35 | TC-H311 Картридж T2 для HP Color LaserJet Pro CP;84.0;0209ep, 0209t2
0210;CE312A;126A;CE310A-CE313A DS;Y;1000;не указан;с чипом;3;$$$_СРОЧНО TC-C729Y Картридж T2 для Canon i-SENS | 312A/352A/729Y Картридж EasyPrint LH-CE312A/CF35 | TC-H312 Картридж T2 для HP Color LaserJet Pro CP;160.0;0210ep, 0210t2
0211;CE313A;126A;CE310A-CE313A DS;M;1000;не указан;с чипом;2;313A/353A/729M Картридж EasyPrint LH-CE313A/CF35 | TC-H313 Картридж T2 для HP Color LaserJet Pro CP;144.0;0211ep, 0211t2
0236;TK-1130;;;BK;3000;не указан;с чипом;2;TC-K1130 Тонер-картридж T2 для Kyocera FS-1030MF | Тонер-картридж EasyPrint LK-1130 для Kyocera FS-;93.0;0236ep, 0236t2
0237;TK-1140;;;BK;7200;не указан;с чипом;2;Тонер-картридж EasyPrint LK-1140 для Kyocera FS- | Тонер-картридж EasyPrint LK-1140XL для Kyocera F;192.0;0237ep, 0237t2
0254;108R00909;;;BK;2500;не указан;с чипом;2;3140 Картридж EasyPrint LX-3140 для Xerox Phaser | TC-X3140 Картридж T2 для Xerox Phaser 3140/3155/;128.0;0254ep, 0254t2
0274;MLT-D101S;;;BK;1500;не указан;с чипом;2;MLT-D101S Картридж EasyPrint LS-101S для Samsung | TC-S101S Картридж T2 для Samsung ML-2160/2165/21;200.0;0274ep, 0274t2
