поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
blossom;BS-LQ-2080;Матричный картридж Epson LQ-2080 для LQ-2070/2080/2170/2180/2190, FX-2170/2180;12.0;blossom_2026-07-14_p21;Оригинальные картриджи/Картриджи матричные;2205/2bs;2205/2;1;2205;Риббон-картридж S015086 CS;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, бренд";;;;;
blossom;BS-X106R02609;Тонер-картридж Xerox 106R02609 для Phaser 7100, C, 4,5K, Blossom;5.0;blossom_2026-07-14_p12;Картриджи/Картриджи Xerox;;0KrdFzVZj1PiiuGo5FVpm3;2;3144;Тонер-картридж БУЛАТ s-Line 106R02606, 106R02609 для Xerox Phaser 7100 (Голубой, 4500 стр.), универсальный;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1109;Картридж 106R02609 C PL;;;
blossom;BS-X106R02610;Тонер-картридж Xerox 106R02610 для Phaser 7100 1 туба, M, 4,5K, Blossom;14.0;blossom_2026-07-14_p12;Картриджи/Картриджи Xerox;;qOCSPxRejUPOyO4WlrZpf0;2;3145;Картридж лазерный Cactus CS-PH7100M 106R02607 пурпурный (4500стр.) для Xerox Phaser 7100/7100N/7100DN;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1110;Тонер-картридж Smart Graphics 106R02610 2*4.5K для Xerox Phaser7100 (Пурпурный, 9000 стр.), совместимый;;;
blossom;BS-X106R02611;Тонер-картридж Xerox 106R02611 для Phaser 7100 1 туба, Y, 4,5K, Blossom;8.0;blossom_2026-07-14_p12;Картриджи/Картриджи Xerox;;CMS3OXDhi9fe0cAaNLVV71;2;3146;Картридж лазерный Cactus CS-PH7100Y 106R02608 желтый (4500стр.) для Xerox Phaser 7100/7100N/7100DN;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1111;Картридж Xerox 106R02611W для Xerox Phaser 7100, yellow, 4500 стр.*2 Blossom;;;
blossom;DI152 ЯП 6702B;Тонер Konica-Minolta Di152/183/211/1611/2011/bizhub 162/163/210/211  тип 106B/TN-114 (туба 413 гр.) ориг.;8.0;blossom_2026-07-14_p21;Картриджи/Картриджи Konica Minolta;;T8URA4dLiUDmCj93kt7MA1;0;;;;;;;;
blossom;Q2613X;Q2613X  К-ж HP Smart Cartridge LJ 1300 ориг.;6.0;blossom_2026-07-14_p21;Оригинальные картриджи/Картриджи лазерные HP;;-v62UWyVjOJb0foZZ-w8K3;3;0022;Картридж CG-Q2613X/Q2624X/C7115X/EP-25 (№13X) для принтеров HP LaserJet 1300/1300n/1300xi/1150/1000/1000w/1005/1005w/1200/1200n/1200se/3300/3310/3320/3320n/3330/3330mfp/3380/3390/Canon i-SENSYS LBP1210 4000 копий Colouring;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";0021;Картридж Sakura C7115X/Q2613X/2624X для HP 1000/1150/1200/1200n/1200se/1220/3320/3320n/3330Series/1220se/1300/1300n/1300xi/3300/3310, черный, 3500 к.;5342;Тонер Картридж C7115X/ Q2613X/ Q2624XU 4k SP;
bulat;AFBRHL2140020;Драм-картридж 7Q DR-2175 для Brother HL-2140 (Чёрный, 12000 стр.);50.0;bulat_2026-08-18_p1;;;PZs7rJjejWNyRH3I4Inyd3;4;0376;Фотобарабан Sakura DR2175 для Brother HL-2140/HL-2141/HL-2150N/HL-2170W/DCP-2822/DCP-7030/MFC-7320/DCP-7040/DCP-7045/MFC-7450/MFC-7840N/MFC-7340/MFC-7440N, черный, 12000 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";6676;Комплект фотобарабан DR-2175 DU + картридж TN-2175 Brother;3367;Картридж GP-TN-2135 для принтеров Brother DCP-7030/DCP-7040/DCP-7045/DCP-7045N/MFC-7440/MFC-7440N/MFC-7840/MFC-7840N/DCP-7032/HL-2140/HL-2142/HL-2150/HL-2170/MFC-7320/HL-2140R/HL-2142R/HL-2150NR/HL-2170WR/DCP-7030R/DCP-7032R/DCP-7040R/DCP-7045NR/MFC-;
bulat;AFCNLBP325050;Тонер-картридж БУЛАТ 056L для Canon iSENSYS LBP-325, MF542 (Чёрный, 5100 стр., с чипом 7Q);20.0;bulat_2026-08-18_p15;;;1Ox4QZZFh98KrKxmHGp6Q1;2;5403;Тонер-картридж БУЛАТ 056H для Canon iSENSYS LBP-325,  MF542 (Чёрный, 21000 стр., c чипом 7Q 056L);"НЕ СОВПАЛО: ресурс/объём; не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, чип, бренд";5402;Тонер-картридж 7Q 056 для Canon iSENSYS LBP-325, MF542 (Чёрный, 10000 стр.);;;
bulat;AFHPE60055040;Тонер-картридж БУЛАТ s-Line W9004MC (OPC FUJI) для HP LJ E60055, E62575 (Чёрный, 50000 стр.), ref.;20.0;bulat_2026-08-18_p16;;;NeGtUkoAgf6CFiqA23zSk0;1;4172;Тонер-картридж Hi-Black (HB-W9004MC) для HP LJ E60055/E60065/E60075/E62555/E62565/E62575, 50K;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;AFHPE72525030;Драм-картридж БУЛАТ W9006MC для HP LJ E72525, E72425, ref.;50.0;bulat_2026-08-18_p13;;;T9MKIkx9in6Mnns2hy8f50;5;6992;Комплект фотобарабан W9006MC + картридж W9025MC HP;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";6591;Картридж Colortek HP W9006MC (DU) (200k);4480;Картридж для HP W9025MC HP LJ-E72425/E72430 33K Black White Box (Совместимый);
