уровень;поставщик;артикул;название карточки;штук;внешний код;наша карточка;балл;код в МС;Название WB
A;bulat;GDCN0G1420010;Чернила Canon GI-41PGBK, Чёрные (6000 стр., 135 мл) pigment;50.000;5413;Чернила Cactus CS-GI41PGBK GI-41 PGBK черный пигментный 140мл для Canon PIXMA G1420/G2420/G2460/G3420/G3460;5;;Чернила GI-41Bk для Canon черный
A;bulat;GDCN0GI490010;Чернила Canon GI-490BK (0663C001), Чёрные (6000 стр., 135 мл) dye;100.000;3755;Чернила водорастворимые SP GI-490BK (0663C001) для Canon (черный, 135 мл);5;;Чернила GI-490PGBK для Canon 0663C001 черный
A;bulat;GDEP0L8160010;Чернила 115, C13T07C14A для Epson L8160, L8180 (банка с колпачком), Чёрные (6700 стр., 70 мл) pigment;20.000;6455;Чернила Cactus CS-EPT07C14 115BK черный пигментный70мл для Epson ECOTANK L8160/8180;5;;Чернила 115PGBK для Epson C13T07C14A черный
A;bulat;GDHP00GT52050;Чернила HP GT52 (M0H55AE), Пурпурные (100 мл) dye;50.000;3739;Чернила G&G GG-GT52M пурпурный100мл для HP Ink Tank 110/115/116/118/310/315/316/318/319/515/615;5;;Чернила GT52 для HP M0H55AE пурпурный
A;bulat;GDHP00GT52060;Чернила HP GT52 (M0H56AE), Жёлтые (100 мл) dye;50.000;3740;Чернила G&G GG-GT52Y желтый100мл для HP Ink Tank 110/115/116/118/310/315/316/318/319/515/615;5;;Чернила GT52 для HP M0H56AE желтый
B;bulat;GFCNPFI102030;Струйный картридж БУЛАТ PFI-102C (0896B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Голубой, 130 мл);50.000;1239;Картридж струйный Cactus CS-PFI102C PFI-102 C синий (130мл) для Canon IP iPF500/iPF600/iPF700/ MFP M40/iPF765/LP17/LP24 с чипом;5;1239bt;Картридж PFI-102C для Canon 0896B001 голубой
B;bulat;GFCNPFI102050;Струйный картридж БУЛАТ PFI-102Y (0898B001) для Canon imagePROGRAF iPF500, iPF600, iPF700, LP17 (Жёлтый, 130 мл);50.000;1241;Картридж струйный Cactus CS-PFI102Y PFI-102 Y желтый (130мл) для Canon IP iPF500/iPF600/iPF700/MFP M40/iPF765/LP17/LP24 с чипом;5;1241bt;Картридж PFI-102Y для Canon 0898B001 желтый
B;bulat;GFCNPFI710020;Струйный картридж БУЛАТ PFI-710BK (2354C001), Чёрный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.000;3676;Картридж струйный Cactus CS-PFI710BK PFI-710 BK черный пигментный (700мл) для Canon imagePROGRAF TX-2000/TX-3000/TX-4000 с чипом;5;3676bt;Картридж PFI-710Bk для Canon 2354C001 черный
B;bulat;GFCNPFI710030;Струйный картридж БУЛАТ PFI-710C (2355C001) Голубой, 700мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.000;3677;IC-CPFI-710C Картридж T2 для Canon imagePROGRAF iPF-TX-2000/TX-3000/TX-4000, голубой, с чипом;5;3677bt;Картридж PFI-710C для Canon 2355C001 голубой
B;bulat;GFCNPFI710040;Струйный картридж БУЛАТ PFI-710M (2356C001), Пурпурный, 700 мл, pigment для Canon imagePROGRAF TX-3000, TX-4000;20.000;3678;IC-CPFI-710M Картридж T2 для Canon imagePROGRAF iPF-TX-2000/TX-3000/TX-4000, пурпурный, с чипом;5;3678bt;Картридж PFI-710M для Canon 2356C001 пурпурный
