внешний код;код;наименование МС;Название WB сейчас;формула;почему пусто
1159;1159gp;Картридж CF401A/045 (№201A) Cyan 1400 копий GalaPrint;Картридж CF401A HP 201A голубой;Картридж CF401A для HP 201A голубой;
1160;1160gp;Картридж CF402A/045 (№201A) Yellow 1400 копий GalaPrint;Картридж CF402A HP 201A желтый;Картридж CF402A для HP 201A желтый;
1161;1161gp;Картридж CF403A/045 (№201A) Magenta 1400 копий GalaPrint;Картридж CF403A HP 201A пурпурный;Картридж CF403A для HP 201A пурпурный;
1167;1167spb;Набор картриджей CF400X-CF403X;Набор картриджей CF400X-CF403X HP 201X XL ресурс;Набор картриджей CF400X-CF403X для HP 201X с чипом XL ресурс;
2152;2152wb;Картридж для HP CF 540A CLJ M254/M280/M281 1.4K Black  White Box (Совм;Картридж CF540A HP 203A черный;Картридж CF540A для HP 203A черный с чипом;
2153;2153wb;Картридж для HP CF 541A CLJ M254/M280/M281 1.3K Cyan  White Box (Совме;Картридж CF541A HP 203A голубой;Картридж CF541A для HP 203A голубой с чипом;
2154;2154pl;* ПРОШИВКА* Картридж CF542A (№203A) Yellow 1300 копий ProfiLine;Картридж CF542A HP 203A желтый;Картридж CF542A для HP 203A желтый с чипом;
2155;2155pl;* ПРОШИВКА* Картридж CF543A (№203A) Magenta 1300 копий ProfiLine;Картридж CF543A HP 203A пурпурный;Картридж CF543A для HP 203A пурпурный с чипом;
2161;2161dsk;Комплект картриджей CF540X-CF543X HP С чипом;Комплект картриджей CF540X-CF543X HP С чипом;Набор картриджей CF540X-CF543X для HP 203X с чипом XL ресурс;
2306;2306dsk;Комплект картриджей 045H Canon;Комплект картриджей 045H Canon;Набор картриджей 045H для Canon;
3604;3604pl;Картридж 045BK Black 1400 копий ProfiLine;Картридж 045Bk Canon черный;Картридж 045Bk для Canon 1242c002 черный;
3605;3605sk;Картридж Sakura 045C (1241C002) для Canon LBP-610C/MF-630C, голубой, 1;Картридж 045C Canon голубой;Картридж 045C для Canon 1241c002 голубой;
3606;3606sk;Картридж Sakura 045M (1240C002) для Canon LBP-610C/MF-630C, пурпурный,;Картридж 045M Canon пурпурный;Картридж 045M для Canon 1240C002 пурпурный;
3607;3607sk;Картридж Sakura 045Y (1239C002) для Canon LBP-610C/MF-630C, желтый, 13;Картридж 045Y Canon желтый;Картридж 045Y для Canon 1239C002 желтый;
4312;4312msk;Набор совместимых картриджей TN-328K-TN-328C;Набор картриджей TN-328K-TN-328C;Набор картриджей TN-328K-TN-328C для Konica AAV8150-AAV8450;
6826;6826sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Cyan (28k) БУЛАТ s-Li;Картридж TN626 Konica голубой;Картридж TN-626 для Konica ACV1450 голубой;
6827;6827sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Magenta (28k) БУЛАТ s;Картридж TN626 Konica пурпурный;Картридж TN-626 для Konica ACV1350 пурпурный;
6828;6828sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Yellow (28k) БУЛАТ s-;Картридж TN626 Konica желтый;Картридж TN-626 для Konica ACV1250 желтый;
7167;7167cs;Картридж лазерный Cactus CS-CF226X-MPSXL CF226/Canon 052H черный (2000;Картридж CF226XXL для HP черный XL ресурс с чипом;;каталога ТК по коду 7167 нет — «Название WB» заполнить вручную
7168;7168cs;Картридж лазерный Cactus CS-CF226X-MPSXL Canon 052HXL черный (20000стр;Картридж 052HXL для Canon черный XL ресурс с чипом;;каталога ТК по коду 7168 нет — «Название WB» заполнить вручную
7179;7179cs;Тонер Cactus CS-RK-CF259X черный флакон 300гр. (в компл.:чип) для прин;Тонер CF259X черный флакон 300гр. с чипом для принтеров HP;;каталога ТК по коду 7179 нет — «Название WB» заполнить вручную
7180;7180cs;Тонер Cactus CS-RK-THМ247 черный флакон 400гр. (в компл.:чип) для прин;Тонер THМ247 черный 400гр. (в компл.:чип) для принтеров Катюша;;каталога ТК по коду 7180 нет — «Название WB» заполнить вручную
7181;7181cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Univ;Тонер TK-17 / TK-18 / TK-100 черный флакон 300гр. для принтеров Kyocera;Тонер TK-17 / TK-18 / TK-100 для Kyocera черный;
7182;7182cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Univ;Тонер TK-1130 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1130 для Kyocera черный;
7183;7183cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Univ;Тонер TK-1140 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1140 для Kyocera черный;
7184;7184cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Univ;Тонер TK-1170 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1170 для Kyocera черный;
7185;7185cs;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Uni;Тонер TK-475 черный флакон 870гр. для принтеров Kyocera;;каталога ТК по коду 7185 нет — «Название WB» заполнить вручную
7186;7186cs;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Uni;Тонер TK-4105 черный флакон 870гр. для принтеров Kyocera;;каталога ТК по коду 7186 нет — «Название WB» заполнить вручную
7187;7187cs;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Uni;Тонер TK-435 / TK-410 черный флакон 870гр. для принтеров Kyocera;;каталога ТК по коду 7187 нет — «Название WB» заполнить вручную
7188;7188cs;Тонер Cactus CS-TKY3-870 черный флакон 870гр. для принтера Kyocera Uni;Тонер TK-4145 черный флакон 870гр. для принтеров Kyocera;;каталога ТК по коду 7188 нет — «Название WB» заполнить вручную
7189;7189wb;Картридж для Canon WT-201 IR C250 БУНКЕР ОТРАБОТКИ White Box (Совмести;Картридж для Canon WT-201 IR C250 БУНКЕР ОТРАБОТКИ White Box (Совместимый);;каталога ТК по коду 7189 нет — «Название WB» заполнить вручную
7190;7190wb;Картридж для Deli T108 P1820/M1820 1.6K White Box (Совместимый);Картридж для Deli T108 P1820/M1820 1.6K White Box (Совместимый);;каталога ТК по коду 7190 нет — «Название WB» заполнить вручную
7191;7191wb;Картридж для HP W9018MC HP CLJ E75245 75K БАРАБАН White Box (Совместим;Картридж для HP W9018MC HP CLJ E75245 75K БАРАБАН White Box (Совместимый);;каталога ТК по коду 7191 нет — «Название WB» заполнить вручную
7192;7192wb;Картридж для HP B5L37A HP CLJ-Flow M577 БУНКЕР ОТРАБОТКИ 54K Black Whi;Бункер отработки для HP B5L37A черный;;каталога ТК по коду 7192 нет — «Название WB» заполнить вручную
7193;7193wb;Картридж для Pantum CWT-2000 CP2200/CM2200 15K БункерОтработки White B;Бункер отработки для Pantum CWT-2000;;каталога ТК по коду 7193 нет — «Название WB» заполнить вручную
7194;7194wb;Картридж для Pantum CWT-2600 CM270/CM420 35K БункерОтработки White Box;Бункер отработки для Pantum CWT-2600;;каталога ТК по коду 7194 нет — «Название WB» заполнить вручную
7195;7195wb;Картридж для Pantum TL-3200H BM230/BM320 12K White Box (Совместимый);Картридж TL-3200H для Pantum;;каталога ТК по коду 7195 нет — «Название WB» заполнить вручную
7196;7196wb;Картридж для Xerox 008R13215 DocuCentre SC2020 КОНТЕЙНЕР ОТРАБОТКИ 15K;Бункер для отработки для Xerox 008R13215;;каталога ТК по коду 7196 нет — «Название WB» заполнить вручную
7197;7197wb;Картридж для Xerox 108R01124 VersaLink-C400/WC-6655 Бункер Отработки 3;Бункер для отработки для Xerox 108R01124;;каталога ТК по коду 7197 нет — «Название WB» заполнить вручную
7198;7198wb;Картридж для Xerox 108R01416 VersaLink-C500/WC-6515 Бункер Отработки 3;Бункер для отработки для Xerox 108R01416;;каталога ТК по коду 7198 нет — «Название WB» заполнить вручную
7199;7199wb;Картридж для HP W1370X HP LJ M208/M232 2.6K ЧИП БезЛимит Black White B;Картридж W1370X для HP черный с чипом без счетчика;;каталога ТК по коду 7199 нет — «Название WB» заполнить вручную
7201;7201wb;Картридж для Xerox 008R08101/108R08102 КОНТЕЙНЕР ОТРАБОТКИ 69K White B;Картридж для Xerox 008R08101/108R08102 КОНТЕЙНЕР ОТРАБОТКИ 69K White Box (Совместимый);;каталога ТК по коду 7201 нет — «Название WB» заполнить вручную
