код;внешний код;наименование МС;Название WB (соберём);бренды ТК
;0002;Совместимый картридж NVP FX-10;Картридж Q2612A для HP 12A черный;HP
;0002;Совместимый картридж Colortek Q2612A;Картридж Q2612A для HP 12A черный;HP
0002cs;0002;"Картридж лазерный G&G GG-Q2612A GG-Q2612A UNIVERSAL черный (2000стр.) для HP 1010/1012/1015/1018/Canon LBP2900/3000/L120/L90/L100/L120/HP 1020/1022/3015/3020/3030/3050/3052/3055/M1005/1300/1319f; Canon 4140/MF4380dn/4010/4660pl/4100/4690pl/4110/4120/";Картридж Q2612A для HP 12A черный;HP
0002cs;0002;Картридж лазерный G&G GG-Q2612A черный (2000стр.) для HP LJ 1010/1012/1015/1018/1020/1020Plus/1022/3015/3020;Картридж Q2612A для HP 12A черный;HP
;0004;Совместимый картридж Colortek C7115A;Картридж Q2613A для HP 13A черный с чипом;HP
;0004;Совместимый картридж Standart C7115A/ Q2613A/ Q2624A;Картридж Q2613A для HP 13A черный с чипом;HP
;0004;Совместимый картридж Cactus CS-C7115A;Картридж Q2613A для HP 13A черный с чипом;HP
;0006;Набор совместимых картриджей Colortek 731;Набор картриджей 731 для Canon 6271B002;Canon
;0006;Набор совместимых картриджей NVP 731H;Набор картриджей 731 для Canon 6271B002;Canon
0011cs;0011;"Картридж лазерный G&G GG-CE505A UNIVERSAL черный (2300стр.) для HP LaserJet P2035, P2035n, P2055d, P2055dn, P2055x; LaserJet Pro 400 M401, M401a, M401n, M401d, M401dn, M401dne, M401dw, MFP M425, MFP M425dn, MFP M425dw Canon i-SENSYS LBP6300dn, 6310dn";Картридж CE505A для HP 05A черный с чипом;HP
0012cs;0012;Картридж лазерный G&G GG-Q5949A черный (2500стр.) для HP LJ 1160/1160Le/1320/1320n/1320t/1320tn/1320nw/3390/3392 Canon LBP-3300/3360;Картридж Q5949A для HP 49A черный с чипом;HP
;0016;Совместимый картридж Cactus CLI-426GY;Картридж CLI-426GY для Canon 4560B001 серый;Canon
;0016;Совместимый картридж ProfiLine CLI-426GY;Картридж CLI-426GY для Canon 4560B001 серый;Canon
;0016;Совместимый картридж SuperFine CLI-426GY;Картридж CLI-426GY для Canon 4560B001 серый;Canon
;0018;Совместимый картридж Standart E30;Картридж E30 для Canon 1491A003 черный XL ресурс;Canon
;0018;Совместимый картридж SuperFine E30;Картридж E30 для Canon 1491A003 черный XL ресурс;Canon
;0018;Совместимый картридж SolutionPrint E30;Картридж E30 для Canon 1491A003 черный XL ресурс;Canon
;0018;Совместимый картридж Colortek E30;Картридж E30 для Canon 1491A003 черный XL ресурс;Canon
0018cs;0018;"Картридж лазерный G&G GG-E30 черный (4000стр.) для Canon PC 300/400/700/860/920/981;FC-108/128/200/208/500/530";Картридж E30 для Canon 1491A003 черный XL ресурс;Canon
;0021;Совместимый картридж SolutionPrint C7115X/ Q2613X/ Q2624X U;Картридж C7115X для HP 15X черный XL ресурс;HP
;0022;Совместимый картридж Colortek Q2613X;Картридж Q2613X для HP 13X черный с чипом XL ресурс;HP
0022cs;0022;Картридж лазерный G&G GG-Q2613X черный (4000стр.) для HP LJ 1300/1300N/1000/1005/1200;Картридж Q2613X для HP 13X черный с чипом XL ресурс;HP
;0027;Совместимый картридж Colortek CE505X;Картридж CE505X для HP 05X черный с чипом XL ресурс;HP
