внешний код;код;наименование МС;было;станет;замечание
1159;1159gp;Картридж CF401A/045 (№201A) Cyan 1400 копий GalaPrint;Картридж CF401A HP 201A голубой;Картридж CF401A для HP 201A голубой;
1160;1160gp;Картридж CF402A/045 (№201A) Yellow 1400 копий GalaPrint;Картридж CF402A HP 201A желтый;Картридж CF402A для HP 201A желтый;
1161;1161gp;Картридж CF403A/045 (№201A) Magenta 1400 копий GalaPrint;Картридж CF403A HP 201A пурпурный;Картридж CF403A для HP 201A пурпурный;
1167;1167spb;Набор картриджей CF400X-CF403X;Набор картриджей CF400X-CF403X HP 201X XL ресурс;Набор картриджей CF400X-CF403X для HP 201X с чипом XL ресурс;
2152;2152wb;Картридж для HP CF 540A CLJ M254/M280/M281 1.4K Black  White Box (Совместимый);Картридж CF540A HP 203A черный;Картридж CF540A для HP 203A черный с чипом;
2153;2153wb;Картридж для HP CF 541A CLJ M254/M280/M281 1.3K Cyan  White Box (Совместимый);Картридж CF541A HP 203A голубой;Картридж CF541A для HP 203A голубой с чипом;
2154;2154pl;* ПРОШИВКА* Картридж CF542A (№203A) Yellow 1300 копий ProfiLine;Картридж CF542A HP 203A желтый;Картридж CF542A для HP 203A желтый с чипом;
2155;2155pl;* ПРОШИВКА* Картридж CF543A (№203A) Magenta 1300 копий ProfiLine;Картридж CF543A HP 203A пурпурный;Картридж CF543A для HP 203A пурпурный с чипом;
2161;2161dsk;Комплект картриджей CF540X-CF543X HP С чипом;Комплект картриджей CF540X-CF543X HP С чипом;Набор картриджей CF540X-CF543X для HP 203X с чипом XL ресурс;
2306;2306dsk;Комплект картриджей 045H Canon;Комплект картриджей 045H Canon;Набор картриджей 045H для Canon;
3604;3604pl;Картридж 045BK Black 1400 копий ProfiLine;Картридж 045Bk Canon черный;Картридж 045Bk для Canon 1242c002 черный;
3605;3605sk;Картридж Sakura 045C (1241C002) для Canon LBP-610C/MF-630C, голубой, 1300 к.;Картридж 045C Canon голубой;Картридж 045C для Canon 1241c002 голубой;
3606;3606sk;Картридж Sakura 045M (1240C002) для Canon LBP-610C/MF-630C, пурпурный, 1300 к.;Картридж 045M Canon пурпурный;Картридж 045M для Canon 1240C002 пурпурный;
3607;3607sk;Картридж Sakura 045Y (1239C002) для Canon LBP-610C/MF-630C, желтый, 1300 к.;Картридж 045Y Canon желтый;Картридж 045Y для Canon 1239C002 желтый;
4312;4312msk;Набор совместимых картриджей TN-328K-TN-328C;Набор картриджей TN-328K-TN-328C;Набор картриджей TN-328K-TN-328C для Konica AAV8150-AAV8450;
6826;6826sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Cyan (28k) БУЛАТ s-Line (NEW);Картридж TN626 Konica голубой;Картридж TN-626 для Konica ACV1450 голубой;
6827;6827sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Magenta (28k) БУЛАТ s-Line (NEW);Картридж TN626 Konica пурпурный;Картридж TN-626 для Konica ACV1350 пурпурный;
6828;6828sl;Тонер-картридж Konica Minolta bizhub C450i TN626 Yellow (28k) БУЛАТ s-Line (NEW);Картридж TN626 Konica желтый;Картридж TN-626 для Konica ACV1250 желтый;
7181;7181cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Universal TK-17 / TK-18 / TK-100;Тонер TK-17 / TK-18 / TK-100 черный флакон 300гр. для принтеров Kyocera;Тонер TK-17 / TK-18 / TK-100 для Kyocera черный;
7182;7182cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Universal TK-1130;Тонер TK-1130 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1130 для Kyocera черный;
7183;7183cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Universal TK-1140;Тонер TK-1140 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1140 для Kyocera черный;
7184;7184cs;Тонер Cactus CS-TKY-300 черный флакон 300гр. для принтера Kyocera Universal TK-1170;Тонер TK-1170 черный флакон 300гр. для принтеров Kyocera;Тонер TK-1170 для Kyocera черный;
