platform,account,id,action,result,detail
wb,wb_acc1,199332145,шаг 11663,применён,14578 → 11663
wb,wb_acc1,199332145,шаг 9331,применён,11663 → 9331
wb,wb_acc1,199332145,шаг 8592,применён,9331 → 8592
wb,wb_acc1,199332145,итог,ВЫПУЩЕН,"цель 8592, шагов 3, стало 8592.0"
wb,wb_acc1,263820422,шаг 597,применён,746 → 597
wb,wb_acc1,263820422,шаг 478,применён,597 → 478
wb,wb_acc1,263820422,шаг 460,применён,478 → 460
wb,wb_acc1,263820422,итог,ВЫПУЩЕН,"цель 460, шагов 3, стало 460.0"
wb,wb_acc1,263821068,шаг 620,применён,774 → 620
wb,wb_acc1,263821068,шаг 496,применён,620 → 496
wb,wb_acc1,263821068,шаг 460,применён,496 → 460
wb,wb_acc1,263821068,итог,ВЫПУЩЕН,"цель 460, шагов 3, стало 460.0"
wb,wb_acc1,263821087,шаг 620,применён,774 → 620
wb,wb_acc1,263821087,шаг 496,применён,620 → 496
wb,wb_acc1,263821087,шаг 460,применён,496 → 460
wb,wb_acc1,263821087,итог,ВЫПУЩЕН,"цель 460, шагов 3, стало 460.0"
wb,wb_acc1,257807683,шаг 20362,применён,25452 → 20362
wb,wb_acc1,257807683,шаг 16290,применён,20362 → 16290
wb,wb_acc1,257807683,шаг 15562,применён,16290 → 15562
wb,wb_acc1,257807683,итог,ВЫПУЩЕН,"цель 15562, шагов 3, стало 15562.0"
wb,wb_acc1,199333802,шаг 2390,применён,2987 → 2390
wb,wb_acc1,199333802,шаг 2050,применён,2390 → 2050
wb,wb_acc1,199333802,итог,ВЫПУЩЕН,"цель 2050, шагов 2, стало 2050.0"
wb,wb_acc1,199333641,шаг 8887,применён,11108 → 8887
wb,wb_acc1,199333641,шаг 7110,применён,8887 → 7110
wb,wb_acc1,199333641,шаг 6561,применён,7110 → 6561
wb,wb_acc1,199333641,итог,ВЫПУЩЕН,"цель 6561, шагов 3, стало 6561.0"
wb,wb_acc1,294204999,шаг 6000,применён,7500 → 6000
wb,wb_acc1,294204999,шаг 4809,применён,6000 → 4809
wb,wb_acc1,294204999,итог,ВЫПУЩЕН,"цель 4809, шагов 2, стало 4809.0"
wb,wb_acc1,830529181,шаг 4875,применён,6093 → 4875
wb,wb_acc1,830529181,шаг 4158,применён,4875 → 4158
wb,wb_acc1,830529181,итог,ВЫПУЩЕН,"цель 4158, шагов 2, стало 4158.0"
wb,wb_acc1,209664984,шаг 4882,применён,6102 → 4882
wb,wb_acc1,209664984,шаг 4374,применён,4882 → 4374
wb,wb_acc1,209664984,итог,ВЫПУЩЕН,"цель 4374, шагов 2, стало 4374.0"
wb,wb_acc1,199334116,шаг 3411,применён,4263 → 3411
wb,wb_acc1,199334116,шаг 2978,применён,3411 → 2978
wb,wb_acc1,199334116,итог,ВЫПУЩЕН,"цель 2978, шагов 2, стало 2978.0"
wb,wb_acc1,192255559,шаг 1586,применён,1982 → 1586
wb,wb_acc1,192255559,шаг 1415,применён,1586 → 1415
wb,wb_acc1,192255559,итог,ВЫПУЩЕН,"цель 1415, шагов 2, стало 1415.0"
