platform,account,id,code,pack,price_new,price_old,cogs,cost_src,retention_pct,net,floor,verdict,reason
wb,wb_acc2,323171855,3133VAWLAZIW,1,484.0,966.24,46.0,ТК-база,53.8,177.76,48.4,ОК,
wb,wb_acc2,882012777,14091DT6NIPD,1,9492.0,17667.78,1677.0,ТК-база,53.8,2711.24,949.2,ОК,
wb,wb_acc2,885228912,30601VKOXW8C,1,1097.0,1687.62,113.0,ТК-база,53.8,394.15,109.7,ОК,
wb,wb_acc2,887696413,14092RIN5ZYU,1,9492.0,17667.78,1677.0,ТК-база,53.8,2711.24,949.2,ОК,
wb,wb_acc2,912935018,45081F5V6UVT,1,6029.0,11951.94,977.0,ТК-база,53.8,1810.27,602.9,ОК,
wb,wb_acc2,923460390,53382HIUQIHC,1,3019.5,4834.06,529.0,ТК-база,53.8,866.94,301.95,ОК,
wb,wb_acc2,313190563,4312F44HK3QD,1,7880.0,15488.32,1331.0,ТК-база,53.8,2312.0,788.0,ОК,
wb,wb_acc2,313214495,3220LX29MN62,1,2372.29,3912.0,511.0,ТК-база,53.8,585.73,237.23,ОК,
wb,wb_acc2,323339775,5337FQED22U2,1,2372.29,3912.0,511.0,ТК-база,53.8,585.73,237.23,ОК,
wb,wb_acc2,323186880,3237YOUZXSRL,1,4878.59,7685.0,1083.0,ТК-база,53.8,1172.42,487.86,ОК,
wb,wb_acc2,323224704,5037GKEASWM4,1,6339.03,10486.0,1623.0,ТК-база,53.8,1307.6,633.9,ОК,
wb,wb_acc2,323344151,3241VTMKZZ5N,1,13578.18,21230.0,,,53.8,,,НЕТ СЕБЕСТА,
wb,wb_acc2,865052022,22001NGDTHL9,1,2186.4,4125.0,456.0,ТК-база,53.8,554.79,218.64,ОК,
wb,wb_acc2,865052651,22002SDP9OY2,1,2186.4,4125.0,456.0,ТК-база,53.8,554.79,218.64,ОК,
wb,wb_acc2,313189965,2145OFWVJW4A,1,2982.29,4930.0,721.0,ТК-база,53.8,657.74,298.23,ОК,
wb,wb_acc2,313191272,2978CU03NZP6,1,2982.29,4930.0,721.0,ТК-база,53.8,657.74,298.23,ОК,
wb,wb_acc2,323218764,2705MPZ2BFPU,1,4057.89,7065.0,953.0,ТК-база,53.8,923.0,405.79,ОК,
wb,wb_acc2,323283356,2905M1HMZ5CJ,1,8881.0,13809.88,1569.0,ТК-база,53.8,2536.77,888.1,ОК,
wb,wb_acc2,865125983,23191ZJ3ZXP8,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865126608,23192CS0OY62,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865235314,29051AUQP8NZ,1,8881.0,13809.88,1569.0,ТК-база,53.8,2536.77,888.1,ОК,
wb,wb_acc2,865235926,29052PH951CF,1,8881.0,13809.88,1569.0,ТК-база,53.8,2536.77,888.1,ОК,
wb,wb_acc2,865248557,23193NWCR7VQ,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865250373,23195WONQS90,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865251092,23196ZBZ9931,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865251783,23197QMFV49Q,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,865252422,23198SZUXAGC,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,883430024,23199SL1RGSW,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,883430403,231910HEKHIR,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,883430934,231911VOF1KE,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
wb,wb_acc2,883431431,231912W8SADK,1,2758.4,5363.0,607.0,ТК-база,53.8,668.24,275.84,ОК,
