id,state,has_msg,date,age,platform,account,kind,article,item,cls,era,allow,button,reasons,body,draft
516,queued,False,2026-08-28,13,yandex,ya_acc1,review,326210,326210,совместимость,до A1,True,✅,,"пришел во время,упаковка целая на принтер pantum подошел.",Благодарим за отзыв! Будем и дальше стараться. Лёгкой печати без хлопот 🖨️
518,queued,False,2026-08-28,12,yandex,ya_acc1,review,2343,2343,прочее,до A1,True,✅,,,Спасибо за тёплые слова! Нам очень приятно — заходите к нам ещё 😊
524,queued,False,2026-08-28,12,yandex,ya_acc1,review,2313,2313,прочее,до A1,True,✅,,"рекомендую, отличное качество","Благодарим, что нашли время на отзыв! Всегда рады помочь с расходниками для печати 🙌"
523,queued,False,2026-08-28,12,yandex,ya_acc1,review,23122,23122,прочее,до A1,True,✅,,рекомендую данный товар не пожалел,Благодарим за отзыв! Лёгкой печати и хорошего настроения 🖨️🌟
522,queued,False,2026-08-28,12,yandex,ya_acc1,review,326215,326215,прочее,до A1,True,✅,,,Благодарим за отзыв! Лёгкой печати и хорошего настроения 🖨️🌟
528,queued,False,2026-08-29,11,wb,wb_acc2,review,53535RPHV7L9,871054039,прочее,до A1,True,✅,,Катридж пошёл  точно и печатает без помарок,"Здравствуйте, благодарим, что выбрали для HP LaserJet P1005 1500 страниц в нашем магазине «Цифровой квадрат»! Хорошего настроения 🌟"
530,queued,False,2026-08-29,11,yandex,ya_acc1,review,32621,32621,прочее,до A1,True,✅,,,Благодарим за отзыв! Лёгкой печати и хорошего настроения 🖨️🌟
531,queued,False,2026-08-30,10,yandex,ya_acc1,review,116810,116810,совместимость,до A1,True,✅,,"Очень доволен покупкой, картридж подошел к моему МФУ как родной, печать качественная, упаковка на высоком уровне",Спасибо за добрые слова! Всегда рады видеть вас снова в нашем магазине 😊
533,queued,False,2026-08-30,10,wb,wb_acc2,review,5631CGT9KFKI,313214639,прочее,до A1,True,✅,,"Отказалась из-за своей женской тупости(( У меня МФУ МА2101cfwx, смотрела обзоры на картридж ТК-5440, он с виду один в од","Елена, благодарим за заказ и добрые слова! Всегда рады видеть вас снова 🛍🌟"
532,queued,False,2026-08-30,10,yandex,ya_acc1,review,6691,6691,прочее,до A1,True,✅,,"Берите, не пожалеете.",Спасибо за 5 звёзд и за выбор нашего магазина! Обращайтесь ещё 🌟
535,queued,False,2026-08-30,10,yandex,ya_acc1,review,02343,02343,совместимость,до A1,True,✅,,Отличный картридж. Работает. Отлично подошёл к принтеру.,"Благодарим, что выбрали картридж KX-FAT411A для Panasonic в нашем магазине «Цифровой квадрат». Рады, что всё подошло и печать отличная. Хорошего настроения 🌟 и "
534,queued,False,2026-08-30,10,wb,wb_acc1,review,00351,216422201,прочее,до A1,True,✅,,"Встал как родной, все работает.","Здравствуйте, спасибо за отзыв! Рады каждому довольному покупателю — обращайтесь ещё 🙌"
536,queued,False,2026-08-30,10,yandex,ya_acc1,review,11686,11686,прочее,до A1,True,✅,,,"Рады, что всё прошло гладко и товар порадовал! Благодарим за покупку 🛍"
