Кабинет Цифровой — карточки ВБ без фото и/или видео, на 16.09.2026. Всего 46.
Просьба обновить фото и видео в ТК. Колонки через табуляцию:
внешний код	штрихкод	артикул ВБ	артикул продавца	чего не хватает	название
0022	0022	238899334	0022	видео	Картридж DS Q2613X для HP 4000 страниц
LIN-	2039208467542	197335910	LIN-1684812	видео	Кронштейн для телевизора Buro FX1R 15"-48"
LIN-	2043988728687	417706438	LIN-1054374	видео	Триммер бензиновый PT 443 The One (1+1)
wb1a	2041296465836	264092919	wb1aohb6lo	видео	Серебряные серьги сердечки с фианитами
wb1f	2041295508411	264025638	wb1fn1kd4c	видео	Серьги-гвоздики сердечки
wb1g	2041327218035	265245059	wb1gs9v2t8	видео	Браслет из розового золото с пером
wb1t	2041291613423	263852158	wb1tifh84c	видео	Серебряный браслет шарики с сердцем
wb1x	2041522042886	273157590	wb1xoxddpc	видео	Браслет цепочка с кольцами
wb2c	2041386395449	267980181	wb2co03s8w	видео	Серьги кольца (хупы) с натуральными камнями
wb2v	2041292044394	263881423	wb2voro23g	видео	Серебряная цепочка с сердечком на шею
wb2v	2041456181330	270514664	wb2v1p2fu8	видео	Массивный широкий Бэнгл Браслет
wb2z	2041927138993	287375885	wb2zom7bf8	видео	Браслет на ногу (анклет) с цветочками
wb3w	2041290512505	263802251	wb3waslx98	видео	Браслет из натурального зеленого агата
wb49	2041327463770	267601719	wb492kn4fw	видео	Треугольные большие серьги конго
wb4m	2041284253667	263537308	wb4mhhiymk	видео	Браслет из натурального жемчуга и лазурита с сердцем
wb4z	2041458853211	270566678	wb4ze8omy8	видео	Браслет из ракушек каури
wb5f	2041926414609	287355476	wb5f74e0k4	видео	Браслет из кораллов со спиралью
wb5z	2041290712974	263814448	wb5z1skws	видео	Браслет из натурального агата со знаком "Peace"
wb69	2041927337723	287390215	wb693sft90	видео	Браслет из белого агата "Рука Фатимы"
wb6a	2041913061311	286674910	wb6ao3okck	видео	Макраме браслет с аметистом
wb6o	2041523536513	273186336	wb6oydgmao	видео	Браслет из розового агата
wb72	2041455669679	270369324	wb72f09je8	видео	Браслет розовое серебро
wb75	2044009187551	418674404	wb75og0te5	видео	Кусторез для травы Gardena ClassicCut
wb7b	2041912739815	286661875	wb7bp28uro	видео	Кожаный браслет-шнурок серебряными бусинами
wb7c	2042241482953	301960155	wb7ciuh91k	видео	Широкий чокер-цепь на шею
wb7k	2041523479681	273184707	wb7k8mfylc	видео	Браслет из черного агата и деревом жизни
wb7l	2040423585577	238129656	wb7lcevdr4	видео	Браслет из натурального жемчуга с сердцем
wbn3	2041388792093	268145102	wbn3zjc5c	видео	Серьги люстры с натуральным жемчугом
0076	DSOVM0000076	439978296	0076	фото+видео	Картриджи BCI-6 для Canon Pixma MP760, Pixma MP780
2269	2269	558073782	2269	фото+видео	Картриджи 106R01391 - 106R01388 для Xerox Phaser 6280
2471	2471	557501337	2471	фото+видео	Картриджи 106R01392 - 106R01395 для Xerox Phaser 6280
3083	ORG3083SEGF3	1243928451	30833	фото+видео	Картридж для HP OfficeJet Pro 6970
4263	ORG4263EMUL2	1181471209	42632	фото+видео	Картридж для Olivetti 3011DN
4909	DSMUH0049097	1019034007	49097	фото+видео	Картридж для Lexmark LaserPrinter X546
4909	DSUPP0049095	1019034609	49095	фото+видео	Картридж для Lexmark LaserPrinter X544
4938	DSETE0049383	1018887188	49383	фото+видео	Картридж для Lexmark LaserPrinter X854
4939	DSGXD0049393	1018875641	49393	фото+видео	Картридж для Lexmark LaserPrinter X864
4939	DSNRV0049392	1018875647	49392	фото+видео	Картридж для Lexmark LaserPrinter X862
4939	DSXKM0049391	1018875930	49391	фото+видео	Картридж для Lexmark LaserPrinter X860
4941	DSEXI0049416	1018858438	49416	фото+видео	Фотобарабан для Lexmark LaserPrinter CX410
5917	DSEGM0005917	386325468	5917	фото+видео	Печатающая головка C4811A для HP InkJet 1100, DJ 100 голубой
6121	ORG6121RGHY2	1189185811	61212	фото+видео	Тонер-картридж для Panasonic KX-FL611
6271	DSDJV0006271	466752410	6271	фото+видео	Картриджи 006R1701- 006R1704 для Xerox B 1025, B-1022
6296	DSNHO0062961 ORG6296TPVU1	1003697332	62961	фото+видео	Картридж для Lexmark MS821n
6547	6547	558053605	6547	фото+видео	Картриджи 064H для Canon LBP722Cdw, MF832Cdw
6720	6720	556853088	6720	фото+видео	Фотобарабан + картридж 013R00691 + 006R04404 для Xerox черный
