assembly_id,штук_ВБ_продажа,штук_ВБ_возврат,штук_МС,себест_отгрузки,сторно_сейчас,сторно_по_штукам_ВБ,разница
4357910452,1.0,1.0,4.0,17683.76,4420.94,17683.76,13262.82
5062149035,1.0,1.0,4.0,12728.96,3182.24,12728.96,9546.72
4720275800,1.0,1.0,4.0,5286.5,1321.62,5286.5,3964.88
4342217220,1.0,1.0,5.0,4554.79,910.96,4554.79,3643.83
5058776160,1.0,1.0,4.0,4182.89,1045.72,4182.89,3137.17
5363377182,1.0,1.0,4.0,3658.34,914.58,3658.34,2743.75
4028857125,1.0,1.0,9.0,3066.74,340.75,3066.74,2725.99
4251468694,1.0,1.0,6.0,3159.99,526.66,3159.99,2633.32
3990204858,1.0,1.0,10.0,2821.39,282.14,2821.39,2539.25
5017407846,1.0,1.0,4.0,3342.29,835.57,3342.29,2506.72
4262625980,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625983,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625984,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625985,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625987,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625990,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
4262625995,1.0,1.0,8.0,2701.0,337.62,2701.0,2363.38
5167801170,1.0,1.0,4.0,3107.72,776.93,3107.72,2330.79
5080235595,1.0,1.0,4.0,2812.95,703.24,2812.95,2109.71
4741434303,1.0,1.0,4.0,2584.65,646.16,2584.65,1938.49
4286066477,1.0,1.0,16.0,2066.07,129.13,2066.07,1936.94
4324678780,1.0,1.0,4.0,2430.82,607.71,2430.82,1823.12
4327730149,1.0,1.0,14.0,1922.72,137.34,1922.72,1785.38
4282476214,1.0,1.0,32.0,1798.7,56.21,1798.7,1742.49
5149277542,1.0,1.0,4.0,2305.28,576.32,2305.28,1728.96
4182842611,1.0,1.0,12.0,1805.82,150.49,1805.82,1655.34
4580115500,1.0,1.0,4.0,2123.48,530.87,2123.48,1592.61
4914239601,1.0,1.0,4.0,2015.78,503.94,2015.78,1511.84
5027121262,1.0,1.0,4.0,1980.77,495.19,1980.77,1485.58
5008941333,1.0,1.0,4.0,1978.63,494.66,1978.63,1483.97
4301442801,1.0,1.0,4.0,1970.12,492.53,1970.12,1477.59
4586501157,1.0,1.0,4.0,1958.14,489.54,1958.14,1468.61
5079634815,1.0,1.0,2.0,2898.97,1449.48,2898.97,1449.48
5291998893,1.0,1.0,4.0,1890.33,472.58,1890.33,1417.75
5162585397,1.0,1.0,4.0,1726.52,431.63,1726.52,1294.89
5073666410,1.0,1.0,4.0,1719.99,430.0,1719.99,1289.99
5015632523,1.0,1.0,4.0,1663.67,415.92,1663.67,1247.75
4959722186,1.0,1.0,4.0,1638.74,409.69,1638.74,1229.06
4911445591,1.0,1.0,4.0,1588.0,397.0,1588.0,1191.0
4967906703,1.0,1.0,4.0,1586.0,396.5,1586.0,1189.5
4551698004,1.0,1.0,4.0,1559.59,389.9,1559.59,1169.69
4540221235,1.0,1.0,5.0,1392.14,278.43,1392.14,1113.71
5104635132,1.0,1.0,2.0,2049.71,1024.86,2049.71,1024.86
4977535891,1.0,1.0,4.0,1337.03,334.26,1337.03,1002.77
4555311260,1.0,1.0,4.0,1278.78,319.69,1278.78,959.09
4781691761,1.0,1.0,4.0,1237.44,309.36,1237.44,928.08
5016840013,1.0,1.0,2.0,1789.59,894.79,1789.59,894.79
4361184046,1.0,1.0,8.0,977.05,122.13,977.05,854.92
4361435625,1.0,1.0,8.0,977.05,122.13,977.05,854.92
4720229397,1.0,1.0,4.0,1134.9,283.73,1134.9,851.18
4387581196,1.0,1.0,2.0,1578.36,789.18,1578.36,789.18
5071065586,1.0,1.0,4.0,1041.84,260.46,1041.84,781.38
4240316583,1.0,1.0,5.0,966.54,193.31,966.54,773.23
4764406588,1.0,1.0,4.0,1019.97,254.99,1019.97,764.98
4494236518,1.0,1.0,4.0,971.39,242.85,971.39,728.54
4454352711,1.0,1.0,4.0,933.03,233.26,933.03,699.77
4306110696,1.0,1.0,8.0,798.98,99.87,798.98,699.11
4164335504,1.0,1.0,5.0,866.31,173.26,866.31,693.05
4164344580,1.0,1.0,5.0,866.31,173.26,866.31,693.05
4164344596,1.0,1.0,5.0,866.31,173.26,866.31,693.05
4266373538,1.0,1.0,5.0,836.6,167.32,836.6,669.28
4266373540,1.0,1.0,5.0,836.6,167.32,836.6,669.28
4266373571,1.0,1.0,5.0,836.6,167.32,836.6,669.28
5432627704,1.0,1.0,2.0,1200.04,600.02,1200.04,600.02
4006910685,1.0,1.0,5.0,734.77,146.95,734.77,587.82
4027437534,1.0,1.0,6.0,699.64,116.61,699.64,583.03
3981548323,1.0,1.0,5.0,705.51,141.1,705.51,564.41
4338072781,1.0,1.0,3.0,837.15,279.05,837.15,558.1
4174885702,1.0,1.0,14.0,598.53,42.75,598.53,555.78
4415575708,1.0,1.0,3.0,823.54,274.51,823.54,549.03
4009121682,1.0,1.0,2.0,1001.17,500.58,1001.17,500.58
3958005870,1.0,1.0,5.0,622.13,124.43,622.13,497.7
4134034458,1.0,1.0,20.0,454.91,22.75,454.91,432.16
4352247124,1.0,1.0,16.0,452.88,28.3,452.88,424.57
4033012481,1.0,1.0,3.0,614.23,204.74,614.23,409.49
4001796396,1.0,1.0,2.0,814.38,407.19,814.38,407.19
4378007003,1.0,1.0,2.0,813.36,406.68,813.36,406.68
4171573093,1.0,1.0,2.0,810.26,405.13,810.26,405.13
4293446870,1.0,1.0,4.0,529.84,132.46,529.84,397.38
4679893308,1.0,1.0,2.0,792.0,396.0,792.0,396.0
4111683102,1.0,1.0,12.0,428.58,35.72,428.58,392.87
4838186912,1.0,1.0,6.0,463.59,77.27,463.59,386.32
4162617661,1.0,1.0,4.0,510.05,127.51,510.05,382.54
4213251181,1.0,1.0,11.0,410.13,37.28,410.13,372.85
4215022191,1.0,1.0,11.0,410.13,37.28,410.13,372.85
4217672567,1.0,1.0,11.0,410.13,37.28,410.13,372.85
3976619979,1.0,1.0,7.0,425.04,60.72,425.04,364.32
4253662545,1.0,1.0,11.0,386.82,35.17,386.82,351.65
4259825824,1.0,1.0,11.0,386.82,35.17,386.82,351.65
4067320644,1.0,1.0,3.0,525.56,175.19,525.56,350.37
4086342634,1.0,1.0,8.0,400.0,50.0,400.0,350.0
4418621042,1.0,1.0,3.0,510.81,170.27,510.81,340.54
4364267607,1.0,1.0,2.0,677.45,338.73,677.45,338.73
4187595947,1.0,1.0,5.0,418.32,83.66,418.32,334.66
4188753820,1.0,1.0,5.0,418.32,83.66,418.32,334.66
4189281020,1.0,1.0,5.0,418.32,83.66,418.32,334.66
4011015562,1.0,1.0,3.0,495.26,165.09,495.26,330.17
4242019028,1.0,1.0,7.0,384.4,54.91,384.4,329.49
4245507571,1.0,1.0,7.0,384.4,54.91,384.4,329.49
4464441648,1.0,1.0,4.0,438.29,109.57,438.29,328.72
4263039309,1.0,1.0,3.0,487.0,162.33,487.0,324.67
4363246984,1.0,1.0,5.0,405.4,81.08,405.4,324.32
4327032195,1.0,1.0,8.0,364.78,45.6,364.78,319.18
4197920799,1.0,1.0,2.0,614.23,307.12,614.23,307.12
5146729618,1.0,1.0,5.0,370.1,74.02,370.1,296.08
4297133651,1.0,1.0,4.0,386.82,96.7,386.82,290.12
4084144334,1.0,1.0,3.0,434.7,144.9,434.7,289.8
4246806717,1.0,1.0,4.0,384.39,96.1,384.39,288.29
4322207540,1.0,1.0,5.0,358.8,71.76,358.8,287.04
4065856549,1.0,1.0,2.0,555.8,277.9,555.8,277.9
4043466691,1.0,1.0,2.0,539.91,269.95,539.91,269.95
4051739377,1.0,1.0,2.0,524.28,262.14,524.28,262.14
4094617168,1.0,1.0,3.0,392.55,130.85,392.55,261.7
4315753668,1.0,1.0,6.0,311.22,51.87,311.22,259.35
4236107383,1.0,1.0,2.0,513.51,256.75,513.51,256.75
4249375963,1.0,1.0,3.0,384.4,128.13,384.4,256.27
4179980191,1.0,1.0,3.0,381.77,127.26,381.77,254.51
4317076526,1.0,1.0,5.0,315.73,63.15,315.73,252.58
4196359459,1.0,1.0,2.0,487.0,243.5,487.0,243.5
4151782556,1.0,1.0,2.0,471.88,235.94,471.88,235.94
4002702521,1.0,1.0,6.0,279.0,46.5,279.0,232.5
3951350376,1.0,1.0,2.0,446.74,223.37,446.74,223.37
4001098881,1.0,1.0,2.0,446.33,223.16,446.33,223.16
4218924711,1.0,1.0,5.0,276.37,55.27,276.37,221.1
4318795706,1.0,1.0,3.0,331.04,110.35,331.04,220.69
4030107243,1.0,1.0,5.0,273.58,54.72,273.58,218.86
4362145133,1.0,1.0,2.0,429.04,214.52,429.04,214.52
4633268817,1.0,1.0,4.0,282.75,70.69,282.75,212.06
4161993993,1.0,1.0,4.0,276.17,69.04,276.17,207.13
4418043093,1.0,1.0,8.0,235.76,29.47,235.76,206.29
4234224063,1.0,1.0,2.0,408.49,204.25,408.49,204.25
4381052366,1.0,1.0,2.0,407.66,203.83,407.66,203.83
3969780963,1.0,1.0,3.0,298.32,99.44,298.32,198.88
4512700024,1.0,1.0,2.0,393.86,196.93,393.86,196.93
3967881547,1.0,1.0,2.0,390.96,195.48,390.96,195.48
4053262148,1.0,1.0,2.0,381.0,190.5,381.0,190.5
4790177324,1.0,1.0,4.0,252.0,63.0,252.0,189.0
4334722539,1.0,1.0,2.0,364.77,182.38,364.77,182.38
4422710477,1.0,1.0,4.0,235.28,58.82,235.28,176.46
4215834507,1.0,1.0,4.0,227.08,56.77,227.08,170.31
4048400690,1.0,1.0,2.0,281.02,140.51,281.02,140.51
4320517075,1.0,1.0,3.0,209.69,69.9,209.69,139.79
3980451964,1.0,1.0,2.0,273.58,136.79,273.58,136.79
4828201755,1.0,1.0,2.0,268.82,134.41,268.82,134.41
4355945980,1.0,1.0,2.0,255.04,127.52,255.04,127.52
4281258363,1.0,1.0,4.0,168.08,42.02,168.08,126.06
4137401550,1.0,1.0,3.0,186.85,62.28,186.85,124.57
5147835781,1.0,1.0,4.0,162.11,40.53,162.11,121.58
4268013764,1.0,1.0,2.0,232.5,116.25,232.5,116.25
4140330108,1.0,1.0,3.0,166.51,55.5,166.51,111.01
4069975886,1.0,1.0,2.0,191.18,95.59,191.18,95.59
4658053599,1.0,1.0,4.0,103.55,25.89,103.55,77.66
4282758359,1.0,1.0,6.0,85.75,14.29,85.75,71.46
4017790640,1.0,1.0,3.0,81.14,27.05,81.14,54.09
4083337190,1.0,1.0,4.0,69.11,17.28,69.11,51.83
3986557564,1.0,1.0,4.0,61.11,15.28,61.11,45.83
4239242364,1.0,1.0,2.0,89.27,44.63,89.27,44.63
4231361947,1.0,1.0,4.0,55.3,13.82,55.3,41.47
4197104815,1.0,1.0,2.0,71.8,35.9,71.8,35.9
