offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
2066,"Картридж 106R01079, желтый",0673,Картриджи для Xerox,,,106R01079,B,vc=0673,0673,,marketCategoryId marketCategoryName
21266,Картридж BCI-3PBK (4485A002) фото-черный,3234,Картриджи для Canon,,T-4530E,BCI-3PBK,B,vc=3234,3234 32341 32342,,marketCategoryId marketCategoryName
21269,Картридж BCI-3PM (4484A002) фото-пурпурный,3235,Картриджи для Canon,,T-4530E,BCI-3PM,B,vc=3235,3235,,marketCategoryId marketCategoryName
21284,Картридж T5437 (C13T543700) серый,3248,Картриджи для Epson,,MK-410,T5437,B,vc=3248,3248,,marketCategoryId marketCategoryName
21306,Риббон-картридж PR-4 фиолетовый,3254,Ленточные картриджи,,C9153A,PR-4,B,vc=3254,3254 32541,,marketCategoryId marketCategoryName
10013,Лента для печати наклеек PT-H75,27304,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
10014,Лента для печати наклеек PT-E100,27305,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
3309,Фотобумага DS Lomond 0102124 односторонняя матовая A4/205/25,3309,Фотобумага,,,,D,offer=3309;vc=3309,,,marketCategoryId marketCategoryName
3316,Фотобумага DS Lomond 0102022 односторонняя глянцевая A4/230/50,3316,Фотобумага,,,,D,offer=3316;vc=3316,,,marketCategoryId marketCategoryName
10030,Лента для печати наклеек PT-D400,273021,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
10033,Лента для печати наклеек PT-H500,273024,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
3304,Фотобумага DS Lomond 0102037 односторонняя матовая A4/180/25,3304,Фотобумага,,,,D,offer=3304;vc=3304,,,marketCategoryId marketCategoryName
10034,Лента для печати наклеек PT-520,273025,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
3335,Офисная бумага Lomond 0101005 94% OFFICE A4/80/500,3335,Фотобумага,,,,D,offer=3335;vc=3335,,,marketCategoryId marketCategoryName
10090,Лента для печати наклеек PT-2430,273081,Картриджи для матричных принтеров,,43324402,,C,,,,marketCategoryId marketCategoryName
10029,Лента для печати наклеек PT-350,273020,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10113,Лента для печати наклеек TZe-131,2732,Ленточные картриджи,,43324401-43324404,TZe-131,B,vc=2732,2732 2732X10 2732X2 2732X6,,marketCategoryId marketCategoryName
10016,Лента для печати наклеек PT-H100,27307,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
10268,Картридж PFI-106M пурпурный,2824,Картриджи для Canon,,44059117-44059120,PFI-106M,B,vc=2824,2824,,marketCategoryId marketCategoryName
10031,Лента для печати наклеек PT-D450,273022,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
10140,Картридж TNP-34,2757,Картриджи для Konica,,43865722,TNP-34,B,vc=2757,2757 27571 2757X10 2757X2 2757X6,,marketCategoryId marketCategoryName
21280,Картридж T5433 (C13T543300) пурпурный,3244,Картриджи для Epson,,MK-410,T5433,B,vc=3244,3244,,marketCategoryId marketCategoryName
10019,Лента для печати наклеек PT-200,273010,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
10017,Лента для печати наклеек PT-H105,27308,Картриджи для матричных принтеров,,44469810-44469752,,C,,,,marketCategoryId marketCategoryName
10023,Лента для печати наклеек PT-E300,273014,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10024,Лента для печати наклеек PT-H300,273015,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10296,Картридж PFI-706G зеленый,2841,Картриджи для Canon,,43487734,PFI-706G,B,vc=2841,2841,,marketCategoryId marketCategoryName
10590,Картридж C-EXV28C,3011,Картриджи для Canon,,CLT-K508S,C-EXV28C,B,vc=3011,3011,,marketCategoryId marketCategoryName
21308,Тонер Pantum TN-420H,3256,Картриджи Pantum,,C9153A,,C,,,,marketCategoryId marketCategoryName
