заказ,дата_отгрузки_МС,месяц_отгрузки,себест_₽,статус,метод,дата_заказа_бизнес_API,статус_заказа,подстатус
50399550722,2025-11-01,2025-11,259.4,done,ms_fifo,,,
50400286017,2025-11-01,2025-11,765.18,done,ms_fifo,,,
50401301440,2025-11-01,2025-11,280.97,done,ms_fifo,,,
50380236098,2025-11-01,2025-11,283.83,done,ms_fifo,,,
50371388160,2025-11-01,2025-11,587.54,done,ms_fifo,,,
50417535936,2025-11-02,2025-11,76.86,return_stock,ms_fifo,,,
50425334848,2025-11-02,2025-11,55.31,done,ms_fifo,,,
50443151874,2025-11-03,2025-11,300.0,done,ms_fifo,,,
50467799426,2025-11-04,2025-11,3086.33,done,ms_fifo,,,
50486776384,2025-11-04,2025-11,259.4,done,ms_fifo,,,
50461695875,2025-11-04,2025-11,1924.0,done,ms_fifo,,,
50456584514,2025-11-04,2025-11,93.55,done,ms_fifo,,,
50489676226,2025-11-04,2025-11,901.07,done,ms_fifo,,,
50517226305,2025-11-05,2025-11,1924.0,done,ms_fifo,,,
50496355136,2025-11-05,2025-11,463.6,return_stock,ms_fifo,,,
50540233857,2025-11-05,2025-11,79.5,done,ms_fifo,,,
50497552064,2025-11-05,2025-11,308.71,done,ms_fifo,,,
50373846721,2025-11-05,2025-11,4100.0,done,ms_fifo,,,
50481248001,2025-11-05,2025-11,127.0,done,ms_fifo,,,
50514978368,2025-11-06,2025-11,3308.24,done,ms_fifo,,,
50570908227,2025-11-06,2025-11,1273.46,return_defect,ms_fifo,,,
50499277442,2025-11-06,2025-11,192.45,done,ms_fifo,,,
50505222019,2025-11-06,2025-11,201.61,done,ms_fifo,,,
50545200641,2025-11-06,2025-11,99.0,done,ms_fifo,,,
50582649793,2025-11-07,2025-11,389.49,done,ms_fifo,,,
50570321410,2025-11-07,2025-11,3880.38,done,ms_fifo,,,
50537860224,2025-11-07,2025-11,1924.0,done,ms_fifo,,,
50607935683,2025-11-07,2025-11,470.13,return_stock,ms_fifo,,,
50576300416,2025-11-07,2025-11,511.5,done,ms_fifo,,,
50606753216,2025-11-07,2025-11,253.57,done,ms_fifo,,,
50572928960,2025-11-07,2025-11,2476.21,done,ms_fifo,,,
50639045376,2025-11-08,2025-11,893.08,done,ms_fifo,,,
50606759872,2025-11-08,2025-11,77.33,done,ms_fifo,,,
50621528835,2025-11-08,2025-11,715.24,done,ms_fifo,,,
50610636931,2025-11-08,2025-11,1098.49,done,ms_fifo,,,
50605969536,2025-11-08,2025-11,227.92,done,ms_fifo,,,
50669364226,2025-11-09,2025-11,454.63,return_defect,ms_fifo,,,
50644279873,2025-11-09,2025-11,487.0,done,ms_fifo,,,
50720336578,2025-11-10,2025-11,100.0,done,ms_fifo,,,
50690722882,2025-11-10,2025-11,559.26,done,ms_fifo,,,
50652035523,2025-11-10,2025-11,306.16,done,ms_fifo,,,
50598712256,2025-11-10,2025-11,93.58,return_stock,ms_fifo,,,
50669744963,2025-11-10,2025-11,438.75,done,ms_fifo,,,
50665565506,2025-11-10,2025-11,1001.34,done,ms_fifo,,,
50691424386,2025-11-10,2025-11,972.0,done,ms_fifo,,,
50672745922,2025-11-10,2025-11,166.52,done,ms_fifo,,,
50579152898,2025-11-10,2025-11,1737.38,done,ms_fifo,,,
50773492033,2025-11-11,2025-11,129.64,done,ms_fifo,,,
50590858626,2025-11-11,2025-11,1384.75,done,ms_fifo,,,
50748178496,2025-11-11,2025-11,68.99,done,ms_fifo,,,
50750913217,2025-11-11,2025-11,454.63,return_stock,ms_fifo,,,
50691570562,2025-11-11,2025-11,155.61,return_stock,ms_fifo,,,
50618674626,2025-11-11,2025-11,460.97,done,ms_fifo,,,
50641313154,2025-11-11,2025-11,2963.5,done,ms_fifo,,,
50656210370,2025-11-11,2025-11,641.68,done,ms_fifo,,,
50824450370,2025-11-12,2025-11,199.83,done,ms_fifo,,,
50777165890,2025-11-12,2025-11,400.24,done,ms_fifo,,,
50813925122,2025-11-12,2025-11,269.0,done,ms_fifo,,,
50758462209,2025-11-12,2025-11,201.92,done,ms_fifo,,,
50756329602,2025-11-12,2025-11,442.23,done,ms_fifo,,,
50779264769,2025-11-12,2025-11,1232.41,return_stock,ms_fifo,,,
50819894529,2025-11-12,2025-11,381.64,done,ms_fifo,,,
50822874755,2025-11-12,2025-11,1924.0,done,ms_fifo,,,
50814156803,2025-11-12,2025-11,1021.84,done,ms_fifo,,,
50802314368,2025-11-12,2025-11,522.54,done,ms_fifo,,,
50829624962,2025-11-12,2025-11,1489.42,return_stock,ms_fifo,,,
