Аккаунт;nm_id;Артикул;Цена май;Цена сейчас;Рост %;Дата последней цены;Себест/шт;Чистая/шт май;Чистая/шт сейчас;Заказов/нед май;Заказов/нед июль;Чистая/нед май;Чистая/нед сейчас;Вердикт
Цифровой;211410073;5309;1010;3033;200;2026-07-06;218;79;1232;3.4;2.2;268;2650;ВЫИГРАЛИ
Дисквэр;313191771;5443Y4IE7QTX;4367;10514;141;2026-07-06;2220;162;3622;4.1;0.5;657;1947;ВЫИГРАЛИ
Цифровой;216421567;00024;987;2371;140;2026-07-07;261;23;801;11.5;0.5;260;431;ВЫИГРАЛИ
Цифровой;216422130;00025;989;2371;140;2026-07-07;267;18;795;6.3;0.5;111;427;ВЫИГРАЛИ
Цифровой;200165976;08516;866;2064;138;2026-06-30;239;-31;643;4.1;0.0;-127;0;ВЫИГРАЛИ
Цифровой;200166303;02807;1282;3020;136;2026-07-01;368;98;1075;6.8;0.5;664;578;убили спрос
Цифровой;200166274;02801;1224;2871;135;2026-06-01;362;68;994;2.9;0.0;200;0;убили спрос
Цифровой;200167236;10421;1225;2786;127;2026-07-10;306;125;1000;6.5;1.1;821;1075;ВЫИГРАЛИ
Дисквэр;343261039;5848K32P16N2;740;1641;122;2026-06-29;186;-57;447;2.5;0.0;-141;0;ВЫИГРАЛИ
Дисквэр;313194938;0034QTMTJ5MJ;1171;2435;108;2026-06-29;478;-80;622;2.7;0.0;-217;0;ВЫИГРАЛИ
Дисквэр;313084412;0328RGEUTSOV;449;929;107;2026-06-22;80;-131;135;3.4;0.0;-445;0;ВЫИГРАЛИ
Цифровой;397270419;5942;636;1301;105;2026-07-14;136;-71;298;2.5;0.5;-175;160;ВЫИГРАЛИ
Цифровой;216422201;00351;1729;3508;103;2026-07-13;498;246;1232;3.8;0.5;944;662;убили спрос
Цифровой;326848543;0035;1752;3418;95;2026-06-09;496;263;1181;4.5;0.0;1186;0;убили спрос
Цифровой;262192245;4433;526;1006;91;2026-06-26;89;-92;172;3.2;0.0;-290;0;ВЫИГРАЛИ
Дисквэр;313193668;0898BJH5U125;1326;2156;63;2026-07-10;343;150;593;3.2;3.2;475;1911;ВЫИГРАЛИ
Дисквэр;313188500;5422YHSC5BIR;5103;8229;61;2026-06-22;2255;584;2245;4.3;0.0;2503;0;убили спрос
Дисквэр;497231985;6460FGPKC9I2;446;715;60;2026-06-27;58;-111;32;2.5;0.0;-276;0;ВЫИГРАЛИ
Дисквэр;434805158;4751WCOODB13;6154;9724;58;2026-06-20;2765;727;2613;5.9;0.0;4267;0;убили спрос
Дисквэр;313214936;4209DSAWP6DY;3840;5868;53;2026-07-08;1551;503;1563;14.4;3.2;7271;5043;убили спрос
Дисквэр;313184995;5364MC4EHYNL;2675;4067;52;2026-06-26;1010;321;1047;2.9;0.0;942;0;убили спрос
Дисквэр;323345021;3770QCT7GIIR;3602;5324;48;2026-07-13;1608;299;1187;10.6;1.1;3168;1276;убили спрос
Цифровой;216448553;239329;4201;6160;47;2026-06-27;1745;534;1541;7.0;0.0;3735;0;убили спрос
Цифровой;199335504;4542;1535;2179;42;2026-06-21;399;224;550;2.9;0.0;658;0;убили спрос
Цифровой;216422241;00112;2457;3437;40;2026-07-11;364;832;1323;3.2;0.5;2629;712;убили спрос
Цифровой;200166364;02741;1218;1359;12;2026-06-24;341;86;127;6.5;0.0;562;0;убили спрос
Дисквэр;313188204;0721A7NWFNWT;3480;3870;11;2026-06-13;1809;22;133;2.3;0.0;50;0;убили спрос
Дисквэр;324989535;3740ZWWFASJD;414;426;3;2026-06-12;62;-135;-142;4.5;0.0;-610;0;ВЫИГРАЛИ
Цифровой;192568815;2404;4066;4139;2;2026-06-01;1972;223;127;2.5;0.0;554;0;убили спрос
Цифровой;209752144;5216;1307;1307;0;2026-05-29;214;268;223;2.5;0.0;665;0;убили спрос
Дисквэр;313190563;4312F44HK3QD;9778;9762;0;2026-05-26;4817;925;584;2.5;0.0;2297;0;убили спрос
Цифровой;327898992;01111;1676;1655;-1;2026-06-16;506;205;135;4.1;0.0;832;0;убили спрос
Цифровой;216448628;239322;4144;4022;-3;2026-06-17;1726;518;305;2.3;0.0;1169;0;убили спрос
Цифровой;327898986;10325;3366;3265;-3;2026-06-24;993;767;594;6.3;0.0;4851;0;убили спрос
Цифровой;216460680;239316;4678;4280;-9;2026-05-20;1700;875;482;4.7;0.0;4149;0;убили спрос
