nm_id;ключ;частотность
199574175;картридж для принтера canon 445 и 446;146
181115937;картридж для принтера brother;25
181116158;картридж для принтера brother;25
267893036;dymo;13
200166638;xerox phaser 3020;11
326848543;картридж для принтера samsung scx-4220;9
199570149;3250;9
199574175;картридж 445 446 canon;9
326848543;картридж 4200 samsung;8
216454486;картридж canon 460 461;7
292614708;картридж для принтера hp 653;7
964953109;картридж для принтера hp laser mfp 135w;6
216401177;картридж для принтера ricoh sp150;6
200167236;картридж samsung m2070w;6
216454486;картриджи 460 461;5
192228155;картридж 1075 для принтера;5
440329866;чернила для струйного принтера hp;5
292614708;картридж 653;4
393838438;чернила epson 110;3
964953109;картридж для hp laser mfp 135w;3
216454486;картридж 460 canon;3
199572575;картридж для принтера lexmark;3
888188198;картридж canon 325;3
964953201;картридж для hp laser mfp 135w;3
199330892;canon 047;3
964953109;картридж для принтера hp laser mfp 135a;2
216453663;canon 069 картридж;2
263821899;чернила для принтера hp gt52;2
181116116;tk-1200 картридж;2
440329866;чернила для принтера hp gt52;2
888188198;картридж для принтера canon 325;2
209666033;canon pixma mg 2500 картридж;2
216448512;краска для принтера epson l14150;2
199565568;laser jet pro m132a;1
200166670;картридж workcentre 3215;1
211410073;тонер tn 420;1
192228155;лазерный картридж tn-1075;1
563826116;картридж для принтера hp 2520;1
326848543;картридж для scx 4200;1
192567911;картридж brother 3520;1
199565899;brother hl-l5000d;1
199565899;картридж для принтера brother hl-l5100dn;1
200167236;картридж для принтера samsung xpress m2020w;1
215240160;картридж hp officejet 6950;1
