nm_id;ключ;частотность;позиция;входов;заказов
216360541;321;44;19;1;0
215239464;картридж для принтера epson;22;78;1;0
199570149;xerox;17;55;1;0
263821935;чернила для принтера brother;15;13;1;0
216361966;mf752cdw;13;20;1;0
181116704;картридж 136а;9;15;1;0
199333641;принтер lexmark;9;114;1;0
199574175;445 446 картридж canon;9;19;0;0
209749601;принтер lexmark;9;79;1;0
200166638;картридж 3020 xerox;8;19;1;0
200166028;картридж для принтера brother dcp-l2500dr;7;11;2;0
200164319;картридж hp 21 черный;7;20;1;0
200166638;картридж для принтера phaser 3020;6;15;1;0
192628490;комплект картриджей для canon;6;242;1;0
683621878;чернила для принтера brother dcp-t310;6;16;1;0
393838438;epson 110 чернила;5;11;1;0
216454486;катридж для принтера 460;5;18;1;0
